"Date","Price","Open","High","Low","Vol.","Change %"
"May 13, 2019","4,312","4,326","4,474","4,287","282.81K","-0.32%"
"May 10, 2019","4,326","4,350","4,362","4,309","199.43K","-0.02%"
"May 09, 2019","4,327","4,315","4,353","4,283","228.34K","-0.16%"
"May 08, 2019","4,334","4,306","4,350","4,254","217.82K","1.64%"
"May 07, 2019","4,264","4,339","4,344","4,232","219.83K","-1.89%"
"May 06, 2019","4,346","4,250","4,362","4,191","237.66K","0.91%"
"May 03, 2019","4,307","4,294","4,338","4,253","222.30K","0.70%"
"May 02, 2019","4,277","4,420","4,426","4,242","230.77K","-3.28%"
"May 01, 2019","4,422","4,443","4,458","4,381","148.19K","-1.01%"
"Apr 30, 2019","4,467","4,420","4,519","4,420","216.06K","1.32%"
"Apr 26, 2019","4,409","4,620","4,620","4,364","287.62K","-4.92%"
"Apr 25, 2019","4,637","4,616","4,669","4,616","152.43K","0.17%"
"Apr 24, 2019","4,629","4,623","4,692","4,610","173.84K","-0.26%"
"Apr 23, 2019","4,641","4,599","4,666","4,590","205.97K","1.05%"
"Apr 22, 2019","4,593","4,475","4,613","4,475","188.20K","3.47%"
"Apr 18, 2019","4,439","4,425","4,454","4,404","130.09K","0.02%"
"Apr 17, 2019","4,438","4,449","4,475","4,428","92.80K","0.16%"
"Apr 16, 2019","4,431","4,389","4,439","4,384","173.58K","0.64%"
"Apr 15, 2019","4,403","4,409","4,423","4,377","171.93K","-1.08%"
"Apr 12, 2019","4,451","4,395","4,476","4,395","155.46K","1.41%"
"Apr 11, 2019","4,389","4,462","4,463","4,377","184.71K","-1.90%"
"Apr 10, 2019","4,474","4,459","4,482","4,435","164.62K","0.52%"
"Apr 09, 2019","4,451","4,496","4,506","4,421","183.81K","-0.67%"
"Apr 08, 2019","4,481","4,380","4,492","4,380","178.89K","2.73%"
"Apr 05, 2019","4,362","4,315","4,379","4,287","176.40K","0.65%"
"Apr 04, 2019","4,334","4,287","4,348","4,285","201.26K","1.24%"
"Apr 03, 2019","4,281","4,333","4,338","4,268","202.68K","-0.93%"
"Apr 02, 2019","4,321","4,290","4,325","4,261","205.41K","0.96%"
"Apr 01, 2019","4,280","4,193","4,286","4,193","188.36K","2.27%"
"Mar 29, 2019","4,185","4,123","4,215","4,123","197.34K","1.80%"
"Mar 28, 2019","4,111","4,112","4,119","4,051","230.55K","-0.19%"
"Mar 27, 2019","4,119","4,160","4,172","4,087","232.92K","-0.75%"
"Mar 26, 2019","4,150","4,100","4,179","4,089","195.50K","1.34%"
"Mar 25, 2019","4,095","4,074","4,105","4,031","216.97K","0.49%"
