"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BPCL","EQ","15-May-2017","        733.15","        734.65","        736.00","        723.00","        729.00","        727.85","        728.22","     839675","           611468413.20","      18823","     289193","         34.44"
"BPCL","EQ","16-May-2017","        727.85","        727.00","        735.00","        723.00","        733.25","        733.30","        729.34","     871521","           635635110.90","      21083","     282494","         32.41"
"BPCL","EQ","17-May-2017","        733.30","        732.90","        734.00","        723.50","        727.05","        727.45","        727.80","    1141029","           830436015.15","      35138","     537536","         47.11"
"BPCL","EQ","18-May-2017","        727.45","        722.20","        727.50","        711.00","        712.60","        714.90","        717.16","    1047741","           751394509.05","      29422","     351569","         33.55"
"BPCL","EQ","19-May-2017","        714.90","        715.25","        722.45","        700.00","        703.50","        702.45","        709.17","    1069546","           758487981.30","      44401","     407185","         38.07"
"BPCL","EQ","22-May-2017","        702.45","        701.00","        701.00","        686.55","        697.50","        695.60","        691.93","    1506937","          1042691341.65","      52019","     634958","         42.14"
"BPCL","EQ","23-May-2017","        695.60","        694.20","        706.00","        688.40","        700.00","        699.55","        697.80","    1792660","          1250924053.95","      66648","     964018","         53.78"
"BPCL","EQ","24-May-2017","        699.55","        703.00","        716.70","        691.25","        716.70","        711.90","        701.99","    2350022","          1649681981.45","     140564","    1479410","         62.95"
"BPCL","EQ","25-May-2017","        711.90","        714.70","        733.00","        707.00","        723.05","        726.85","        721.79","    3558464","          2568469153.55","     104647","    2017304","         56.69"
"BPCL","EQ","26-May-2017","        726.85","        722.10","        753.95","        703.00","        753.00","        749.65","        727.91","    3807638","          2771607600.95","      64761","    1482083","         38.92"
"BPCL","EQ","29-May-2017","        749.65","        754.00","        769.25","        747.00","        747.95","        754.85","        757.59","    4288268","          3248762962.15","     169064","    2246971","         52.40"
"BPCL","EQ","30-May-2017","        754.85","        743.75","        744.95","        725.70","        740.00","        738.75","        734.38","    2473708","          1816640335.10","      83656","     978649","         39.56"
"BPCL","EQ","31-May-2017","        738.75","        740.20","        748.15","        738.00","        739.40","        742.65","        743.08","    2197498","          1632923663.40","      88316","    1229751","         55.96"
"BPCL","EQ","01-Jun-2017","        742.65","        739.40","        746.80","        728.95","        737.00","        739.00","        736.02","    1503332","          1106480056.05","      32527","     800261","         53.23"
"BPCL","EQ","02-Jun-2017","        739.00","        738.80","        740.00","        722.85","        723.50","        724.80","        728.55","    1325119","           965410994.60","      47451","     732620","         55.29"
"BPCL","EQ","05-Jun-2017","        724.80","        725.00","        737.60","        723.65","        728.00","        728.55","        731.62","    1346477","           985109923.70","      19346","     523893","         38.91"
"BPCL","EQ","06-Jun-2017","        728.55","        731.00","        736.00","        723.65","        726.35","        725.55","        729.14","    1533652","          1118248967.90","      45005","     888412","         57.93"
"BPCL","EQ","07-Jun-2017","        725.55","        727.00","        727.40","        711.00","        717.05","        717.30","        715.60","    2865029","          2050223917.85","      81722","    1871440","         65.32"
"BPCL","EQ","08-Jun-2017","        717.30","        724.85","        728.50","        705.20","        705.50","        706.85","        712.27","    2230516","          1588737095.90","      78354","    1321275","         59.24"
"BPCL","EQ","09-Jun-2017","        706.85","        709.20","        711.35","        695.50","        703.05","        703.75","        701.59","    1946776","          1365844573.80","      60747","     918180","         47.16"
"BPCL","EQ","12-Jun-2017","        703.75","        704.90","        706.70","        699.00","        701.50","        701.70","        703.18","    1739368","          1223092578.30","      28894","    1018385","         58.55"
"BPCL","EQ","13-Jun-2017","        701.70","        706.70","        708.65","        697.35","        698.00","        699.00","        702.01","     823765","           578293605.85","      27553","     353292","         42.89"
"BPCL","EQ","14-Jun-2017","        699.00","        699.00","        700.20","        689.40","        691.55","        692.00","        692.68","    1896344","          1313566748.05","      77598","    1317203","         69.46"
"BPCL","EQ","15-Jun-2017","        692.00","        692.00","        695.00","        663.50","        670.55","        670.40","        672.45","    4483215","          3014715903.40","      85004","    2387470","         53.25"
"BPCL","EQ","16-Jun-2017","        670.40","        677.10","        683.65","        670.50","        674.90","        673.80","        675.66","    4679690","          3161865605.30","     115515","    2901809","         62.01"
"BPCL","EQ","19-Jun-2017","        673.80","        677.00","        678.70","        666.00","        667.95","        667.15","        670.55","    2036679","          1365704242.05","      53976","    1302473","         63.95"
"BPCL","EQ","20-Jun-2017","        667.15","        668.05","        671.85","        662.20","        664.80","        664.75","        666.88","    2195045","          1463821512.50","      52611","    1256115","         57.23"
"BPCL","EQ","21-Jun-2017","        664.75","        667.00","        667.00","        651.15","        654.00","        654.40","        655.32","    2679260","          1755764514.55","      88491","    1658448","         61.90"
"BPCL","EQ","22-Jun-2017","        654.40","        652.20","        654.60","        637.00","        642.75","        641.80","        644.16","    3402724","          2191902901.45","      82846","    1820314","         53.50"
"BPCL","EQ","23-Jun-2017","        641.80","        645.00","        646.05","        628.60","        630.40","        630.75","        633.56","    1757857","          1113711318.95","      60442","     694401","         39.50"
"BPCL","EQ","27-Jun-2017","        630.75","        629.00","        629.00","        599.00","        611.90","        612.05","        605.78","    9429084","          5711970216.90","     102181","    6112111","         64.82"
"BPCL","EQ","28-Jun-2017","        612.05","        610.00","        624.60","        608.65","        617.10","        616.70","        618.89","    3532200","          2186043558.90","     101719","    1885931","         53.39"
"BPCL","EQ","29-Jun-2017","        616.70","        617.50","        633.30","        617.00","        627.30","        626.05","        626.07","    5277522","          3304078947.75","     117633","    3214295","         60.91"
"BPCL","EQ","30-Jun-2017","        626.05","        624.05","        641.30","        622.35","        638.10","        639.40","        634.25","    4307467","          2732005977.65","     138071","    3098301","         71.93"
"BPCL","EQ","03-Jul-2017","        639.40","        640.10","        651.35","        640.10","        649.00","        649.35","        647.04","    3588253","          2321745984.80","     129759","    2510733","         69.97"
"BPCL","EQ","04-Jul-2017","        649.35","        647.70","        665.00","        645.95","        657.10","        657.20","        660.19","    7443636","          4914240947.75","      58985","    5582357","         75.00"
"BPCL","EQ","05-Jul-2017","        657.20","        658.00","        663.75","        656.35","        663.00","        662.10","        661.01","    1720386","          1137183969.00","      41318","     915436","         53.21"
"BPCL","EQ","06-Jul-2017","        662.10","        663.90","        664.00","        657.50","        660.00","        660.05","        660.31","    2409907","          1591282497.25","      56223","    1805330","         74.91"
"BPCL","EQ","07-Jul-2017","        660.05","        661.00","        669.75","        659.10","        664.05","        663.95","        665.02","    3653118","          2429390314.35","      48296","    2885631","         78.99"
"BPCL","EQ","10-Jul-2017","        663.95","        645.20","        691.20","        645.20","        663.70","        664.65","        667.26","     489540","           326648373.15","       5810","     394760","         80.64"
"BPCL","EQ","11-Jul-2017","        664.65","        668.90","        680.80","        664.25","        679.95","        678.30","        674.24","    3743038","          2523713422.05","      72913","    2774047","         74.11"
"BPCL","EQ","12-Jul-2017","        678.30","        684.00","        687.00","        678.25","        684.00","        683.70","        683.15","    3134866","          2141586600.80","      73817","    2154637","         68.73"
"BPCL","EQ","13-Jul-2017","        683.70","        458.00","        465.75","        454.40","        458.30","        458.55","        459.27","    3875953","          1780124896.55","      65001","    2132629","         55.02"
"BPCL","EQ","14-Jul-2017","        458.55","        462.90","        464.40","        456.10","        461.00","        460.80","        460.61","    2661189","          1225762268.75","      81157","    1479104","         55.58"
"BPCL","EQ","17-Jul-2017","        460.80","        461.00","        469.00","        460.00","        468.95","        467.45","        464.54","    2040756","           948014947.70","      33587","    1188089","         58.22"
"BPCL","EQ","18-Jul-2017","        467.45","        467.45","        475.00","        464.35","        469.80","        468.60","        469.95","    2797527","          1314706661.30","      56007","    1653157","         59.09"
"BPCL","EQ","19-Jul-2017","        468.60","        470.00","        472.95","        465.60","        469.10","        469.85","        469.01","    2545148","          1193701516.45","      35874","    1749886","         68.75"
"BPCL","EQ","20-Jul-2017","        469.85","        468.85","        471.50","        463.45","        467.50","        467.20","        467.78","    1799528","           841784650.20","      59463","    1009345","         56.09"
"BPCL","EQ","21-Jul-2017","        467.20","        467.20","        468.90","        461.40","        467.10","        467.15","        465.22","    2005524","           933012811.05","      24249","    1331016","         66.37"
