"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CIPLA","EQ","15-May-2017","        567.95","        567.00","        572.45","        561.00","        566.65","        569.00","        568.17","     606569","           344636374.80","      20905","     349445","         57.61"
"CIPLA","EQ","16-May-2017","        569.00","        566.65","        570.00","        564.00","        565.70","        565.60","        565.88","     330195","           186850407.40","      13421","     166079","         50.30"
"CIPLA","EQ","17-May-2017","        565.60","        565.10","        566.00","        560.05","        561.05","        562.35","        562.01","     895238","           503128350.25","      35003","     641507","         71.66"
"CIPLA","EQ","18-May-2017","        562.35","        559.30","        564.95","        556.80","        560.90","        560.10","        560.16","    2155599","          1207477343.35","      12636","    1862981","         86.43"
"CIPLA","EQ","19-May-2017","        560.10","        561.30","        566.65","        558.65","        564.20","        564.95","        561.86","     685662","           385248719.65","      10878","     376701","         54.94"
"CIPLA","EQ","22-May-2017","        564.95","        567.00","        567.70","        553.10","        555.75","        563.10","        563.25","     948063","           533996871.45","      15992","     713759","         75.29"
"CIPLA","EQ","23-May-2017","        563.10","        558.60","        558.80","        531.25","        532.95","        533.20","        538.11","    1225772","           659597733.45","      24881","     487893","         39.80"
"CIPLA","EQ","24-May-2017","        533.20","        531.00","        536.35","        514.00","        521.30","        519.65","        522.69","    1340656","           700753145.45","      35256","     505963","         37.74"
"CIPLA","EQ","25-May-2017","        519.65","        522.00","        525.00","        496.40","        504.70","        504.00","        505.53","    4378940","          2213673893.00","      66378","    1981607","         45.25"
"CIPLA","EQ","26-May-2017","        504.00","        483.00","        504.75","        480.20","        491.25","        488.90","        489.42","    7010307","          3431015679.55","     112619","    1655216","         23.61"
"CIPLA","EQ","29-May-2017","        488.90","        492.00","        507.50","        488.90","        505.95","        505.35","        496.36","    4118338","          2044165727.55","      57601","    2685163","         65.20"
"CIPLA","EQ","30-May-2017","        505.35","        504.80","        517.60","        501.40","        510.00","        510.50","        512.29","    1047968","           536865305.85","      23806","     258147","         24.63"
"CIPLA","EQ","31-May-2017","        510.50","        514.80","        520.10","        505.00","        519.40","        516.35","        513.96","    1366315","           702224797.80","      56012","     658731","         48.21"
"CIPLA","EQ","01-Jun-2017","        516.35","        519.70","        529.90","        513.05","        514.60","        515.55","        518.86","    1433241","           743649419.00","      30567","     682004","         47.58"
"CIPLA","EQ","02-Jun-2017","        515.55","        517.70","        533.90","        517.70","        531.30","        530.05","        529.73","    2152367","          1140168635.20","      33284","     908858","         42.23"
"CIPLA","EQ","05-Jun-2017","        530.05","        531.30","        536.70","        528.00","        534.95","        534.80","        533.57","     802335","           428098105.60","      16665","     291592","         36.34"
"CIPLA","EQ","06-Jun-2017","        534.80","        537.70","        539.55","        522.35","        537.00","        534.65","        530.06","     765557","           405794665.35","      15481","     215307","         28.12"
"CIPLA","EQ","07-Jun-2017","        534.65","        536.40","        543.45","        530.70","        538.10","        540.20","        538.88","     719071","           387489410.25","      25362","     236293","         32.86"
