"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GAIL","EQ","15-May-2017","        409.20","        413.05","        415.25","        410.00","        413.80","        414.00","        412.83","    1077551","           444848781.20","      22153","     459059","         42.60"
"GAIL","EQ","16-May-2017","        414.00","        415.80","        416.00","        410.25","        411.00","        411.40","        412.85","    2434834","          1005216064.70","      46472","    1771251","         72.75"
"GAIL","EQ","17-May-2017","        411.40","        411.50","        412.90","        405.60","        408.50","        408.30","        408.42","    2002105","           817707001.00","      48972","    1405319","         70.19"
"GAIL","EQ","18-May-2017","        408.30","        406.35","        409.00","        401.50","        403.00","        404.75","        407.03","    2132140","           867845090.30","      39137","    1405640","         65.93"
"GAIL","EQ","19-May-2017","        404.75","        404.00","        406.35","        396.00","        401.35","        401.05","        400.31","    2847835","          1140022072.40","      64928","    1922275","         67.50"
"GAIL","EQ","22-May-2017","        401.05","        404.30","        404.30","        387.05","        388.85","        390.20","        394.05","    2356287","           928506059.70","      47455","     982053","         41.68"
"GAIL","EQ","23-May-2017","        390.20","        380.10","        386.45","        365.50","        380.00","        380.35","        374.70","    9935103","          3722635322.05","     103859","    4352691","         43.81"
"GAIL","EQ","24-May-2017","        380.35","        382.00","        392.75","        375.15","        392.00","        390.65","        386.42","    4051382","          1565544720.25","      67002","    1782890","         44.01"
"GAIL","EQ","25-May-2017","        390.65","        392.55","        403.95","        391.90","        396.80","        401.00","        399.79","    7771785","          3107071322.50","      92446","    5353155","         68.88"
"GAIL","EQ","26-May-2017","        401.00","        399.70","        403.00","        398.00","        401.70","        401.75","        400.61","    2024741","           811127274.10","      53478","    1524152","         75.28"
"GAIL","EQ","29-May-2017","        401.75","        400.00","        405.75","        395.15","        400.50","        401.15","        399.97","    2131677","           852614063.90","      21058","    1256936","         58.96"
"GAIL","EQ","30-May-2017","        401.15","        398.15","        408.55","        398.00","        406.40","        405.45","        405.55","    2062918","           836615924.10","      44832","    1255144","         60.84"
"GAIL","EQ","31-May-2017","        405.45","        406.40","        417.80","        406.40","        413.00","        414.00","        413.02","    7712717","          3185518283.25","      96928","    6246802","         80.99"
"GAIL","EQ","01-Jun-2017","        414.00","        414.00","        415.00","        407.45","        410.50","        410.35","        410.30","    1704028","           699162139.55","      29092","    1175295","         68.97"
"GAIL","EQ","02-Jun-2017","        410.35","        411.25","        413.40","        399.50","        401.60","        402.35","        403.17","    2592907","          1045393183.15","      59428","    1641469","         63.31"
"GAIL","EQ","05-Jun-2017","        402.35","        402.10","        404.80","        397.05","        397.90","        398.00","        400.73","    1600250","           641273683.00","      24436","     853305","         53.32"
"GAIL","EQ","06-Jun-2017","        398.00","        398.35","        404.00","        394.25","        398.85","        398.90","        399.58","    1634672","           653178079.25","      31929","     750577","         45.92"
"GAIL","EQ","07-Jun-2017","        398.90","        399.50","        408.70","        399.50","        402.10","        402.60","        404.40","    2110469","           853477001.75","      26293","     760565","         36.04"
"GAIL","EQ","08-Jun-2017","        402.60","        402.50","        404.55","        384.55","        385.25","        388.60","        391.51","    3973648","          1555733724.60","      37408","    2485385","         62.55"
"GAIL","EQ","09-Jun-2017","        388.60","        388.00","        388.00","        378.45","        381.00","        381.15","        381.54","    3245904","          1238428347.30","      68096","    1468159","         45.23"
"GAIL","EQ","12-Jun-2017","        381.15","        381.00","        387.25","        376.65","        380.90","        381.40","        384.03","    2976063","          1142893287.60","      42087","    1303506","         43.80"
"GAIL","EQ","13-Jun-2017","        381.40","        382.00","        387.00","        379.40","        381.90","        381.70","        382.57","    1863735","           713009347.10","      37069","    1145228","         61.45"
"GAIL","EQ","14-Jun-2017","        381.70","        382.10","        384.50","        379.00","        381.50","        381.05","        381.34","    2284680","           871243228.50","      39313","    1545587","         67.65"
