"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","15-May-2017","       1549.80","       1554.50","       1572.60","       1554.10","       1561.00","       1559.50","       1562.62","    1270297","          1984989921.95","      59917","     955875","         75.25"
"HDFC","W2","15-May-2017","        204.45","        217.95","        217.95","        205.00","        205.00","        205.00","        209.50","      29200","             6117400.00","          4","      29200","        100.00"
"HDFC","EQ","16-May-2017","       1559.50","       1558.00","       1569.00","       1554.00","       1568.00","       1566.55","       1564.05","    2114918","          3307844027.00","      79354","    1652379","         78.13"
"HDFC","EQ","17-May-2017","       1566.55","       1565.50","       1570.95","       1549.75","       1550.10","       1552.50","       1557.08","    2161434","          3365526233.20","      80317","    1794472","         83.02"
"HDFC","W2","17-May-2017","        205.00","        204.95","        207.00","        204.95","        207.00","        207.00","        205.75","      73000","            15019385.00","         10","      73000","        100.00"
"HDFC","EQ","18-May-2017","       1552.50","       1547.00","       1558.60","       1526.50","       1545.00","       1537.05","       1539.03","    2404372","          3700407244.80","      85842","    1837821","         76.44"
"HDFC","W2","18-May-2017","        207.00","        205.25","        205.25","        200.50","        201.50","        201.50","        202.63","     153300","            31063325.00","         16","     124100","         80.95"
"HDFC","EQ","19-May-2017","       1537.05","       1545.00","       1548.00","       1515.35","       1526.50","       1520.60","       1526.14","    2142433","          3269651728.75","     113875","    1601236","         74.74"
"HDFC","W2","19-May-2017","        201.50","        199.00","        199.00","        192.05","        195.00","        195.00","        194.81","      36500","             7110565.00","          5","      29200","         80.00"
"HDFC","EQ","22-May-2017","       1520.60","       1530.00","       1530.00","       1510.25","       1519.95","       1519.85","       1518.84","    1920867","          2917481234.80","      70390","    1541085","         80.23"
"HDFC","W2","22-May-2017","        195.00","        193.00","        194.40","        193.00","        193.00","        193.00","        193.35","      29200","             5645820.00","          4","      21900","         75.00"
"HDFC","EQ","23-May-2017","       1519.85","       1521.70","       1537.20","       1503.45","       1510.00","       1511.50","       1521.20","    1408855","          2143148588.05","      56848","     969791","         68.84"
"HDFC","W2","23-May-2017","        193.00","        196.50","        198.80","        194.00","        194.25","        194.25","        195.52","      36500","             7136480.00","          5","      36500","        100.00"
"HDFC","EQ","24-May-2017","       1511.50","       1519.00","       1541.75","       1512.40","       1525.00","       1524.85","       1527.90","    2209471","          3375851161.20","      75808","    1361319","         61.61"
"HDFC","W2","24-May-2017","        194.25","        193.00","        196.50","        190.25","        194.00","        194.00","        193.29","      43800","             8466175.00","          6","      29200","         66.67"
"HDFC","EQ","25-May-2017","       1524.85","       1533.90","       1546.00","       1530.50","       1539.00","       1539.75","       1539.88","    4099792","          6313183910.85","      91104","    3327557","         81.16"
"HDFC","W2","25-May-2017","        194.00","        198.00","        198.00","        198.00","        198.00","        198.00","        198.00","       7300","             1445400.00","          1","       7300","        100.00"
"HDFC","EQ","26-May-2017","       1539.75","       1538.10","       1563.00","       1530.25","       1544.50","       1547.90","       1548.63","    1871008","          2897490679.90","      59347","    1270174","         67.89"
"HDFC","W2","26-May-2017","        198.00","        203.95","        205.00","        203.00","        204.50","        204.15","        203.93","      43800","             8931915.00","          6","      14600","         33.33"
"HDFC","EQ","29-May-2017","       1547.90","       1546.00","       1601.25","       1546.00","       1596.75","       1598.85","       1586.02","    3464406","          5494626677.80","      75137","    1961992","         56.63"
"HDFC","W2","29-May-2017","        204.15","        216.70","        224.55","        215.00","        223.10","        223.10","        221.41","     211700","            46872205.00","         29","     189800","         89.66"
"HDFC","EQ","30-May-2017","       1598.85","       1595.70","       1604.00","       1575.05","       1582.60","       1579.50","       1588.05","    1605211","          2549149347.80","      77293","    1019565","         63.52"
"HDFC","W2","30-May-2017","        223.10","        221.00","        221.00","        221.00","        221.00","        221.00","        221.00","       7300","             1613300.00","          1","       7300","        100.00"
"HDFC","EQ","31-May-2017","       1579.50","       1581.00","       1596.15","       1565.40","       1576.80","       1569.85","       1571.89","    4907685","          7714319619.25","     160031","    3833239","         78.11"
"HDFC","W2","31-May-2017","        221.00","        219.00","        223.00","        211.50","        220.00","        218.25","        216.30","     175200","            37895760.00","         24","      94900","         54.17"
"HDFC","EQ","01-Jun-2017","       1569.85","       1551.80","       1587.40","       1551.80","       1577.25","       1583.75","       1575.11","    2990228","          4709941589.05","     155736","    1983472","         66.33"
"HDFC","W2","01-Jun-2017","        218.25","        212.00","        217.95","        212.00","        217.95","        217.95","        214.33","      43800","             9387800.00","          6","      14600","         33.33"
"HDFC","EQ","02-Jun-2017","       1583.75","       1582.00","       1612.80","       1582.00","       1595.35","       1604.65","       1602.17","    3427957","          5492166765.50","      99348","    2572628","         75.05"
"HDFC","W2","02-Jun-2017","        217.95","        224.00","        236.80","        224.00","        235.20","        235.20","        233.65","     131400","            30701245.00","         18","     124100","         94.44"
"HDFC","EQ","05-Jun-2017","       1604.65","       1606.40","       1612.00","       1591.15","       1605.00","       1606.15","       1603.91","    2988075","          4792593901.00","      81217","    2167100","         72.52"
"HDFC","W2","05-Jun-2017","        235.20","        238.00","        244.80","        238.00","        244.80","        244.80","        243.29","      51100","            12432265.00","          7","      43800","         85.71"
"HDFC","EQ","06-Jun-2017","       1606.15","       1610.00","       1624.85","       1602.50","       1603.70","       1605.75","       1611.85","    2170920","          3499204655.90","      48603","    1537563","         70.83"
"HDFC","W2","06-Jun-2017","        244.80","        248.50","        248.50","        241.00","        241.00","        242.40","        246.86","     277400","            68479840.00","         26","     240900","         86.84"
"HDFC","EQ","07-Jun-2017","       1605.75","       1609.70","       1611.50","       1590.60","       1600.00","       1599.35","       1598.75","    1726464","          2760190740.40","      69120","    1256284","         72.77"
"HDFC","W2","07-Jun-2017","        242.40","        238.00","        238.00","        238.00","        238.00","        238.00","        238.00","       7300","             1737400.00","          1","       7300","        100.00"
"HDFC","EQ","08-Jun-2017","       1599.35","       1608.90","       1635.00","       1605.00","       1631.00","       1633.55","       1628.23","    2289492","          3727828269.55","     104016","    1459772","         63.76"
"HDFC","W2","08-Jun-2017","        238.00","        240.00","        261.75","        240.00","        260.50","        260.50","        256.41","     153300","            39307215.00","         21","     116800","         76.19"
"HDFC","EQ","09-Jun-2017","       1633.55","       1628.00","       1649.00","       1620.10","       1646.10","       1647.20","       1636.33","    2633241","          4308859894.05","      73460","    1898414","         72.09"
"HDFC","W2","09-Jun-2017","        260.50","        256.00","        269.00","        256.00","        268.00","        268.35","        264.83","      87600","            23199035.00","         11","      51100","         58.33"
