"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IOC","EQ","15-May-2017","        434.90","        437.85","        443.55","        433.85","        441.75","        442.10","        440.94","    2539479","          1119766160.85","      54884","    1480363","         58.29"
"IOC","EQ","16-May-2017","        442.10","        444.00","        450.90","        442.95","        446.20","        446.60","        446.41","    5201774","          2322110423.15","      90725","    3466447","         66.64"
"IOC","EQ","17-May-2017","        446.60","        447.15","        449.90","        442.10","        444.10","        444.25","        446.99","    3665629","          1638498496.80","      96434","    2455693","         66.99"
"IOC","EQ","18-May-2017","        444.25","        444.30","        445.75","        439.15","        439.50","        439.90","        441.58","    2724845","          1203234026.45","      60501","    1781119","         65.37"
"IOC","EQ","19-May-2017","        439.90","        439.50","        446.90","        433.45","        437.00","        435.40","        440.44","    3458809","          1523395296.70","     119946","    2130108","         61.59"
"IOC","EQ","22-May-2017","        435.40","        436.30","        437.00","        423.75","        426.00","        425.35","        429.67","    3236957","          1390834224.90","      89131","    2014839","         62.24"
"IOC","EQ","23-May-2017","        425.35","        428.00","        430.95","        418.75","        425.50","        424.25","        424.07","    4187364","          1775733054.25","      96191","    2582850","         61.68"
"IOC","EQ","24-May-2017","        424.25","        426.50","        437.75","        421.60","        430.00","        430.55","        430.79","    4247142","          1829605948.85","     100488","    2549065","         60.02"
"IOC","EQ","25-May-2017","        430.55","        431.45","        443.50","        423.50","        435.75","        438.95","        434.90","   10044217","          4368227625.10","     110511","    5573543","         55.49"
"IOC","EQ","26-May-2017","        438.95","        429.00","        433.50","        416.00","        425.90","        426.05","        422.30","    8573880","          3620764079.90","     106678","    4016702","         46.85"
"IOC","EQ","29-May-2017","        426.05","        427.40","        432.90","        416.00","        416.60","        419.25","        421.48","    4826446","          2034273338.25","      73112","    2922312","         60.55"
"IOC","EQ","30-May-2017","        419.25","        418.70","        429.20","        418.50","        419.00","        419.55","        423.27","    7086540","          2999519175.85","      99612","    4586792","         64.73"
"IOC","EQ","31-May-2017","        419.55","        422.80","        434.50","        421.30","        429.15","        429.45","        428.61","   66923743","         28684296361.25","     361372","   51722098","         77.29"
"IOC","EQ","01-Jun-2017","        429.45","        428.40","        428.40","        411.05","        413.65","        413.85","        417.86","    6857292","          2865383960.45","      84538","    4552425","         66.39"
"IOC","EQ","02-Jun-2017","        413.85","        417.00","        419.70","        411.35","        414.80","        414.80","        414.58","    3938871","          1632979105.40","      63064","    2442045","         62.00"
"IOC","EQ","05-Jun-2017","        414.80","        417.85","        423.65","        416.15","        422.45","        422.05","        419.94","    3567888","          1498312338.20","      74932","    2283268","         63.99"
