"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","15-May-2017","       1367.85","       1373.00","       1386.65","       1370.00","       1374.80","       1375.65","       1378.31","     558190","           769357918.15","      38442","     386664","         69.27"
"M&amp;M","EQ","16-May-2017","       1375.65","       1377.00","       1380.50","       1363.10","       1364.15","       1366.35","       1371.22","     516012","           707563396.95","      29075","     334469","         64.82"
"M&amp;M","EQ","17-May-2017","       1366.35","       1363.00","       1384.35","       1360.40","       1379.00","       1378.80","       1378.56","     920884","          1269496569.50","      32299","     689649","         74.89"
"M&amp;M","EQ","18-May-2017","       1378.80","       1369.00","       1372.00","       1347.50","       1347.50","       1352.85","       1361.70","    1217846","          1658344015.40","      20476","    1043736","         85.70"
"M&amp;M","EQ","19-May-2017","       1352.85","       1350.00","       1357.60","       1328.50","       1338.20","       1333.40","       1344.80","     976742","          1313521664.40","      36297","     773590","         79.20"
"M&amp;M","EQ","22-May-2017","       1333.40","       1340.15","       1341.95","       1301.10","       1307.00","       1306.25","       1313.89","     436797","           573901073.90","      26521","     261661","         59.90"
"M&amp;M","EQ","23-May-2017","       1306.25","       1315.00","       1338.35","       1300.00","       1328.35","       1331.75","       1324.90","     780182","          1033663448.90","      40561","     445992","         57.17"
"M&amp;M","EQ","24-May-2017","       1331.75","       1331.50","       1338.80","       1301.45","       1308.00","       1308.65","       1314.05","     625683","           822180435.00","      29997","     382266","         61.10"
"M&amp;M","EQ","25-May-2017","       1308.65","       1311.00","       1335.90","       1304.00","       1335.90","       1327.50","       1321.97","    1456698","          1925707945.30","      60911","    1095811","         75.23"
"M&amp;M","EQ","26-May-2017","       1327.50","       1334.00","       1348.90","       1327.50","       1341.00","       1340.85","       1339.17","     335223","           448919973.95","      16125","     156414","         46.66"
"M&amp;M","EQ","29-May-2017","       1340.85","       1345.00","       1375.75","       1327.40","       1362.90","       1360.05","       1353.03","    1058764","          1432543453.90","      37535","     603995","         57.05"
