"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AJANTPHARM","EQ","15-May-2017","       1616.30","       1610.00","       1643.40","       1601.00","       1636.00","       1633.50","       1626.20","      80998","           131719072.30","       8331","      24643","         30.42"
"AJANTPHARM","EQ","16-May-2017","       1633.50","       1632.50","       1643.45","       1610.00","       1638.00","       1634.25","       1626.38","      49236","            80076673.70","       4863","      13831","         28.09"
"AJANTPHARM","EQ","17-May-2017","       1634.25","       1620.50","       1668.00","       1620.50","       1655.00","       1654.35","       1651.81","     210648","           347950447.00","      12022","     131496","         62.42"
"AJANTPHARM","EQ","18-May-2017","       1654.35","       1640.25","       1663.95","       1621.85","       1639.00","       1633.40","       1633.59","      81511","           133155343.45","       5489","      37544","         46.06"
"AJANTPHARM","EQ","19-May-2017","       1633.40","       1640.00","       1681.20","       1621.50","       1663.70","       1670.25","       1655.61","     189657","           313997937.25","       8043","      89768","         47.33"
"AJANTPHARM","EQ","22-May-2017","       1670.25","       1670.00","       1692.00","       1648.00","       1684.00","       1677.95","       1675.96","     157923","           264672422.65","       7367","      71708","         45.41"
"AJANTPHARM","EQ","23-May-2017","       1677.95","       1687.80","       1696.95","       1619.00","       1667.20","       1676.80","       1661.35","     209386","           347864025.85","       9880","      83637","         39.94"
"AJANTPHARM","EQ","24-May-2017","       1676.80","       1672.00","       1693.00","       1623.30","       1638.50","       1657.45","       1658.59","     171228","           283996664.40","       8998","      74108","         43.28"
"AJANTPHARM","EQ","25-May-2017","       1657.45","       1650.00","       1654.85","       1578.05","       1608.55","       1616.15","       1607.21","     284830","           457782786.20","      18627","      59249","         20.80"
"AJANTPHARM","EQ","26-May-2017","       1616.15","       1615.00","       1625.40","       1569.15","       1597.00","       1602.15","       1596.92","     132760","           212007453.80","       8474","      31926","         24.05"
"AJANTPHARM","EQ","29-May-2017","       1602.15","       1597.00","       1599.90","       1401.65","       1530.00","       1536.30","       1517.71","     591966","           898433027.80","      29238","      79182","         13.38"
"AJANTPHARM","EQ","30-May-2017","       1536.30","       1520.20","       1565.05","       1518.00","       1560.05","       1549.00","       1545.75","     119526","           184757404.30","       6259","      25298","         21.17"
"AJANTPHARM","EQ","31-May-2017","       1549.00","       1560.00","       1588.95","       1541.40","       1573.00","       1569.80","       1567.99","      76670","           120217439.45","       5811","      19624","         25.60"
"AJANTPHARM","EQ","01-Jun-2017","       1569.80","       1569.00","       1615.40","       1560.00","       1614.00","       1606.40","       1594.88","     103525","           165109600.40","       5884","      19501","         18.84"
"AJANTPHARM","EQ","02-Jun-2017","       1606.40","       1629.00","       1629.60","       1589.00","       1613.00","       1607.55","       1606.52","      80491","           129310711.25","       4923","      36389","         45.21"
"AJANTPHARM","EQ","05-Jun-2017","       1607.55","       1613.00","       1628.00","       1595.00","       1599.20","       1604.40","       1612.29","      69627","           112259002.35","       3819","      24092","         34.60"
"AJANTPHARM","EQ","06-Jun-2017","       1604.40","       1618.00","       1618.00","       1571.65","       1578.00","       1580.85","       1586.42","      87333","           138546819.65","       6020","      46635","         53.40"
"AJANTPHARM","EQ","07-Jun-2017","       1580.85","       1580.85","       1585.60","       1558.00","       1565.00","       1562.90","       1567.30","      92425","           144857339.00","       6204","      33196","         35.92"
"AJANTPHARM","EQ","08-Jun-2017","       1562.90","       1577.00","       1600.00","       1557.00","       1567.90","       1569.10","       1567.55","     230227","           360892272.95","       5778","     113411","         49.26"
"AJANTPHARM","EQ","09-Jun-2017","       1569.10","       1572.00","       1592.00","       1558.25","       1569.00","       1570.55","       1574.16","      51592","            81213836.25","       3847","      17048","         33.04"
"AJANTPHARM","EQ","12-Jun-2017","       1570.55","       1560.00","       1580.00","       1549.50","       1553.00","       1559.50","       1568.00","      35636","            55877391.95","       2835","      11798","         33.11"
"AJANTPHARM","EQ","13-Jun-2017","       1559.50","       1557.00","       1565.90","       1541.00","       1548.25","       1544.75","       1551.42","      53727","            83353269.45","       3227","      21455","         39.93"
