"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AMARAJABAT","EQ","15-May-2017","        926.25","        928.20","        938.95","        928.00","        929.10","        933.40","        934.34","     442351","           413307446.90","      16295","     194376","         43.94"
"AMARAJABAT","EQ","16-May-2017","        933.40","        937.30","        937.30","        917.40","        923.00","        924.70","        928.74","     302097","           280570514.40","      10098","     139993","         46.34"
"AMARAJABAT","EQ","17-May-2017","        924.70","        924.00","        941.00","        920.85","        935.20","        937.70","        935.89","     449382","           420573432.55","      12467","     212942","         47.39"
"AMARAJABAT","EQ","18-May-2017","        937.70","        932.45","        932.45","        906.00","        912.85","        912.10","        920.00","     251893","           231741646.45","       8547","      90560","         35.95"
"AMARAJABAT","EQ","19-May-2017","        912.10","        919.00","        922.50","        887.15","        897.95","        895.75","        904.07","     210088","           189935162.10","       7711","      64656","         30.78"
"AMARAJABAT","EQ","22-May-2017","        895.75","        902.30","        905.80","        875.05","        875.30","        877.70","        890.40","     255592","           227578528.95","      10813","     104615","         40.93"
"AMARAJABAT","EQ","23-May-2017","        877.70","        878.70","        889.15","        860.50","        869.00","        874.20","        876.86","     451773","           396140173.60","      14140","     199107","         44.07"
"AMARAJABAT","EQ","24-May-2017","        874.20","        874.90","        886.35","        805.70","        830.15","        835.65","        841.26","    1862271","          1566652531.45","      39701","     669714","         35.96"
"AMARAJABAT","EQ","25-May-2017","        835.65","        833.00","        848.15","        824.05","        839.95","        837.45","        836.49","     402168","           336410596.70","      15675","     131928","         32.80"
"AMARAJABAT","EQ","26-May-2017","        837.45","        839.80","        877.50","        838.20","        863.55","        865.85","        863.83","     624926","           539830867.40","      23249","     347241","         55.57"
"AMARAJABAT","EQ","29-May-2017","        865.85","        865.40","        866.00","        842.10","        860.00","        858.35","        855.47","     297787","           254749071.65","       7755","     156768","         52.64"
"AMARAJABAT","EQ","30-May-2017","        858.35","        859.65","        870.00","        846.20","        866.05","        868.35","        863.64","     229799","           198463402.40","       8251","      88666","         38.58"
"AMARAJABAT","EQ","31-May-2017","        868.35","        868.00","        882.80","        868.00","        880.00","        874.40","        876.07","     233268","           204358189.35","      10975","     110342","         47.30"
"AMARAJABAT","EQ","01-Jun-2017","        874.40","        872.00","        879.05","        863.20","        870.00","        868.25","        870.76","     220491","           191994444.05","       8756","     109647","         49.73"
"AMARAJABAT","EQ","02-Jun-2017","        868.25","        868.95","        877.45","        865.60","        873.40","        873.65","        872.17","     177113","           154472519.35","      14321","      77816","         43.94"
"AMARAJABAT","EQ","05-Jun-2017","        873.65","        874.90","        882.70","        872.00","        881.80","        880.15","        878.61","     148500","           130473681.00","      13032","      86063","         57.95"
"AMARAJABAT","EQ","06-Jun-2017","        880.15","        885.00","        887.00","        873.05","        873.20","        877.90","        880.18","     232079","           204272103.35","       9071","     144954","         62.46"
"AMARAJABAT","EQ","07-Jun-2017","        877.90","        876.10","        881.60","        870.05","        873.00","        874.25","        875.37","     171190","           149855326.30","       8634","      84580","         49.41"
"AMARAJABAT","EQ","08-Jun-2017","        874.25","        875.00","        879.85","        863.50","        865.50","        866.95","        866.99","     178292","           154577747.90","       8143","      96363","         54.05"
"AMARAJABAT","EQ","09-Jun-2017","        866.95","        871.50","        871.50","        856.65","        858.25","        860.85","        860.49","     285938","           246046191.50","       5894","     205165","         71.75"
"AMARAJABAT","EQ","12-Jun-2017","        860.85","        854.00","        855.50","        845.00","        846.95","        847.90","        848.49","     348723","           295888873.65","      11303","     196626","         56.38"
"AMARAJABAT","EQ","13-Jun-2017","        847.90","        850.00","        855.10","        838.00","        838.55","        841.15","        844.56","     374311","           316129871.85","      14565","     209188","         55.89"
"AMARAJABAT","EQ","14-Jun-2017","        841.15","        841.95","        846.55","        832.00","        845.00","        844.10","        840.58","     175870","           147832928.20","       9289","      62183","         35.36"
"AMARAJABAT","EQ","15-Jun-2017","        844.10","        845.00","        845.05","        836.00","        838.80","        838.10","        840.07","     198311","           166594646.40","       8316","     118632","         59.82"
