"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CUMMINSIND","EQ","15-May-2017","       1052.25","       1068.00","       1070.90","       1046.75","       1066.00","       1066.05","       1055.68","     145671","           153782519.65","      10148","      67829","         46.56"
"CUMMINSIND","EQ","16-May-2017","       1066.05","       1066.20","       1068.95","       1042.00","       1046.00","       1047.75","       1053.93","     176596","           186119438.90","       9849","     111884","         63.36"
"CUMMINSIND","EQ","17-May-2017","       1047.75","       1047.75","       1052.95","       1010.15","       1016.00","       1016.45","       1024.25","     261366","           267704448.55","      20344","     140100","         53.60"
"CUMMINSIND","EQ","18-May-2017","       1016.45","       1010.00","       1070.00","        982.05","       1058.05","       1054.45","       1035.72","     984418","          1019581267.35","      33701","     447682","         45.48"
"CUMMINSIND","EQ","19-May-2017","       1054.45","       1015.00","       1015.00","        932.55","        980.00","        972.95","        972.51","    2807183","          2730015541.45","      86579","     882502","         31.44"
"CUMMINSIND","EQ","22-May-2017","        972.95","        980.00","        980.00","        907.80","        939.95","        930.80","        930.29","    1380001","          1283794322.35","      59940","     498067","         36.09"
"CUMMINSIND","EQ","23-May-2017","        930.80","        921.00","        939.70","        884.55","        924.00","        926.20","        916.15","     783589","           717881265.00","      30995","     462626","         59.04"
"CUMMINSIND","EQ","24-May-2017","        926.20","        930.00","        934.95","        908.00","        920.00","        914.80","        917.04","     323044","           296244982.85","      13799","     164652","         50.97"
"CUMMINSIND","EQ","25-May-2017","        914.80","        927.50","        928.85","        898.25","        927.95","        925.05","        916.86","     574618","           526841441.80","      27357","     363336","         63.23"
"CUMMINSIND","EQ","26-May-2017","        925.05","        940.00","        956.35","        923.15","        945.00","        949.95","        945.98","     314033","           297067459.60","       6967","     197646","         62.94"
"CUMMINSIND","EQ","29-May-2017","        949.95","        949.00","        956.75","        931.55","        933.60","        936.00","        945.97","     204901","           193831099.90","       5455","     121049","         59.08"
"CUMMINSIND","EQ","30-May-2017","        936.00","        930.00","        950.00","        918.00","        927.20","        931.45","        932.42","     266113","           248130164.30","       7409","     129467","         48.65"
"CUMMINSIND","EQ","31-May-2017","        931.45","        945.00","        954.40","        931.50","        937.00","        941.40","        944.09","     216181","           204094943.45","       6739","     130069","         60.17"
"CUMMINSIND","EQ","01-Jun-2017","        941.40","        944.95","        945.00","        915.00","        920.90","        925.10","        929.70","     183427","           170532432.25","      18300","      94853","         51.71"
"CUMMINSIND","EQ","02-Jun-2017","        925.10","        928.00","        959.00","        924.25","        938.20","        943.20","        948.39","     329563","           312553497.30","      13495","     109078","         33.10"
"CUMMINSIND","EQ","05-Jun-2017","        943.20","        944.90","        946.90","        928.20","        931.45","        932.70","        933.34","     149617","           139643540.30","       4864","      87788","         58.68"
