"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DHFL","EQ","15-May-2017","        426.65","        429.50","        434.40","        427.05","        431.00","        431.40","        430.94","    1160661","           500175906.30","      15111","     295581","         25.47"
"DHFL","N6","15-May-2017","       1007.25","       1009.90","       1009.90","       1009.90","       1009.90","       1009.90","       1009.90","         50","               50495.00","          1","         50","        100.00"
"DHFL","N8","15-May-2017","       1055.00","       1055.20","       1055.20","       1055.20","       1055.20","       1055.20","       1055.20","         48","               50649.60","          2","         48","        100.00"
"DHFL","NA","15-May-2017","       1070.00","       1070.00","       1070.00","       1070.00","       1070.00","       1070.00","       1070.00","          1","                1070.00","          1","          1","        100.00"
"DHFL","NB","15-May-2017","       1040.00","       1050.00","       1050.00","       1050.00","       1050.00","       1050.00","       1050.00","          6","                6300.00","          1","          6","        100.00"
"DHFL","NC","15-May-2017","       1071.00","       1070.00","       1072.50","       1070.00","       1072.00","       1072.28","       1071.94","       1488","             1595041.80","         15","       1488","        100.00"
"DHFL","NH","15-May-2017","       1150.00","       1149.00","       1149.00","       1149.00","       1149.00","       1149.00","       1149.00","         34","               39066.00","          1","         34","        100.00"
"DHFL","NL","15-May-2017","       1044.30","       1050.00","       1058.00","       1040.50","       1040.60","       1040.60","       1040.76","        185","              192540.25","          5","        185","        100.00"
"DHFL","NN","15-May-2017","       1050.00","       1050.00","       1050.00","       1043.00","       1043.00","       1043.00","       1043.83","        100","              104383.25","          5","        100","        100.00"
"DHFL","NP","15-May-2017","       1061.21","       1061.50","       1062.50","       1061.50","       1062.00","       1062.15","       1062.11","       1620","             1720626.02","         21","       1620","        100.00"
"DHFL","EQ","16-May-2017","        431.40","        431.00","        433.80","        421.65","        424.05","        424.45","        425.13","    1662805","           706915227.60","      31644","     681320","         40.97"
"DHFL","N2","16-May-2017","       1008.00","       1001.30","       1001.30","       1000.00","       1000.00","       1000.00","       1001.20","         27","               27032.50","          2","         27","        100.00"
"DHFL","N6","16-May-2017","       1009.90","       1009.00","       1015.00","       1009.00","       1010.00","       1012.31","       1012.09","        302","              305651.40","         15","        262","         86.75"
"DHFL","N8","16-May-2017","       1055.20","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","         34","               36040.00","          3","         34","        100.00"
"DHFL","NC","16-May-2017","       1072.28","       1071.70","       1073.00","       1070.00","       1070.00","       1071.42","       1071.59","        669","              716896.70","         13","        655","         97.91"
"DHFL","NH","16-May-2017","       1149.00","       1150.00","       1175.00","       1150.00","       1175.00","       1175.00","       1166.67","        150","              175000.00","          5","        150","        100.00"
"DHFL","NL","16-May-2017","       1040.60","       1041.20","       1045.25","       1041.20","       1043.70","       1043.61","       1043.66","        928","              968512.00","         39","        928","        100.00"
"DHFL","NP","16-May-2017","       1062.15","       1063.10","       1063.39","       1060.00","       1061.00","       1061.03","       1061.79","       3621","             3844734.58","         46","       3307","         91.33"
"DHFL","EQ","17-May-2017","        424.45","        424.50","        432.50","        420.10","        428.30","        429.00","        428.13","    1443843","           618148331.20","      20808","     371928","         25.76"
"DHFL","N2","17-May-2017","       1000.00","        996.80","        996.80","        996.70","        996.70","        996.70","        996.76","         34","               33889.80","          2","         34","        100.00"
"DHFL","N6","17-May-2017","       1012.31","       1007.02","       1014.00","       1007.02","       1012.10","       1012.10","       1009.37","         85","               85796.60","          9","         80","         94.12"
"DHFL","N8","17-May-2017","       1060.00","       1055.00","       1057.02","       1055.00","       1057.02","       1057.02","       1056.35","        102","              107747.36","          2","        102","        100.00"
"DHFL","NC","17-May-2017","       1071.42","       1072.00","       1072.00","       1069.00","       1069.00","       1069.66","       1071.30","        765","              819545.00","          7","        765","        100.00"
"DHFL","NH","17-May-2017","       1175.00","       1175.00","       1175.00","       1175.00","       1175.00","       1175.00","       1175.00","        338","              397150.00","          4","        338","        100.00"
"DHFL","NL","17-May-2017","       1043.61","       1048.00","       1048.00","       1043.56","       1044.50","       1044.18","       1044.09","        730","              762184.40","          8","        530","         72.60"
"DHFL","NN","17-May-2017","       1043.00","       1043.00","       1043.00","       1042.50","       1042.50","       1042.50","       1042.91","        151","              157480.00","          7","        151","        100.00"
"DHFL","NP","17-May-2017","       1061.03","       1062.50","       1062.50","       1050.00","       1057.07","       1057.07","       1060.89","       2985","             3166762.62","         37","       2985","        100.00"
"DHFL","EQ","18-May-2017","        429.00","        424.95","        427.90","        416.55","        418.50","        417.95","        422.22","    1639654","           692300664.05","      32812","     534358","         32.59"
"DHFL","N6","18-May-2017","       1012.10","       1010.00","       1015.00","       1004.01","       1015.00","       1015.00","       1012.32","       1901","             1924422.45","         29","       1626","         85.53"
"DHFL","NC","18-May-2017","       1069.66","       1070.10","       1070.10","       1070.00","       1070.10","       1070.10","       1070.01","        217","              232191.70","          5","        217","        100.00"
"DHFL","NE","18-May-2017","       1055.15","       1062.00","       1062.00","       1062.00","       1062.00","       1062.00","       1062.00","         10","               10620.00","          1","         10","        100.00"
"DHFL","NP","18-May-2017","       1057.07","       1050.00","       1067.00","       1050.00","       1060.52","       1060.52","       1061.61","       3185","             3381216.10","         19","       2345","         73.63"
"DHFL","EQ","19-May-2017","        417.95","        423.00","        426.45","        398.65","        405.90","        404.20","        411.93","    2693962","          1109715622.80","      33554","     884888","         32.85"
"DHFL","N6","19-May-2017","       1015.00","       1016.60","       1016.60","       1016.60","       1016.60","       1016.60","       1016.60","         10","               10166.00","          1","         10","        100.00"
"DHFL","N8","19-May-2017","       1057.02","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","          5","                5300.00","          1","          5","        100.00"
"DHFL","NC","19-May-2017","       1070.10","       1070.00","       1071.95","       1070.00","       1071.95","       1071.67","       1071.12","        213","              228148.25","          5","        213","        100.00"
"DHFL","NJ","19-May-2017","       1050.00","       1050.00","       1050.00","       1050.00","       1050.00","       1050.00","       1050.00","         68","               71400.00","          2","         68","        100.00"
"DHFL","NL","19-May-2017","       1044.18","       1044.50","       1050.00","       1044.50","       1050.00","       1050.00","       1048.13","        142","              148834.60","          7","        142","        100.00"
"DHFL","NP","19-May-2017","       1060.52","       1063.50","       1064.50","       1063.40","       1063.50","       1063.50","       1063.86","       1381","             1469195.10","         21","       1381","        100.00"
"DHFL","EQ","22-May-2017","        404.20","        408.00","        412.15","        400.25","        403.90","        404.00","        405.76","    1636114","           663874862.95","      21505","     445687","         27.24"
"DHFL","N2","22-May-2017","        996.70","       1003.00","       1003.00","       1000.00","       1003.00","       1003.00","       1001.66","        397","              397660.00","          8","        397","        100.00"
"DHFL","N6","22-May-2017","       1016.60","       1016.50","       1016.50","       1016.00","       1016.00","       1016.00","       1016.06","        131","              133103.50","          8","        131","        100.00"
"DHFL","N8","22-May-2017","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","         10","               10600.00","          1","         10","        100.00"
"DHFL","NC","22-May-2017","       1071.67","       1070.01","       1071.95","       1069.00","       1071.95","       1071.95","       1069.91","       1509","             1614498.39","         15","       1309","         86.75"
"DHFL","NL","22-May-2017","       1050.00","       1050.00","       1058.80","       1050.00","       1058.79","       1056.28","       1054.24","        538","              567180.00","          8","        538","        100.00"
"DHFL","NP","22-May-2017","       1063.50","       1063.00","       1064.20","       1061.00","       1064.20","       1063.98","       1062.98","       8502","             9037429.05","         51","       7677","         90.30"
