"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GMRINFRA","EQ","15-May-2017","         16.60","         16.70","         17.70","         16.70","         17.60","         17.55","         17.15","   51996656","           891657894.35","      11922","   29960644","         57.62"
"GMRINFRA","EQ","16-May-2017","         17.55","         17.60","         17.70","         17.05","         17.35","         17.40","         17.38","   18797177","           326723844.00","      10494","    5716554","         30.41"
"GMRINFRA","EQ","17-May-2017","         17.40","         17.40","         17.70","         17.25","         17.25","         17.30","         17.40","   14686157","           255570151.25","       8448","    4250771","         28.94"
"GMRINFRA","EQ","18-May-2017","         17.30","         17.15","         17.25","         16.65","         16.75","         16.75","         16.94","   17050095","           288900438.15","       9429","    5476423","         32.12"
"GMRINFRA","EQ","19-May-2017","         16.75","         16.85","         17.35","         16.60","         17.00","         16.95","         16.96","   22080313","           374440580.75","       9355","    2110450","          9.56"
"GMRINFRA","EQ","22-May-2017","         16.95","         17.10","         17.25","         16.65","         16.70","         16.80","         16.92","   13103012","           221739115.15","       6187","    1690943","         12.90"
"GMRINFRA","EQ","23-May-2017","         16.80","         16.70","         16.75","         15.60","         15.75","         15.90","         16.14","   27678783","           446774134.05","      14512","    7544503","         27.26"
"GMRINFRA","EQ","24-May-2017","         15.90","         15.90","         16.00","         14.25","         14.60","         14.55","         15.01","   34309492","           515072625.05","      22645","    6123558","         17.85"
"GMRINFRA","EQ","25-May-2017","         14.55","         14.70","         15.40","         14.45","         15.25","         15.20","         15.08","   29769387","           448799076.75","      18513","    9617533","         32.31"
"GMRINFRA","EQ","26-May-2017","         15.20","         15.30","         16.05","         15.15","         15.95","         15.95","         15.70","   17886317","           280852804.60","      10010","    4255974","         23.79"
"GMRINFRA","EQ","29-May-2017","         15.95","         16.00","         16.15","         14.70","         14.80","         14.80","         15.14","   19771246","           299397689.20","      16182","    6085479","         30.78"
"GMRINFRA","EQ","30-May-2017","         14.80","         14.45","         15.15","         14.20","         14.90","         15.00","         14.71","   22808916","           335470548.40","      17394","    6882926","         30.18"
"GMRINFRA","EQ","31-May-2017","         15.00","         15.00","         15.30","         14.75","         15.10","         15.05","         15.03","   20483733","           307813512.55","       8847","    7807318","         38.11"
"GMRINFRA","EQ","01-Jun-2017","         15.05","         15.25","         15.25","         14.60","         15.00","         14.95","         14.90","    6267102","            93359698.30","       4781","    1287570","         20.54"
"GMRINFRA","EQ","02-Jun-2017","         14.95","         15.05","         19.05","         14.95","         16.80","         16.90","         17.46","  318000100","          5552426068.10","     147752","   56772035","         17.85"
"GMRINFRA","EQ","05-Jun-2017","         16.90","         17.05","         17.65","         16.15","         16.75","         16.70","         16.89","  119450359","          2017744750.25","      70576","   33645464","         28.17"
"GMRINFRA","EQ","06-Jun-2017","         16.70","         16.75","         16.90","         16.10","         16.25","         16.20","         16.36","   31427653","           514214749.70","      20116","    5305236","         16.88"
"GMRINFRA","EQ","07-Jun-2017","         16.20","         16.30","         17.05","         16.30","         16.60","         16.65","         16.72","   54402871","           909653434.60","      22307","   19736751","         36.28"
"GMRINFRA","EQ","08-Jun-2017","         16.65","         16.70","         16.80","         16.50","         16.55","         16.60","         16.62","   22362868","           371577135.60","       7480","   11750715","         52.55"
"GMRINFRA","EQ","09-Jun-2017","         16.60","         16.70","         17.10","         16.20","         16.95","         17.00","         16.75","   23436220","           392595301.00","      11431","    6523037","         27.83"
"GMRINFRA","EQ","12-Jun-2017","         17.00","         16.95","         18.20","         16.75","         17.80","         17.75","         17.75","   87581719","          1554752749.05","      45834","   24855221","         28.38"
"GMRINFRA","EQ","13-Jun-2017","         17.75","         17.95","         19.50","         17.90","         18.90","         18.85","         18.85","  146441624","          2759883004.40","      64043","   31048424","         21.20"
"GMRINFRA","EQ","14-Jun-2017","         18.85","         18.85","         19.75","         18.15","         19.30","         19.30","         19.08","  106021545","          2023155124.55","      47613","   24966459","         23.55"
"GMRINFRA","EQ","15-Jun-2017","         19.30","         19.20","         20.10","         19.05","         19.75","         19.75","         19.61","   98657216","          1934420498.55","      48482","   14930339","         15.13"
"GMRINFRA","EQ","16-Jun-2017","         19.75","         19.60","         20.15","         19.25","         19.30","         19.45","         19.66","   54266696","          1066961331.80","      27698","    7333552","         13.51"
"GMRINFRA","EQ","19-Jun-2017","         19.45","         19.45","         19.70","         19.15","         19.25","         19.30","         19.41","   29545324","           573547073.00","      12926","    4415210","         14.94"
"GMRINFRA","EQ","20-Jun-2017","         19.30","         19.30","         20.20","         19.15","         20.05","         20.00","         19.74","   57331928","          1131807044.10","      30794","   10339513","         18.03"
"GMRINFRA","EQ","21-Jun-2017","         20.00","         20.10","         21.65","         19.85","         21.30","         21.35","         20.92","  132714510","          2776634790.80","      62360","   25681786","         19.35"
"GMRINFRA","EQ","22-Jun-2017","         21.35","         21.40","         22.05","         20.40","         20.75","         20.80","         21.41","   78981450","          1690971217.40","      41215","   17556700","         22.23"
"GMRINFRA","EQ","23-Jun-2017","         20.80","         20.65","         21.75","         20.35","         21.50","         21.35","         21.16","   68100893","          1440970584.80","      37119","   12682368","         18.62"
"GMRINFRA","EQ","27-Jun-2017","         21.35","         21.60","         22.00","         18.30","         19.25","         19.25","         20.18","   81835389","          1651368865.35","      38302","   21581943","         26.37"
"GMRINFRA","EQ","28-Jun-2017","         19.25","         19.20","         20.45","         18.80","         19.45","         19.30","         19.64","   64165663","          1260525287.35","      32237","   13692990","         21.34"
"GMRINFRA","EQ","29-Jun-2017","         19.30","         19.65","         19.80","         18.70","         18.90","         19.00","         19.12","  119030605","          2275961224.75","      35004","   40666595","         34.16"
"GMRINFRA","EQ","30-Jun-2017","         19.00","         19.15","         20.10","         19.00","         19.85","         19.65","         19.65","   66433073","          1305469265.90","      30013","   19287680","         29.03"
"GMRINFRA","EQ","03-Jul-2017","         19.65","         19.85","         20.25","         19.50","         19.60","         19.60","         19.82","   32453078","           643088166.05","      14848","   10255472","         31.60"
"GMRINFRA","EQ","04-Jul-2017","         19.60","         19.00","         19.75","         18.30","         18.50","         18.55","         18.82","   58574540","          1102523637.70","      26352","   19962080","         34.08"
"GMRINFRA","EQ","05-Jul-2017","         18.55","         18.65","         19.15","         18.45","         18.95","         18.90","         18.77","   50223748","           942558992.75","      24281","   15301449","         30.47"
"GMRINFRA","EQ","06-Jul-2017","         18.90","         19.20","         19.35","         18.65","         19.00","         19.00","         19.03","   33223410","           632230736.80","      15080","    5223497","         15.72"
"GMRINFRA","EQ","07-Jul-2017","         19.00","         19.00","         19.50","         18.50","         19.20","         19.30","         19.02","   40301587","           766407162.40","      17143","    9174946","         22.77"
"GMRINFRA","EQ","10-Jul-2017","         19.30","         19.30","         21.20","         18.85","         18.95","         19.00","         19.06","   10518942","           200520564.10","       5461","    3539118","         33.65"
"GMRINFRA","EQ","11-Jul-2017","         19.00","         19.20","         19.30","         18.30","         18.35","         18.45","         18.77","   26038665","           488644020.15","      17792","    8360277","         32.11"
"GMRINFRA","EQ","12-Jul-2017","         18.45","         18.50","         18.85","         17.65","         18.05","         18.05","         18.12","   79963225","          1448840026.50","      25527","   37886323","         47.38"
"GMRINFRA","EQ","13-Jul-2017","         18.05","         18.20","         18.35","         17.80","         17.95","         17.95","         18.02","   32054650","           577487264.55","      13713","    6986066","         21.79"
"GMRINFRA","EQ","14-Jul-2017","         17.95","         18.10","         18.65","         17.80","         18.15","         18.00","         18.07","   75911494","          1371595805.30","      17582","   32014990","         42.17"
"GMRINFRA","EQ","17-Jul-2017","         18.00","         18.35","         18.55","         17.95","         18.00","         18.05","         18.16","   28179488","           511856154.55","      13852","    9199358","         32.65"
"GMRINFRA","EQ","18-Jul-2017","         18.05","         17.95","         18.20","         17.60","         17.65","         17.70","         17.88","   16685431","           298378064.55","      10732","    4734092","         28.37"
"GMRINFRA","EQ","19-Jul-2017","         17.70","         17.80","         18.20","         17.75","         18.10","         18.10","         18.04","   20267425","           365641324.90","      15674","    5809255","         28.66"
"GMRINFRA","EQ","20-Jul-2017","         18.10","         18.20","         18.20","         17.75","         17.85","         17.80","         17.93","   13284154","           238214717.25","      10102","    4909485","         36.96"
"GMRINFRA","EQ","21-Jul-2017","         17.80","         17.40","         18.15","         17.20","         18.00","         18.00","         17.72","   51757767","           917249150.85","      34801","   14118884","         27.28"
"GMRINFRA","EQ","24-Jul-2017","         18.00","         18.25","         19.25","         18.15","         18.70","         18.65","         18.88","   89231715","          1684342075.05","      36181","   27245237","         30.53"
"GMRINFRA","EQ","25-Jul-2017","         18.65","         18.85","         18.95","         18.25","         18.75","         18.80","         18.66","   40548306","           756539928.10","      16775","   10815732","         26.67"
"GMRINFRA","EQ","26-Jul-2017","         18.80","         18.80","         19.45","         18.75","         19.15","         19.15","         19.14","   50394927","           964675127.70","      18509","   17821767","         35.36"
"GMRINFRA","EQ","27-Jul-2017","         19.15","         19.40","         19.70","         18.95","         19.35","         19.30","         19.31","   64432555","          1244279341.15","      22135","   24349688","         37.79"
"GMRINFRA","EQ","28-Jul-2017","         19.30","         19.25","         19.75","         18.70","         18.95","         18.90","         19.15","   65564234","          1255641404.10","      23372","   24016900","         36.63"
"GMRINFRA","EQ","31-Jul-2017","         18.90","         19.10","         19.15","         18.50","         18.75","         18.80","         18.84","   20709764","           390140648.50","       9514","    6482361","         31.30"
"GMRINFRA","EQ","01-Aug-2017","         18.80","         18.95","         19.05","         18.60","         18.70","         18.70","         18.85","   20289231","           382407622.50","       6793","    7035964","         34.68"
"GMRINFRA","EQ","02-Aug-2017","         18.70","         18.85","         18.95","         18.20","         18.45","         18.50","         18.53","   23115311","           428434256.90","       9049","    4495663","         19.45"
"GMRINFRA","EQ","03-Aug-2017","         18.50","         18.55","         18.55","         17.75","         17.95","         17.90","         18.21","   28780056","           524036929.95","      10683","    5435833","         18.89"
"GMRINFRA","EQ","04-Aug-2017","         17.90","         17.95","         18.05","         17.55","         17.65","         17.65","         17.77","   24423845","           433938581.45","      21710","    4827338","         19.76"
"GMRINFRA","EQ","07-Aug-2017","         17.65","         17.85","         18.75","         17.75","         18.55","         18.55","         18.32","   25559596","           468354500.20","      34370","    5455032","         21.34"
"GMRINFRA","EQ","08-Aug-2017","         18.55","         18.70","         18.70","         17.55","         17.65","         17.70","         17.95","   25226585","           452862168.65","      32801","    4494587","         17.82"
"GMRINFRA","EQ","09-Aug-2017","         17.70","         17.55","         17.60","         16.65","         16.80","         16.95","         17.15","   30393631","           521105363.15","      20132","    4463530","         14.69"
