"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IGL","EQ","15-May-2017","        994.50","        995.10","       1008.00","        995.10","       1002.00","       1000.25","       1001.54","     314597","           315080426.80","       6153","     172367","         54.79"
"IGL","EQ","16-May-2017","       1000.25","       1007.60","       1009.00","        988.50","       1006.00","       1005.80","        998.30","     178249","           177945444.15","      10293","      71551","         40.14"
"IGL","EQ","17-May-2017","       1005.80","       1009.00","       1027.00","       1008.90","       1019.65","       1019.10","       1020.26","     337329","           344162611.10","      12173","     123163","         36.51"
"IGL","EQ","18-May-2017","       1019.10","       1019.10","       1019.10","        999.10","       1000.05","       1002.55","       1008.46","     168584","           170010077.20","       5294","      62676","         37.18"
"IGL","EQ","19-May-2017","       1002.55","       1005.00","       1010.85","        993.00","       1002.60","       1000.15","       1001.42","     149678","           149890520.95","       5053","      38134","         25.48"
"IGL","EQ","22-May-2017","       1000.15","       1002.00","       1007.55","        979.30","        995.00","        987.20","        987.27","     263534","           260179705.70","      10908","     115685","         43.90"
"IGL","EQ","23-May-2017","        987.20","        988.50","        995.50","        966.80","        980.85","        981.45","        981.17","     350503","           343902033.55","       8861","     112562","         32.11"
"IGL","EQ","24-May-2017","        981.45","        981.45","        988.90","        971.20","        980.00","        982.65","        980.94","     295155","           289529424.95","       6138","     162414","         55.03"
"IGL","EQ","25-May-2017","        982.65","        990.70","        992.60","        967.80","        992.60","        984.45","        982.31","     475055","           466652013.50","       8189","     231162","         48.66"
"IGL","EQ","26-May-2017","        984.45","        986.00","       1032.95","        985.15","       1032.95","       1026.05","       1017.35","     555552","           565191964.45","      16387","     237048","         42.67"
"IGL","EQ","29-May-2017","       1026.05","       1034.00","       1048.90","       1010.40","       1027.85","       1026.05","       1033.34","     866262","           895141275.95","      20636","     395910","         45.70"
"IGL","EQ","30-May-2017","       1026.05","       1027.20","       1064.90","       1022.90","       1064.00","       1059.80","       1048.40","     336537","           352824381.45","       9178","     109585","         32.56"
"IGL","EQ","31-May-2017","       1059.80","       1067.00","       1085.00","       1064.10","       1073.95","       1074.35","       1075.89","     477726","           513982585.25","      15525","     170154","         35.62"
"IGL","EQ","01-Jun-2017","       1074.35","       1073.70","       1073.70","       1052.00","       1060.00","       1063.90","       1061.16","     187826","           199313141.00","       7374","      66469","         35.39"
"IGL","EQ","02-Jun-2017","       1063.90","       1063.00","       1096.45","       1063.00","       1086.45","       1088.35","       1088.18","     521589","           567580554.35","      13671","     165078","         31.65"
