"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JUBLFOOD","EQ","15-May-2017","        986.35","        991.85","       1031.00","        983.55","       1029.60","       1025.45","       1009.72","     576466","           582068509.30","      19888","     115368","         20.01"
"JUBLFOOD","EQ","16-May-2017","       1025.45","       1028.50","       1054.85","       1028.50","       1052.00","       1050.65","       1042.26","     487510","           508110696.20","      15487","      84859","         17.41"
"JUBLFOOD","EQ","17-May-2017","       1050.65","       1044.00","       1058.75","       1024.20","       1047.00","       1049.05","       1039.93","     393751","           409472571.35","      15205","      61936","         15.73"
"JUBLFOOD","EQ","18-May-2017","       1049.05","       1039.70","       1049.15","       1012.20","       1014.10","       1019.35","       1033.80","     381432","           394324549.90","      10345","      40599","         10.64"
"JUBLFOOD","EQ","19-May-2017","       1019.35","       1022.00","       1042.20","       1011.00","       1012.55","       1018.10","       1025.24","     287852","           295117054.10","       9834","      60049","         20.86"
"JUBLFOOD","EQ","22-May-2017","       1018.10","       1018.10","       1038.00","       1015.00","       1022.85","       1030.30","       1026.60","     321837","           330398168.10","       9940","      87006","         27.03"
"JUBLFOOD","EQ","23-May-2017","       1030.30","       1030.00","       1030.00","        990.00","        990.00","        993.15","       1009.44","     342845","           346083143.95","      12009","      77703","         22.66"
"JUBLFOOD","EQ","24-May-2017","        993.15","        995.00","       1005.90","        966.00","        974.45","        976.45","        988.12","     448045","           442723272.85","      12040","      42627","          9.51"
"JUBLFOOD","EQ","25-May-2017","        976.45","        974.45","       1024.00","        965.25","       1024.00","       1014.95","        998.09","     524803","           523802982.35","      23985","     109155","         20.80"
"JUBLFOOD","EQ","26-May-2017","       1014.95","       1024.00","       1035.00","        982.50","        993.95","        992.70","       1013.20","     391221","           396385702.95","      17661","      72571","         18.55"
"JUBLFOOD","EQ","29-May-2017","        992.70","        997.80","        998.40","        925.00","        937.20","        940.35","        957.94","     974901","           933898388.15","      24822","     158323","         16.24"
"JUBLFOOD","EQ","30-May-2017","        940.35","        880.10","        921.00","        817.20","        910.20","        909.15","        876.28","    5504664","          4823600441.05","     135807","     628329","         11.41"
"JUBLFOOD","EQ","31-May-2017","        909.15","        911.95","        925.00","        888.00","        917.00","        914.90","        909.16","    1195336","          1086751063.90","      35859","     123904","         10.37"
"JUBLFOOD","EQ","01-Jun-2017","        914.90","        920.00","        920.00","        898.10","        912.50","        912.25","        909.03","     921483","           837654417.50","      22643","     279276","         30.31"
"JUBLFOOD","EQ","02-Jun-2017","        912.25","        914.25","        934.80","        908.30","        932.00","        930.85","        924.04","     620511","           573375608.40","      19763","     118969","         19.17"
"JUBLFOOD","EQ","05-Jun-2017","        930.85","        931.00","        949.00","        926.10","        932.10","        936.05","        940.24","     514033","           483313619.60","      13543","     105374","         20.50"
"JUBLFOOD","EQ","06-Jun-2017","        936.05","        936.05","        965.80","        935.20","        956.90","        952.55","        954.52","    1196195","          1141796685.15","      34217","     288991","         24.16"
"JUBLFOOD","EQ","07-Jun-2017","        952.55","        957.20","        961.35","        945.00","        956.45","        955.20","        952.61","     472750","           450345925.65","      12611","      72293","         15.29"
"JUBLFOOD","EQ","08-Jun-2017","        955.20","        952.00","        971.90","        952.00","        963.40","        963.80","        963.02","     500353","           481848465.15","      11524","      47326","          9.46"
"JUBLFOOD","EQ","09-Jun-2017","        963.80","        964.00","        975.00","        952.45","        973.00","        969.10","        962.46","     370792","           356870831.60","      12853","      50945","         13.74"
"JUBLFOOD","EQ","12-Jun-2017","        969.10","        960.00","        966.85","        950.10","        957.50","        959.55","        959.32","     265930","           255111838.50","       7100","      38470","         14.47"
"JUBLFOOD","EQ","13-Jun-2017","        959.55","        961.15","        973.00","        953.00","        970.70","        970.05","        965.68","     421456","           406990193.75","       9885","      51514","         12.22"
"JUBLFOOD","EQ","14-Jun-2017","        970.05","        962.00","        968.00","        952.00","        968.00","        962.60","        959.06","     324857","           311556021.65","      11365","      21369","          6.58"
"JUBLFOOD","EQ","15-Jun-2017","        962.60","        959.95","        964.90","        953.00","        959.00","        959.25","        958.04","     231706","           221983581.50","       9126","      32167","         13.88"
"JUBLFOOD","EQ","16-Jun-2017","        959.25","        963.00","        968.75","        925.40","        943.00","        938.20","        945.96","     496384","           469558754.80","      13784","      86728","         17.47"
"JUBLFOOD","EQ","19-Jun-2017","        938.20","        940.10","        944.95","        918.60","        923.50","        924.65","        927.95","     656933","           609603939.85","      19540","     236955","         36.07"
"JUBLFOOD","EQ","20-Jun-2017","        924.65","        923.50","        930.45","        920.00","        925.00","        924.00","        924.82","     291920","           269972745.50","       6213","      73743","         25.26"
"JUBLFOOD","EQ","21-Jun-2017","        924.00","        923.00","        938.10","        914.75","        927.05","        926.20","        927.72","     460579","           427287294.30","      13193","      72380","         15.72"
"JUBLFOOD","EQ","22-Jun-2017","        926.20","        929.90","        929.90","        909.60","        914.00","        913.25","        918.56","     363307","           333719330.10","      11738","      51771","         14.25"
"JUBLFOOD","EQ","23-Jun-2017","        913.25","        914.00","        934.50","        901.50","        917.00","        922.95","        920.60","     576549","           530769176.80","      17602","     147377","         25.56"
"JUBLFOOD","EQ","27-Jun-2017","        922.95","        918.00","        934.50","        918.00","        929.00","        929.00","        927.94","     472073","           438055571.05","      14515","     200907","         42.56"
"JUBLFOOD","EQ","28-Jun-2017","        929.00","        921.05","        942.00","        915.05","        942.00","        938.00","        934.35","     316313","           295547578.45","       8600","      67830","         21.44"
"JUBLFOOD","EQ","29-Jun-2017","        938.00","        946.55","        957.60","        936.95","        951.00","        952.10","        948.97","     517249","           490855347.60","      15897","     118293","         22.87"
"JUBLFOOD","EQ","30-Jun-2017","        952.10","        945.00","        952.00","        937.30","        947.50","        946.40","        943.57","     365054","           344452426.85","      27252","     100981","         27.66"
"JUBLFOOD","EQ","03-Jul-2017","        946.40","        946.40","       1006.85","        946.40","       1006.00","        999.25","        984.95","    1016369","          1001075847.10","      29622","     245785","         24.18"
"JUBLFOOD","EQ","04-Jul-2017","        999.25","       1012.00","       1044.00","       1012.00","       1025.00","       1025.45","       1032.80","    1289457","          1331745337.25","      49531","     203516","         15.78"
"JUBLFOOD","EQ","05-Jul-2017","       1025.45","       1031.70","       1057.00","       1028.05","       1048.05","       1048.95","       1043.43","     550836","           574759859.30","      17081","     110064","         19.98"
"JUBLFOOD","EQ","06-Jul-2017","       1048.95","       1045.80","       1091.40","       1039.20","       1080.00","       1077.85","       1073.73","     876216","           940821133.65","      27664","     140650","         16.05"
"JUBLFOOD","EQ","07-Jul-2017","       1077.85","       1077.00","       1102.00","       1065.30","       1100.10","       1093.35","       1090.96","     683694","           745885941.00","      18412","      95515","         13.97"
"JUBLFOOD","EQ","10-Jul-2017","       1093.35","       1134.00","       1134.00","       1099.90","       1115.00","       1112.00","       1111.31","     129919","           144380289.10","       5133","      22435","         17.27"
"JUBLFOOD","EQ","11-Jul-2017","       1112.00","       1115.00","       1126.20","       1085.10","       1093.10","       1090.75","       1100.60","     409566","           450770245.20","      12933","      60743","         14.83"
"JUBLFOOD","EQ","12-Jul-2017","       1090.75","       1093.10","       1114.00","       1090.05","       1103.20","       1106.10","       1102.12","     320543","           353277039.30","       9308","      43191","         13.47"
"JUBLFOOD","EQ","13-Jul-2017","       1106.10","       1110.10","       1118.60","       1095.30","       1117.90","       1111.50","       1106.72","     278018","           307687741.60","      12283","      60341","         21.70"
"JUBLFOOD","EQ","14-Jul-2017","       1111.50","       1115.35","       1178.50","       1105.00","       1168.65","       1164.60","       1155.30","    1579818","          1825163863.00","      45916","     377304","         23.88"
"JUBLFOOD","EQ","17-Jul-2017","       1164.60","       1187.00","       1285.90","       1161.00","       1269.00","       1272.70","       1223.24","    6933168","          8480935248.80","     188338","     444273","          6.41"
"JUBLFOOD","EQ","18-Jul-2017","       1272.70","       1265.10","       1334.95","       1247.35","       1322.00","       1325.10","       1312.75","    5504940","          7226606536.30","     137752","     696183","         12.65"
"JUBLFOOD","EQ","19-Jul-2017","       1325.10","       1323.10","       1329.05","       1282.55","       1288.95","       1290.00","       1293.74","    1888442","          2443145017.40","      53320","     408242","         21.62"
"JUBLFOOD","EQ","20-Jul-2017","       1290.00","       1290.00","       1318.90","       1286.95","       1298.70","       1298.10","       1303.17","    1003031","          1307116305.25","      26837","      95953","          9.57"
"JUBLFOOD","EQ","21-Jul-2017","       1298.10","       1300.00","       1309.45","       1237.50","       1250.25","       1254.00","       1264.28","    1135921","          1436123267.75","      30915","     136171","         11.99"
"JUBLFOOD","EQ","24-Jul-2017","       1254.00","       1252.00","       1266.65","       1233.25","       1251.95","       1252.20","       1249.87","     708924","           886061970.70","      19291","      70314","          9.92"
"JUBLFOOD","EQ","25-Jul-2017","       1252.20","       1250.00","       1308.00","       1235.30","       1295.90","       1296.35","       1281.34","    1587139","          2033671192.30","      44968","     148577","          9.36"
"JUBLFOOD","EQ","26-Jul-2017","       1296.35","       1302.25","       1312.40","       1270.80","       1277.00","       1282.85","       1295.13","    1266049","          1639693749.25","      39680","     188110","         14.86"
"JUBLFOOD","EQ","27-Jul-2017","       1282.85","       1283.00","       1298.70","       1268.10","       1287.90","       1278.45","       1281.20","     872533","          1117891365.75","      30444","     236799","         27.14"
"JUBLFOOD","EQ","28-Jul-2017","       1278.45","       1281.95","       1318.00","       1260.00","       1313.00","       1312.60","       1297.88","    1067103","          1384975303.10","      28488","     138257","         12.96"
"JUBLFOOD","EQ","31-Jul-2017","       1312.60","       1322.00","       1338.00","       1304.50","       1310.00","       1317.75","       1322.10","    1182849","          1563848709.40","      36589","     238904","         20.20"
"JUBLFOOD","EQ","01-Aug-2017","       1317.75","       1307.60","       1321.25","       1283.80","       1293.00","       1293.95","       1301.52","     563946","           733989347.30","      16853","      57357","         10.17"
"JUBLFOOD","EQ","02-Aug-2017","       1293.95","       1280.20","       1306.00","       1269.65","       1280.00","       1280.75","       1290.43","     662368","           854736351.30","      19495","      68576","         10.35"
"JUBLFOOD","EQ","03-Aug-2017","       1280.75","       1286.00","       1293.90","       1250.00","       1250.60","       1254.80","       1269.00","     541181","           686759611.90","      14982","      59417","         10.98"
"JUBLFOOD","EQ","04-Aug-2017","       1254.80","       1256.00","       1286.00","       1246.80","       1279.95","       1279.30","       1265.86","     789359","           999217861.35","      25369","     138925","         17.60"
