"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RBLBANK","EQ","15-May-2017","        556.55","        557.50","        564.90","        551.10","        564.25","        563.90","        560.31","     888219","           497674867.95","      17580","     387382","         43.61"
"RBLBANK","EQ","16-May-2017","        563.90","        564.80","        567.70","        559.00","        561.60","        562.60","        562.26","     495571","           278640917.40","       8172","     203735","         41.11"
"RBLBANK","EQ","17-May-2017","        562.60","        563.00","        569.90","        558.00","        564.70","        564.25","        563.94","     831318","           468817558.00","      13860","     253851","         30.54"
"RBLBANK","EQ","18-May-2017","        564.25","        559.80","        563.00","        551.00","        553.50","        552.15","        555.33","    1050920","           583612037.35","      27124","     615645","         58.58"
"RBLBANK","EQ","19-May-2017","        552.15","        560.95","        567.00","        551.40","        553.80","        555.45","        558.44","    1292735","           721910060.60","      39632","     569809","         44.08"
"RBLBANK","EQ","22-May-2017","        555.45","        557.50","        559.95","        542.60","        545.50","        544.85","        548.78","     676006","           370977954.80","      13070","     285523","         42.24"
"RBLBANK","EQ","23-May-2017","        544.85","        546.00","        547.40","        502.20","        522.00","        524.50","        525.03","    1588845","           834193700.80","      31571","     531438","         33.45"
"RBLBANK","EQ","24-May-2017","        524.50","        524.95","        539.70","        518.20","        526.30","        524.35","        529.33","    1343057","           710921387.30","      25418","     486475","         36.22"
"RBLBANK","EQ","25-May-2017","        524.35","        527.80","        549.45","        525.75","        548.20","        545.60","        537.94","    1052847","           566367161.50","      17723","     446922","         42.45"
"RBLBANK","EQ","26-May-2017","        545.60","        549.40","        552.50","        505.30","        515.60","        516.55","        521.74","    7280565","          3798585459.80","      92398","    3695651","         50.76"
"RBLBANK","EQ","29-May-2017","        516.55","        519.00","        527.90","        504.00","        507.05","        508.15","        514.44","    2977390","          1531691905.15","      42525","    1197065","         40.21"
"RBLBANK","EQ","30-May-2017","        508.15","        505.40","        514.00","        495.85","        511.00","        509.50","        507.62","    1418146","           719881872.80","      21947","     333261","         23.50"
"RBLBANK","EQ","31-May-2017","        509.50","        511.00","        537.90","        509.90","        536.00","        527.70","        523.48","    3068601","          1606363621.05","      44628","    1326531","         43.23"
"RBLBANK","EQ","01-Jun-2017","        527.70","        533.00","        554.25","        531.00","        549.60","        550.10","        543.29","    3657981","          1987343545.05","      54169","    1189994","         32.53"
"RBLBANK","EQ","02-Jun-2017","        550.10","        552.00","        558.00","        546.05","        550.00","        550.85","        552.57","    1634243","           903033424.70","      26334","     526126","         32.19"
"RBLBANK","EQ","05-Jun-2017","        550.85","        552.90","        552.90","        540.00","        542.80","        542.95","        546.73","     761989","           416601092.60","      14325","     286938","         37.66"
"RBLBANK","EQ","06-Jun-2017","        542.95","        543.40","        550.80","        537.50","        541.40","        542.80","        544.27","    1075850","           585553292.75","      18819","     234654","         21.81"
"RBLBANK","EQ","07-Jun-2017","        542.80","        543.00","        552.70","        539.35","        550.30","        549.45","        545.51","    1431120","           780683985.80","      20354","     640881","         44.78"
"RBLBANK","EQ","08-Jun-2017","        549.45","        551.70","        551.85","        542.10","        542.50","        544.65","        546.62","    1553389","           849113252.20","      25524","     777537","         50.05"
"RBLBANK","EQ","09-Jun-2017","        544.65","        543.00","        543.70","        533.50","        536.10","        537.60","        538.16","    1196296","           643796053.70","      15758","     578450","         48.35"
"RBLBANK","EQ","12-Jun-2017","        537.60","        536.00","        536.60","        526.30","        527.30","        527.80","        529.86","     830261","           439924655.80","      13310","     344417","         41.48"
"RBLBANK","EQ","13-Jun-2017","        527.80","        528.00","        533.65","        514.25","        516.00","        516.35","        523.52","    1508713","           789838934.75","      27905","     541069","         35.86"
"RBLBANK","EQ","14-Jun-2017","        516.35","        517.00","        524.70","        512.25","        517.95","        518.10","        517.85","    1540848","           797934364.80","      26356","     388281","         25.20"
"RBLBANK","EQ","15-Jun-2017","        518.10","        518.50","        519.15","        510.10","        513.45","        514.00","        514.81","     897817","           462208374.45","      15822","     356387","         39.69"
"RBLBANK","EQ","16-Jun-2017","        514.00","        514.00","        520.40","        513.00","        515.35","        515.00","        517.03","    1156394","           597890861.95","      15282","     435971","         37.70"
"RBLBANK","EQ","19-Jun-2017","        515.00","        517.90","        518.60","        507.05","        507.50","        509.35","        512.67","    1041585","           533990639.65","      19690","     541892","         52.03"
"RBLBANK","EQ","20-Jun-2017","        509.35","        510.00","        515.50","        508.45","        509.50","        509.65","        511.51","     927004","           474171365.15","      29582","     379606","         40.95"
"RBLBANK","EQ","21-Jun-2017","        509.65","        510.90","        517.85","        505.00","        511.30","        512.20","        513.59","    1659522","           852314343.30","      27068","     652298","         39.31"
"RBLBANK","EQ","22-Jun-2017","        512.20","        514.80","        518.00","        509.85","        512.40","        511.70","        516.07","    1500000","           774106302.95","      19900","     874722","         58.31"
"RBLBANK","EQ","23-Jun-2017","        511.70","        514.00","        514.00","        501.60","        506.00","        505.85","        506.07","    1195150","           604831538.90","      23399","     574916","         48.10"
"RBLBANK","EQ","27-Jun-2017","        505.85","        506.00","        511.00","        492.25","        507.55","        508.95","        502.42","    1651637","           829814774.80","      39112","     766106","         46.38"
"RBLBANK","EQ","28-Jun-2017","        508.95","        505.75","        512.75","        502.85","        504.95","        505.35","        506.89","    1064791","           539734924.05","      23810","     376128","         35.32"
"RBLBANK","EQ","29-Jun-2017","        505.35","        506.95","        514.65","        500.00","        501.30","        501.80","        506.65","    1797714","           910816554.90","      38586","     732470","         40.74"
"RBLBANK","EQ","30-Jun-2017","        501.80","        498.50","        509.00","        496.25","        508.50","        507.75","        503.69","    1665573","           838936966.55","      25131","     635095","         38.13"
"RBLBANK","EQ","03-Jul-2017","        507.75","        507.95","        519.50","        503.75","        518.00","        517.70","        514.84","    1681165","           865525078.80","      25073","     551900","         32.83"
"RBLBANK","EQ","04-Jul-2017","        517.70","        518.00","        527.35","        516.00","        522.00","        521.80","        522.86","    2341020","          1224035310.85","      47023","    1025267","         43.80"
"RBLBANK","EQ","05-Jul-2017","        521.80","        525.30","        526.90","        520.50","        524.00","        524.25","        523.37","    1352844","           708040497.80","      18312","     594034","         43.91"
"RBLBANK","EQ","06-Jul-2017","        524.25","        522.00","        529.40","        521.05","        523.15","        524.85","        526.04","     977589","           514252170.55","      15175","     383542","         39.23"
"RBLBANK","EQ","07-Jul-2017","        524.85","        512.00","        530.00","        508.40","        527.30","        527.00","        519.90","    4378621","          2276435168.85","      67213","    1438803","         32.86"
