"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELINFRA","EQ","15-May-2017","        609.50","        606.80","        609.35","        600.30","        604.95","        605.40","        605.23","    1437325","           869916495.75","      25522","     272876","         18.98"
"RELINFRA","EQ","16-May-2017","        605.40","        606.00","        614.20","        601.00","        609.80","        611.05","        609.49","    1934562","          1179087310.55","      30765","     400984","         20.73"
"RELINFRA","EQ","17-May-2017","        611.05","        607.00","        614.20","        603.50","        605.05","        605.25","        608.28","    1504208","           914978534.15","      35758","     256693","         17.06"
"RELINFRA","EQ","18-May-2017","        605.25","        597.70","        601.85","        576.15","        576.45","        578.65","        588.48","    1963168","          1155279223.05","      37708","     390203","         19.88"
"RELINFRA","EQ","19-May-2017","        578.65","        578.70","        586.35","        567.40","        571.00","        569.55","        575.27","    1795870","          1033103490.70","      35619","     306193","         17.05"
"RELINFRA","EQ","22-May-2017","        569.55","        572.00","        575.00","        552.75","        556.00","        555.25","        562.68","    1392634","           783601775.60","      29319","     185983","         13.35"
"RELINFRA","EQ","23-May-2017","        555.25","        550.10","        553.50","        522.40","        522.40","        526.25","        532.82","    3179920","          1694311107.45","      56756","     600676","         18.89"
"RELINFRA","EQ","24-May-2017","        526.25","        526.00","        529.70","        479.20","        492.00","        493.70","        503.49","    4611031","          2321605543.90","      74734","     520320","         11.28"
"RELINFRA","EQ","25-May-2017","        493.70","        495.75","        502.85","        488.55","        495.85","        497.15","        496.53","    2976503","          1477937174.00","      40255","     685204","         23.02"
"RELINFRA","EQ","26-May-2017","        497.15","        496.15","        513.95","        496.05","        508.20","        508.50","        508.09","    2344838","          1191395623.00","      33768","     547816","         23.36"
"RELINFRA","EQ","29-May-2017","        508.50","        506.00","        506.00","        445.60","        454.30","        451.95","        466.94","    5113595","          2387719100.50","      88914","     861145","         16.84"
"RELINFRA","EQ","30-May-2017","        451.95","        453.95","        470.80","        436.20","        463.10","        462.00","        459.37","    4198597","          1928711216.90","      65104","     312264","          7.44"
"RELINFRA","EQ","31-May-2017","        462.00","        464.00","        484.00","        455.25","        480.80","        478.90","        470.56","    5799887","          2729195043.05","      80462","    1294401","         22.32"
"RELINFRA","EQ","01-Jun-2017","        478.90","        481.00","        487.90","        475.20","        477.85","        479.60","        481.61","    2584206","          1244574504.15","      38796","     227711","          8.81"
"RELINFRA","EQ","02-Jun-2017","        479.60","        482.10","        490.70","        478.65","        485.15","        484.05","        484.88","    2517358","          1220604072.20","      41140","     511152","         20.31"
"RELINFRA","EQ","05-Jun-2017","        484.05","        491.30","        498.50","        489.25","        491.50","        492.30","        493.68","    2178491","          1075478230.20","      42944","     392749","         18.03"
"RELINFRA","EQ","06-Jun-2017","        492.30","        496.45","        496.85","        470.90","        480.70","        480.15","        480.85","    2543392","          1222999514.25","      42291","     475996","         18.72"
"RELINFRA","EQ","07-Jun-2017","        480.15","        479.25","        491.50","        476.05","        488.00","        488.60","        484.27","    2814064","          1362780525.80","      43628","     198945","          7.07"
"RELINFRA","EQ","08-Jun-2017","        488.60","        489.90","        491.90","        478.20","        478.65","        480.95","        484.24","    1959745","           948989990.35","      52147","     517020","         26.38"
"RELINFRA","EQ","09-Jun-2017","        480.95","        478.90","        478.90","        466.60","        473.60","        473.95","        471.82","    2465174","          1163116402.00","      38166","     579770","         23.52"
"RELINFRA","EQ","12-Jun-2017","        473.95","        467.90","        477.90","        467.00","        471.00","        471.85","        472.94","    1476969","           698516764.20","      26489","     177803","         12.04"
"RELINFRA","EQ","13-Jun-2017","        471.85","        470.10","        479.50","        465.50","        467.00","        470.20","        473.54","    1878876","           889718325.05","      31616","     279165","         14.86"
"RELINFRA","EQ","14-Jun-2017","        470.20","        469.80","        476.55","        462.75","        474.60","        473.95","        469.76","    2245218","          1054717443.10","      33547","     191090","          8.51"
"RELINFRA","EQ","15-Jun-2017","        473.95","        472.90","        479.40","        470.75","        474.00","        475.85","        475.65","    1527861","           726721640.70","      22896","     206956","         13.55"
"RELINFRA","EQ","16-Jun-2017","        475.85","        477.00","        485.60","        475.00","        478.00","        479.55","        480.61","    1904792","           915467315.35","      29501","     273514","         14.36"
"RELINFRA","EQ","19-Jun-2017","        479.55","        481.10","        486.50","        480.50","        486.00","        484.65","        484.16","    1275237","           617424186.90","      19766","     157651","         12.36"
"RELINFRA","EQ","20-Jun-2017","        484.65","        487.00","        489.50","        478.00","        480.40","        479.95","        482.88","    1194474","           576784920.20","      18323","     188356","         15.77"
"RELINFRA","EQ","21-Jun-2017","        479.95","        477.70","        493.80","        477.50","        490.25","        490.20","        488.29","    2101331","          1026060363.80","      31922","     480858","         22.88"
"RELINFRA","EQ","22-Jun-2017","        490.20","        492.90","        506.00","        490.50","        494.00","        493.60","        498.75","    2813820","          1403399342.75","      46298","     244837","          8.70"
"RELINFRA","EQ","23-Jun-2017","        493.60","        494.00","        509.45","        486.25","        503.50","        503.85","        500.41","    3163984","          1583279341.60","      46374","     259203","          8.19"
"RELINFRA","EQ","27-Jun-2017","        503.85","        505.10","        508.90","        491.10","        503.30","        503.55","        502.17","    2320156","          1165101443.15","      41476","     163540","          7.05"
"RELINFRA","EQ","28-Jun-2017","        503.55","        503.10","        508.00","        498.10","        503.20","        503.80","        503.73","    1314849","           662330332.05","      28145","     108148","          8.23"
"RELINFRA","EQ","29-Jun-2017","        503.80","        505.00","        507.95","        499.10","        503.05","        503.50","        503.85","    1239125","           624332928.90","      19923","     134736","         10.87"
"RELINFRA","EQ","30-Jun-2017","        503.50","        501.20","        501.95","        491.70","        498.50","        497.45","        496.06","    1182964","           586825277.90","      20230","     166669","         14.09"
"RELINFRA","EQ","03-Jul-2017","        497.45","        499.50","        511.80","        496.35","        507.75","        508.40","        506.38","    1477819","           748337989.45","      22056","     143815","          9.73"
"RELINFRA","EQ","04-Jul-2017","        508.40","        510.10","        510.50","        496.60","        500.00","        500.15","        502.33","    1078951","           541994239.40","      19497","     107507","          9.96"
