"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNTV","EQ","15-May-2017","        883.70","        885.50","        928.00","        885.40","        911.25","        912.20","        917.04","    2193488","          2011506332.45","      40593","     179590","          8.19"
"SUNTV","EQ","16-May-2017","        912.20","        908.20","        909.00","        890.20","        894.00","        894.70","        897.29","    1110184","           996158308.75","      22027","     220445","         19.86"
"SUNTV","EQ","17-May-2017","        894.70","        894.90","        899.15","        880.50","        889.00","        887.05","        887.49","     500545","           444229603.25","      15709","     101722","         20.32"
"SUNTV","EQ","18-May-2017","        887.05","        888.00","        917.90","        865.20","        866.15","        871.35","        902.17","    2436703","          2198308978.20","      47159","     481973","         19.78"
"SUNTV","EQ","19-May-2017","        871.35","        877.00","        895.10","        813.50","        850.60","        852.40","        842.98","    4223048","          3559925671.60","      85921","     305269","          7.23"
"SUNTV","EQ","22-May-2017","        852.40","        860.00","        873.55","        834.00","        845.95","        844.85","        849.74","    1969975","          1673964513.80","      38601","     206290","         10.47"
"SUNTV","EQ","23-May-2017","        844.85","        848.00","        849.90","        806.55","        809.55","        813.50","        824.53","    1768982","          1458582743.50","      32195","     350720","         19.83"
"SUNTV","EQ","24-May-2017","        813.50","        819.00","        826.95","        777.00","        782.95","        783.30","        801.41","    1590566","          1274695433.95","      28156","     162862","         10.24"
"SUNTV","EQ","25-May-2017","        783.30","        784.80","        807.50","        777.95","        797.00","        792.55","        790.18","    1615153","          1276268542.65","      25545","     441496","         27.33"
"SUNTV","EQ","26-May-2017","        792.55","        792.00","        814.15","        789.00","        808.80","        808.90","        805.98","    1007416","           811959766.60","      21960","     167589","         16.64"
"SUNTV","EQ","29-May-2017","        808.90","        799.00","        810.85","        779.10","        782.00","        781.45","        789.60","    1085310","           856961470.90","      27177","     170653","         15.72"
"SUNTV","EQ","30-May-2017","        781.45","        787.20","        804.80","        768.50","        798.10","        797.80","        791.26","    1140494","           902432968.60","      23934","      96596","          8.47"
"SUNTV","EQ","31-May-2017","        797.80","        798.70","        829.00","        791.55","        801.00","        798.00","        803.97","    3353867","          2696395003.40","      35954","    1705758","         50.86"
"SUNTV","EQ","01-Jun-2017","        798.00","        802.00","        817.95","        794.00","        803.40","        803.70","        805.63","     946980","           762919135.20","      15993","     174128","         18.39"
"SUNTV","EQ","02-Jun-2017","        803.70","        807.00","        838.85","        801.40","        837.00","        834.35","        822.04","    1889892","          1553572110.20","      32092","     238612","         12.63"
"SUNTV","EQ","05-Jun-2017","        834.35","        840.00","        854.35","        834.50","        835.90","        839.95","        844.66","    1607276","          1357606272.15","      27510","     240654","         14.97"
"SUNTV","EQ","06-Jun-2017","        839.95","        839.00","        841.70","        802.35","        815.55","        813.90","        818.41","    1601229","          1310467277.65","      33382","     282906","         17.67"
"SUNTV","EQ","07-Jun-2017","        813.90","        818.90","        831.95","        818.75","        826.00","        825.30","        825.64","     805638","           665166455.60","      17888","     146553","         18.19"
"SUNTV","EQ","08-Jun-2017","        825.30","        830.00","        833.70","        810.10","        817.10","        818.65","        818.94","     889642","           728567394.80","      19656","     235783","         26.50"
"SUNTV","EQ","09-Jun-2017","        818.65","        817.10","        822.40","        791.30","        797.00","        795.70","        802.54","    1724424","          1383921891.70","      36598","     676119","         39.21"
"SUNTV","EQ","12-Jun-2017","        795.70","        798.00","        815.50","        790.00","        811.90","        808.60","        807.42","    1435923","          1159390061.10","      28840","     247645","         17.25"
"SUNTV","EQ","13-Jun-2017","        808.60","        812.00","        819.80","        805.00","        812.50","        813.00","        812.58","     845617","           687133209.20","      19607","     162702","         19.24"
"SUNTV","EQ","14-Jun-2017","        813.00","        816.80","        831.25","        806.00","        825.20","        826.95","        819.30","    1058937","           867582189.45","      24216","     245931","         23.22"
"SUNTV","EQ","15-Jun-2017","        826.95","        826.70","        836.35","        817.65","        822.10","        824.75","        826.19","    1081690","           893680660.75","      24435","     209092","         19.33"
"SUNTV","EQ","16-Jun-2017","        824.75","        827.00","        843.60","        823.00","        840.60","        839.00","        837.49","    1352925","          1133058961.90","      25984","     443720","         32.80"
"SUNTV","EQ","19-Jun-2017","        839.00","        845.00","        865.00","        842.70","        859.85","        859.45","        858.59","    1578452","          1355246408.55","      31923","     230203","         14.58"
"SUNTV","EQ","20-Jun-2017","        859.45","        862.00","        863.75","        843.40","        847.00","        845.40","        851.14","     901402","           767219766.45","      19570","     212121","         23.53"
"SUNTV","EQ","21-Jun-2017","        845.40","        845.00","        853.90","        837.40","        846.70","        848.30","        847.03","     789946","           669111571.75","      18642","      87080","         11.02"
"SUNTV","EQ","22-Jun-2017","        848.30","        849.40","        851.50","        827.55","        829.45","        832.60","        842.74","     579345","           488236831.50","      13841","      91542","         15.80"
"SUNTV","EQ","23-Jun-2017","        832.60","        833.10","        835.90","        806.05","        810.00","        809.25","        815.59","     797264","           650242390.45","      21765","      81510","         10.22"
"SUNTV","EQ","27-Jun-2017","        809.25","        810.00","        816.00","        785.10","        791.50","        792.20","        792.93","     839963","           666028315.55","      23781","     132954","         15.83"
"SUNTV","EQ","28-Jun-2017","        792.20","        792.20","        812.40","        778.80","        808.95","        808.05","        803.63","    1113431","           894783669.65","      21239","     147936","         13.29"
"SUNTV","EQ","29-Jun-2017","        808.05","        812.00","        818.55","        802.75","        804.15","        806.80","        811.09","     929631","           754015694.70","      21154","     199650","         21.48"
"SUNTV","EQ","30-Jun-2017","        806.80","        804.80","        821.00","        794.05","        817.00","        816.40","        807.82","     742834","           600079542.50","      11218","     145874","         19.64"
"SUNTV","EQ","03-Jul-2017","        816.40","        821.80","        837.60","        819.60","        826.10","        826.50","        828.92","     879044","           728661470.90","      17306","     194201","         22.09"
"SUNTV","EQ","04-Jul-2017","        826.50","        826.50","        831.50","        812.05","        817.00","        815.50","        820.48","     798634","           655263742.95","      19613","     186816","         23.39"
"SUNTV","EQ","05-Jul-2017","        815.50","        816.50","        827.40","        816.30","        825.00","        824.95","        823.31","     503279","           414356502.80","       9815","      57710","         11.47"
"SUNTV","EQ","06-Jul-2017","        824.95","        825.00","        829.90","        818.50","        826.40","        825.50","        824.81","     535313","           441531627.35","      12161","     100881","         18.85"
"SUNTV","EQ","07-Jul-2017","        825.50","        825.00","        839.80","        819.70","        827.00","        828.00","        831.13","     946311","           786506585.05","      17888","     156784","         16.57"
"SUNTV","EQ","10-Jul-2017","        828.00","        830.00","        842.00","        827.10","        831.00","        830.00","        831.43","     249830","           207715969.90","       2813","     157341","         62.98"
"SUNTV","EQ","11-Jul-2017","        830.00","        833.00","        834.80","        816.20","        819.20","        819.05","        826.69","     644855","           533094280.95","      20739","     223161","         34.61"
"SUNTV","EQ","12-Jul-2017","        819.05","        818.00","        829.00","        814.10","        827.10","        826.40","        822.63","     488691","           402009975.25","      14904","      94152","         19.27"
"SUNTV","EQ","13-Jul-2017","        826.40","        827.00","        833.90","        819.00","        829.35","        829.20","        829.73","     889313","           737893241.75","      23756","     173587","         19.52"
"SUNTV","EQ","14-Jul-2017","        829.20","        826.50","        839.55","        821.30","        831.00","        830.95","        831.37","    1150827","           956759812.40","      16150","     489897","         42.57"
"SUNTV","EQ","17-Jul-2017","        830.95","        829.00","        838.30","        821.80","        831.75","        831.95","        831.52","     855970","           711758095.95","      14592","     361376","         42.22"
"SUNTV","EQ","18-Jul-2017","        831.95","        830.00","        845.00","        824.05","        826.20","        827.50","        836.23","    1277675","          1068434148.90","      25350","     441380","         34.55"
"SUNTV","EQ","19-Jul-2017","        827.50","        829.15","        839.70","        827.20","        837.00","        836.60","        834.83","    1112241","           928529011.85","      20789","     691231","         62.15"
"SUNTV","EQ","20-Jul-2017","        836.60","        839.50","        843.05","        822.00","        825.00","        825.75","        833.12","     627323","           522632362.50","      17464","     169168","         26.97"
"SUNTV","EQ","21-Jul-2017","        825.75","        826.00","        832.10","        783.15","        805.15","        806.30","        806.42","    1702883","          1373233513.05","      32192","     515518","         30.27"
"SUNTV","EQ","24-Jul-2017","        806.30","        806.00","        816.60","        805.00","        811.70","        810.60","        812.31","     721563","           586135000.25","      18440","     300636","         41.66"
"SUNTV","EQ","25-Jul-2017","        810.60","        810.60","        819.90","        808.95","        811.65","        813.50","        815.19","     731782","           596539384.40","      23951","     310550","         42.44"
"SUNTV","EQ","26-Jul-2017","        813.50","        816.00","        818.10","        801.15","        806.00","        804.35","        809.18","     437994","           354417421.65","      12633","      75433","         17.22"
"SUNTV","EQ","27-Jul-2017","        804.35","        806.00","        814.50","        791.55","        793.90","        794.65","        804.64","     512775","           412600849.25","       8207","     179382","         34.98"
"SUNTV","EQ","28-Jul-2017","        794.65","        795.00","        804.50","        792.15","        799.50","        797.10","        798.11","     453447","           361902267.60","       6979","     157741","         34.79"
