"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VOLTAS","EQ","15-May-2017","        433.55","        436.00","        436.40","        430.10","        433.40","        431.85","        432.15","     696583","           301025281.00","      14160","     327583","         47.03"
"VOLTAS","EQ","16-May-2017","        431.85","        432.00","        438.20","        430.70","        433.00","        432.45","        433.46","     996780","           432061360.65","      19456","     366664","         36.78"
"VOLTAS","EQ","17-May-2017","        432.45","        435.00","        435.00","        427.25","        430.85","        430.20","        429.93","     686830","           295286658.05","      11494","     307390","         44.75"
"VOLTAS","EQ","18-May-2017","        430.20","        425.10","        427.00","        412.70","        414.50","        414.10","        418.14","    1231618","           514991210.00","      18700","     571822","         46.43"
"VOLTAS","EQ","19-May-2017","        414.10","        414.35","        419.90","        410.95","        416.00","        415.75","        414.98","     869457","           360804142.60","      29631","     313872","         36.10"
"VOLTAS","EQ","22-May-2017","        415.75","        420.00","        420.00","        413.85","        417.00","        415.65","        415.98","     633783","           263643094.85","      17175","     243815","         38.47"
"VOLTAS","EQ","23-May-2017","        415.65","        420.00","        420.00","        403.40","        405.95","        409.85","        410.31","    1795730","           736798885.95","      44062","     523655","         29.16"
"VOLTAS","EQ","24-May-2017","        409.85","        428.00","        450.80","        423.10","        447.15","        446.50","        443.90","   17793994","          7898705060.30","     167272","    5533301","         31.10"
"VOLTAS","EQ","25-May-2017","        446.50","        451.00","        484.00","        443.20","        476.15","        474.75","        462.79","    6345884","          2936782982.55","      71716","    1250047","         19.70"
"VOLTAS","EQ","26-May-2017","        474.75","        470.10","        501.75","        470.10","        499.75","        498.50","        494.63","    7060217","          3492226766.05","      72145","    1747315","         24.75"
"VOLTAS","EQ","29-May-2017","        498.50","        496.90","        499.75","        482.25","        485.50","        484.60","        485.77","    3146132","          1528283415.25","      31950","    1663513","         52.87"
"VOLTAS","EQ","30-May-2017","        484.60","        481.60","        491.00","        477.75","        487.30","        485.60","        485.34","    2205065","          1070207272.70","      34675","    1033969","         46.89"
"VOLTAS","EQ","31-May-2017","        485.60","        485.60","        494.00","        483.05","        486.55","        486.35","        487.08","    1405724","           684706989.45","      24328","     509791","         36.27"
"VOLTAS","EQ","01-Jun-2017","        486.35","        486.50","        512.60","        482.40","        509.20","        508.85","        505.43","    4560228","          2304885166.85","      65413","     895218","         19.63"
"VOLTAS","EQ","02-Jun-2017","        508.85","        513.35","        514.00","        498.30","        501.45","        500.45","        503.41","    2365246","          1190679763.65","      39411","     592903","         25.07"
"VOLTAS","EQ","05-Jun-2017","        500.45","        501.00","        503.00","        493.55","        494.75","        494.95","        497.33","    1025382","           509949767.40","      29820","     254832","         24.85"
"VOLTAS","EQ","06-Jun-2017","        494.95","        495.00","        498.30","        484.40","        485.95","        487.00","        488.42","    1495351","           730357619.90","      46226","     760770","         50.88"
"VOLTAS","EQ","07-Jun-2017","        487.00","        490.00","        490.00","        480.20","        484.20","        483.25","        482.84","    1913739","           924037466.65","      41063","    1179282","         61.62"
"VOLTAS","EQ","08-Jun-2017","        483.25","        487.50","        496.55","        484.20","        487.00","        487.65","        490.11","    1991047","           975824602.55","      26565","     566211","         28.44"
