"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BOMDYEING","EQ","15-May-2017","         83.00","         83.15","         83.75","         81.90","         82.15","         82.20","         82.57","    1553427","           128260940.65","       8074","     479867","         30.89"
"BOMDYEING","EQ","16-May-2017","         82.20","         81.90","         84.00","         81.75","         83.80","         83.40","         82.88","    2149649","           178160638.50","       9804","     561852","         26.14"
"BOMDYEING","EQ","17-May-2017","         83.40","         82.55","         83.80","         82.05","         82.25","         82.25","         82.71","    1267468","           104835445.55","       7220","     395417","         31.20"
"BOMDYEING","EQ","18-May-2017","         82.25","         80.85","         81.85","         78.55","         78.90","         78.95","         80.30","    1156424","            92865679.10","       7001","     538431","         46.56"
"BOMDYEING","EQ","19-May-2017","         78.95","         79.75","         80.35","         76.35","         77.30","         77.15","         78.07","    1444416","           112771641.50","       7588","     518874","         35.92"
"BOMDYEING","EQ","22-May-2017","         77.15","         76.50","         77.55","         73.65","         74.00","         74.00","         75.88","    1104857","            83832213.75","       7459","     418671","         37.89"
"BOMDYEING","EQ","23-May-2017","         74.00","         73.50","         74.25","         68.50","         70.10","         70.45","         70.86","    1943788","           137732634.00","       9539","     545391","         28.06"
"BOMDYEING","EQ","24-May-2017","         70.45","         68.65","         70.15","         66.30","         67.30","         66.95","         68.15","    1897802","           129330437.75","       9297","     700948","         36.93"
"BOMDYEING","EQ","25-May-2017","         66.95","         67.85","         70.45","         67.50","         70.20","         69.85","         68.98","    1161153","            80100339.50","       7276","     386944","         33.32"
"BOMDYEING","EQ","26-May-2017","         69.85","         70.20","         73.75","         69.90","         73.75","         73.00","         72.03","    1691870","           121863387.15","       8618","     519995","         30.73"
"BOMDYEING","EQ","29-May-2017","         73.00","         73.40","         73.90","         70.00","         70.45","         70.50","         71.88","    1343625","            96584796.50","       7788","     495425","         36.87"
"BOMDYEING","EQ","30-May-2017","         70.50","         69.80","         72.35","         68.65","         71.90","         71.80","         70.77","     984550","            69674546.40","       6605","     256820","         26.09"
"BOMDYEING","EQ","31-May-2017","         71.80","         71.30","         72.60","         70.50","         71.25","         71.35","         71.65","     919733","            65895538.60","       5296","     305972","         33.27"
"BOMDYEING","EQ","01-Jun-2017","         71.35","         70.70","         72.75","         70.60","         70.80","         70.95","         71.49","     747866","            53463402.20","       5013","     255044","         34.10"
"BOMDYEING","EQ","02-Jun-2017","         70.95","         71.40","         72.00","         69.55","         69.90","         69.95","         70.83","    1546778","           109563375.55","       6619","     488708","         31.60"
"BOMDYEING","EQ","05-Jun-2017","         69.95","         70.15","         77.80","         70.10","         76.75","         76.65","         75.32","    5748721","           432969142.25","      26488","    1657954","         28.84"
"BOMDYEING","EQ","06-Jun-2017","         76.65","         77.35","         79.80","         77.10","         77.70","         77.65","         78.34","    4039520","           316462817.45","      21212","     933554","         23.11"
"BOMDYEING","EQ","07-Jun-2017","         77.65","         77.90","         82.30","         76.20","         81.85","         81.30","         79.78","    3244765","           258859309.05","      14513","     981450","         30.25"
"BOMDYEING","EQ","08-Jun-2017","         81.30","         81.80","         84.70","         81.55","         84.00","         84.10","         83.32","    4655632","           387915892.05","      19640","    1473799","         31.66"
"BOMDYEING","EQ","09-Jun-2017","         84.10","         84.20","         85.00","         82.10","         83.05","         83.40","         83.71","    2388526","           199938510.65","      11578","     690660","         28.92"
"BOMDYEING","EQ","12-Jun-2017","         83.40","         82.75","         83.35","         81.25","         82.20","         82.05","         82.16","     964902","            79277450.10","       5965","     252166","         26.13"
"BOMDYEING","EQ","13-Jun-2017","         82.05","         81.55","         84.15","         80.55","         81.05","         81.30","         82.43","    2432014","           200482393.85","      11874","     378748","         15.57"
"BOMDYEING","EQ","14-Jun-2017","         81.30","         81.50","         85.60","         81.50","         83.65","         83.40","         83.96","    4156918","           349019230.00","      19528","    1023523","         24.62"
"BOMDYEING","EQ","15-Jun-2017","         83.40","         84.50","         84.95","         82.00","         82.50","         82.50","         83.29","    2537394","           211349473.55","      12012","     763333","         30.08"
"BOMDYEING","EQ","16-Jun-2017","         82.50","         82.85","         83.80","         81.55","         82.05","         82.35","         82.68","    1376462","           113805965.25","       6823","     433291","         31.48"
"BOMDYEING","EQ","19-Jun-2017","         82.35","         82.70","         82.80","         81.10","         81.30","         81.40","         81.84","    1066193","            87255243.95","       5388","     284511","         26.68"
"BOMDYEING","EQ","20-Jun-2017","         81.40","         80.85","         85.85","         80.25","         85.60","         85.20","         83.70","    3920900","           328170274.50","      16613","    1323196","         33.75"
"BOMDYEING","EQ","21-Jun-2017","         85.20","         86.50","         89.25","         85.50","         87.25","         87.45","         87.47","    6737076","           589295627.00","      28929","    1904791","         28.27"
"BOMDYEING","EQ","22-Jun-2017","         87.45","         87.55","         90.65","         84.80","         86.60","         86.15","         88.56","    4467999","           395701219.05","      22631","    1182022","         26.46"
"BOMDYEING","EQ","23-Jun-2017","         86.15","         86.45","         87.15","         82.45","         83.55","         83.25","         84.27","    2064946","           174013616.00","      11733","     589881","         28.57"
"BOMDYEING","EQ","27-Jun-2017","         83.25","         83.80","         83.85","         80.15","         80.50","         80.70","         81.38","    1338738","           108945978.65","       7384","     442909","         33.08"
"BOMDYEING","EQ","28-Jun-2017","         80.70","         80.95","         82.85","         80.55","         81.50","         81.70","         81.69","    1860606","           151984195.55","      10717","     432447","         23.24"
"BOMDYEING","EQ","29-Jun-2017","         81.70","         82.20","         83.60","         81.20","         81.90","         82.00","         82.37","    1373048","           113093257.55","       7814","     287417","         20.93"
"BOMDYEING","EQ","30-Jun-2017","         82.00","         81.75","         81.75","         80.25","         80.80","         80.75","         80.83","    1327412","           107288996.50","       6518","     360323","         27.14"
"BOMDYEING","EQ","03-Jul-2017","         80.75","         81.00","         86.20","         80.80","         85.90","         85.40","         83.89","    2960378","           248331722.00","      14759","     842340","         28.45"
"BOMDYEING","EQ","04-Jul-2017","         85.40","         85.80","         85.85","         82.70","         83.30","         83.10","         83.78","    1595989","           133714743.65","       8403","     481787","         30.19"
"BOMDYEING","EQ","05-Jul-2017","         83.10","         83.70","         88.90","         82.85","         88.60","         88.35","         86.58","    4245394","           367567094.75","      19943","    1309765","         30.85"
"BOMDYEING","EQ","06-Jul-2017","         88.35","         90.00","         92.95","         89.55","         90.30","         90.15","         91.23","    5593139","           510271532.90","      25373","    1667321","         29.81"
"BOMDYEING","EQ","07-Jul-2017","         90.15","         89.70","         91.40","         88.15","         89.75","         89.55","         89.63","    2463787","           220840118.00","      13500","     487050","         19.77"
"BOMDYEING","EQ","10-Jul-2017","         89.55","         90.10","         90.10","         86.05","         89.60","         89.55","         89.27","     416133","            37147811.15","       2670","     155053","         37.26"
"BOMDYEING","EQ","11-Jul-2017","         89.55","         90.00","         90.30","         85.70","         86.35","         86.50","         88.41","    1581143","           139781928.50","       8882","     454286","         28.73"
"BOMDYEING","EQ","12-Jul-2017","         86.50","         87.80","         90.20","         87.45","         88.65","         88.50","         88.72","    2251564","           199749800.50","      12428","     524554","         23.30"
"BOMDYEING","EQ","13-Jul-2017","         88.50","         90.05","         91.20","         87.70","         88.05","         88.10","         89.43","    2836145","           253631911.65","      13659","     701349","         24.73"
"BOMDYEING","EQ","14-Jul-2017","         88.10","         88.25","         88.30","         85.50","         86.40","         86.55","         86.67","    1349823","           116989631.50","       7310","     369302","         27.36"
"BOMDYEING","EQ","17-Jul-2017","         86.55","         86.90","         87.75","         85.55","         86.25","         86.15","         86.55","    1516314","           131234553.65","       9555","     344136","         22.70"
"BOMDYEING","EQ","18-Jul-2017","         86.15","         85.70","         86.45","         84.45","         85.20","         85.00","         85.50","    1314649","           112403492.20","       7796","     290399","         22.09"
"BOMDYEING","EQ","19-Jul-2017","         85.00","         85.30","         89.45","         85.05","         88.95","         88.35","         87.35","    2657095","           232104513.30","      12390","     866972","         32.63"
"BOMDYEING","EQ","20-Jul-2017","         88.35","         89.90","         91.15","         88.30","         88.50","         88.70","         89.71","    3686891","           330769259.40","      19204","    1088063","         29.51"
"BOMDYEING","EQ","21-Jul-2017","         88.70","         88.95","         88.95","         85.65","         87.95","         87.60","         87.47","    1530328","           133864442.75","       8900","     444985","         29.08"
"BOMDYEING","EQ","24-Jul-2017","         87.60","         87.90","         87.90","         85.35","         85.90","         85.90","         86.22","    1065348","            91855471.55","       6703","     452414","         42.47"
"BOMDYEING","EQ","25-Jul-2017","         85.90","         85.70","         87.40","         85.05","         86.20","         86.35","         86.27","    1258321","           108555058.05","       8160","     292122","         23.22"
"BOMDYEING","EQ","26-Jul-2017","         86.35","         86.00","         86.75","         85.35","         85.45","         85.60","         85.84","     915065","            78552123.25","       5830","     290686","         31.77"
"BOMDYEING","EQ","27-Jul-2017","         85.60","         85.90","         86.90","         83.00","         83.25","         83.30","         84.46","    1607691","           135784836.95","       9779","     790122","         49.15"
"BOMDYEING","EQ","28-Jul-2017","         83.30","         83.70","         84.65","         82.80","         83.35","         83.30","         83.65","    1291485","           108029561.95","       7517","     471449","         36.50"
"BOMDYEING","EQ","31-Jul-2017","         83.30","         83.50","         84.75","         83.10","         83.15","         83.60","         83.84","    1179689","            98903340.95","       5857","     455682","         38.63"
"BOMDYEING","EQ","01-Aug-2017","         83.60","         84.00","         84.25","         82.15","         83.25","         83.15","         83.17","     705792","            58699959.30","       5407","     270217","         38.29"
"BOMDYEING","EQ","02-Aug-2017","         83.15","         83.20","         83.40","         81.50","         81.70","         82.15","         82.41","     828887","            68309453.05","       6273","     309813","         37.38"
"BOMDYEING","EQ","03-Aug-2017","         82.15","         81.50","         82.35","         79.10","         79.50","         79.40","         80.48","     780684","            62828163.00","       5732","     333285","         42.69"
"BOMDYEING","EQ","04-Aug-2017","         79.40","         79.80","         82.20","         78.35","         82.10","         81.50","         80.36","    1273363","           102332036.45","       7287","     465673","         36.57"
"BOMDYEING","EQ","07-Aug-2017","         81.50","         82.05","         84.25","         81.40","         82.90","         82.90","         82.95","    1552475","           128776738.65","       9262","     386885","         24.92"
"BOMDYEING","EQ","08-Aug-2017","         82.90","         83.00","         83.00","         80.00","         80.40","         80.30","         81.11","     897409","            72788635.90","       5352","     387083","         43.13"
"BOMDYEING","EQ","09-Aug-2017","         80.30","         79.50","         80.35","         77.80","         78.10","         78.10","         78.98","     731355","            57764291.35","       7307","     243918","         33.35"
"BOMDYEING","EQ","10-Aug-2017","         78.10","         77.80","         78.90","         65.60","         71.60","         69.55","         73.18","    1552350","           113604162.25","       9565","     599878","         38.64"
"BOMDYEING","EQ","11-Aug-2017","         69.55","         69.50","         72.70","         65.55","         70.85","         70.60","         69.99","    1833281","           128308560.65","      11845","     521808","         28.46"
"BOMDYEING","EQ","14-Aug-2017","         70.60","         72.45","         75.75","         71.60","         75.50","         74.85","         73.60","    1125895","            82866280.45","       7954","     417965","         37.12"
"BOMDYEING","EQ","16-Aug-2017","         74.85","         75.75","         76.50","         74.10","         75.60","         76.00","         75.52","     841476","            63551069.10","       6112","     225517","         26.80"
"BOMDYEING","EQ","17-Aug-2017","         76.00","         76.80","         80.30","         75.50","         78.40","         78.80","         78.21","    1523277","           119132412.25","       9643","     396746","         26.05"
"BOMDYEING","EQ","18-Aug-2017","         78.80","         77.90","         78.85","         76.30","         77.65","         77.85","         77.75","    1530307","           118985921.75","       9654","     350110","         22.88"
"BOMDYEING","EQ","21-Aug-2017","         77.85","         77.65","         78.20","         75.50","         75.75","         75.85","         76.61","     631357","            48365977.85","       5894","     203418","         32.22"
"BOMDYEING","EQ","22-Aug-2017","         75.85","         76.25","         76.85","         73.30","         74.65","         74.00","         74.76","     562735","            42071147.10","       4564","     176245","         31.32"
