"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IDFC","EQ","15-May-2017","         63.35","         63.95","         64.35","         63.25","         63.65","         63.70","         63.74","    2754130","           175543313.65","      10529","    1119918","         40.66"
"IDFC","EQ","16-May-2017","         63.70","         64.00","         64.60","         62.90","         64.55","         64.25","         63.80","    4014549","           256135522.95","      12172","    1694524","         42.21"
"IDFC","EQ","17-May-2017","         64.25","         64.65","         64.65","         63.25","         63.25","         63.35","         63.58","    4184709","           266048669.85","       6189","    2802239","         66.96"
"IDFC","EQ","18-May-2017","         63.35","         62.40","         62.60","         61.20","         61.35","         61.50","         61.85","    6040654","           373622920.90","      14151","    2475921","         40.99"
"IDFC","EQ","19-May-2017","         61.50","         61.85","         62.30","         60.30","         61.00","         61.15","         61.20","    3697284","           226272136.60","       7537","    1711047","         46.28"
"IDFC","EQ","22-May-2017","         61.15","         61.30","         61.70","         60.00","         60.10","         60.20","         60.62","    3714457","           225183874.20","       9335","    1491139","         40.14"
"IDFC","EQ","23-May-2017","         60.20","         60.30","         60.45","         57.30","         58.20","         58.25","         58.59","    3616589","           211897512.80","       9665","     897898","         24.83"
"IDFC","EQ","24-May-2017","         58.25","         58.20","         58.90","         56.40","         56.75","         56.90","         57.52","    4987978","           286904990.05","       9410","    1666628","         33.41"
"IDFC","EQ","25-May-2017","         56.90","         57.30","         58.35","         56.20","         57.70","         57.60","         57.54","   29243828","          1682796956.40","      30826","   18794467","         64.27"
"IDFC","EQ","26-May-2017","         57.60","         57.80","         59.60","         57.50","         59.45","         59.25","         58.79","    4264464","           250716809.40","       7597","    1994291","         46.77"
"IDFC","EQ","29-May-2017","         59.25","         59.30","         59.50","         57.90","         58.50","         58.35","         58.63","    4465533","           261816592.05","       7958","    2467805","         55.26"
"IDFC","EQ","30-May-2017","         58.35","         58.20","         59.55","         57.55","         59.15","         59.15","         58.72","    4192784","           246181589.30","       7911","    2145253","         51.17"
"IDFC","EQ","31-May-2017","         59.15","         59.30","         59.75","         58.80","         59.15","         59.05","         59.16","    2288705","           135396344.70","       4324","     987975","         43.17"
"IDFC","EQ","01-Jun-2017","         59.05","         58.75","         59.40","         58.10","         59.00","         59.15","         58.74","    1926329","           113158736.85","       5010","     591973","         30.73"
"IDFC","EQ","02-Jun-2017","         59.15","         59.40","         60.00","         59.00","         59.20","         59.40","         59.60","    3069321","           182946558.85","       5501","    1483205","         48.32"
"IDFC","EQ","05-Jun-2017","         59.40","         59.20","         59.70","         58.90","         59.00","         59.00","         59.13","    1755635","           103806023.40","       5032","     821941","         46.82"
"IDFC","EQ","06-Jun-2017","         59.00","         59.25","         59.25","         57.85","         58.55","         58.70","         58.60","    4148126","           243093221.60","      12608","    2125806","         51.25"
"IDFC","EQ","07-Jun-2017","         58.70","         58.70","         59.05","         58.25","         59.00","         58.70","         58.67","    1591564","            93370699.30","       5346","     592858","         37.25"
"IDFC","EQ","08-Jun-2017","         58.70","         59.10","         59.10","         57.40","         57.50","         57.65","         57.82","    4239089","           245095669.50","       9582","    2157386","         50.89"
"IDFC","EQ","09-Jun-2017","         57.65","         57.50","         57.80","         57.10","         57.45","         57.65","         57.54","    1183799","            68120189.65","       3309","     377796","         31.91"
"IDFC","EQ","12-Jun-2017","         57.65","         57.40","         57.55","         56.25","         56.35","         56.40","         56.79","    1713896","            97328988.85","       4410","     654442","         38.18"
"IDFC","EQ","13-Jun-2017","         56.40","         56.60","         56.95","         56.30","         56.35","         56.50","         56.66","    1213899","            68782317.80","       3641","     410504","         33.82"
"IDFC","EQ","14-Jun-2017","         56.50","         56.40","         56.95","         56.15","         56.75","         56.50","         56.56","    1003347","            56746354.95","       3624","     298043","         29.70"
"IDFC","EQ","15-Jun-2017","         56.50","         56.90","         57.50","         56.35","         56.55","         56.60","         56.85","    3671049","           208712077.40","       9731","    1434768","         39.08"
