"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JKLAKSHMI","EQ","15-May-2017","        504.30","        504.00","        519.40","        504.00","        511.00","        510.80","        512.21","      65942","            33775964.90","       2066","      34858","         52.86"
"JKLAKSHMI","EQ","16-May-2017","        510.80","        514.60","        532.95","        513.00","        532.00","        527.50","        521.11","     161032","            83916057.45","       4959","      94000","         58.37"
"JKLAKSHMI","EQ","17-May-2017","        527.50","        530.90","        536.95","        513.00","        513.90","        516.20","        523.78","      95207","            49867819.25","       2878","      57507","         60.40"
"JKLAKSHMI","EQ","18-May-2017","        516.20","        491.70","        504.00","        472.00","        484.55","        478.95","        482.76","     493737","           238354954.10","      14686","     243734","         49.37"
"JKLAKSHMI","EQ","19-May-2017","        478.95","        481.80","        488.85","        465.00","        469.00","        469.55","        483.69","     334922","           161996878.05","      15246","     248638","         74.24"
"JKLAKSHMI","EQ","22-May-2017","        469.55","        477.05","        477.80","        465.60","        475.90","        475.75","        473.27","      89813","            42505797.50","       4030","      57661","         64.20"
"JKLAKSHMI","EQ","23-May-2017","        475.75","        475.00","        488.80","        471.05","        480.40","        485.60","        483.17","     207823","           100413983.00","       5890","     148141","         71.28"
"JKLAKSHMI","EQ","24-May-2017","        485.60","        485.90","        491.00","        473.00","        478.00","        481.90","        485.30","     171731","            83340599.35","      19884","     100506","         58.53"
"JKLAKSHMI","EQ","25-May-2017","        481.90","        480.00","        483.80","        467.55","        482.00","        478.05","        473.46","      61135","            28944914.25","       2598","      32046","         52.42"
"JKLAKSHMI","EQ","26-May-2017","        478.05","        479.50","        486.00","        473.00","        481.00","        481.15","        479.95","      59289","            28455901.10","       2027","      43116","         72.72"
"JKLAKSHMI","EQ","29-May-2017","        481.15","        484.25","        511.00","        478.10","        495.00","        496.30","        498.05","     297128","           147983393.55","       9959","     192069","         64.64"
"JKLAKSHMI","EQ","30-May-2017","        496.30","        495.90","        500.80","        482.00","        493.05","        495.40","        496.04","      91024","            45151121.60","       2538","      60717","         66.70"
"JKLAKSHMI","EQ","31-May-2017","        495.40","        495.40","        500.85","        488.00","        488.50","        489.50","        492.16","      92350","            45451247.30","       2987","      64584","         69.93"
"JKLAKSHMI","EQ","01-Jun-2017","        489.50","        484.50","        494.90","        484.50","        485.05","        485.90","        489.49","      23680","            11591067.80","       1818","      13673","         57.74"
