"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MINDAIND","EQ","15-May-2017","        495.65","        495.95","        522.00","        495.90","        522.00","        517.90","        514.90","     110264","            56774826.35","       3648","      68819","         62.41"
"MINDAIND","EQ","16-May-2017","        517.90","        523.70","        568.00","        500.10","        551.00","        545.60","        543.53","    1185514","           644366847.30","      28000","     220287","         18.58"
"MINDAIND","EQ","17-May-2017","        545.60","        555.00","        571.00","        541.15","        559.00","        560.10","        558.38","     465042","           259668618.65","      14208","     181463","         39.02"
"MINDAIND","EQ","18-May-2017","        560.10","        556.95","        558.00","        542.20","        547.00","        545.25","        551.99","      90333","            49863139.20","       3951","      47989","         53.12"
"MINDAIND","EQ","19-May-2017","        545.25","        549.70","        588.80","        547.00","        560.00","        560.80","        568.56","     371398","           211163187.55","      10466","     184909","         49.79"
"MINDAIND","EQ","22-May-2017","        560.80","        563.00","        576.40","        560.00","        565.05","        564.05","        567.88","     138675","            78750999.40","       4642","      67056","         48.35"
"MINDAIND","EQ","23-May-2017","        564.05","        569.00","        569.90","        535.80","        551.10","        552.90","        549.15","     106114","            58272252.60","       5351","      54683","         51.53"
"MINDAIND","EQ","24-May-2017","        552.90","        558.85","        574.00","        549.95","        558.70","        555.55","        562.32","     105480","            59313137.20","       5337","      45363","         43.01"
"MINDAIND","EQ","25-May-2017","        555.55","        553.45","        571.00","        553.45","        571.00","        568.90","        565.53","      49019","            27721802.15","       2056","      26919","         54.92"
"MINDAIND","EQ","26-May-2017","        568.90","        574.30","        607.00","        568.55","        597.00","        596.15","        593.38","     168413","            99932532.45","       8374","      62260","         36.97"
"MINDAIND","EQ","29-May-2017","        596.15","        601.45","        618.80","        595.10","        611.00","        607.20","        607.32","     126105","            76585904.50","       4735","      56431","         44.75"
"MINDAIND","EQ","30-May-2017","        607.20","        608.00","        617.90","        598.30","        607.00","        605.05","        607.61","      75919","            46128924.85","       3020","      29392","         38.71"
