"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NCC","EQ","15-May-2017","         93.80","         94.10","         97.90","         94.05","         97.90","         97.35","         96.08","    3616693","           347479475.00","      13933","    1120046","         30.97"
"NCC","EQ","16-May-2017","         97.35","         98.15","        100.80","         97.10","        100.60","        100.40","         99.01","    8251673","           817007444.25","      28908","    2698728","         32.71"
"NCC","EQ","17-May-2017","        100.40","        100.95","        103.65","        100.10","        101.35","        101.45","        102.05","    9866001","          1006802565.15","      40313","    3276414","         33.21"
"NCC","EQ","18-May-2017","        101.45","         99.80","        100.85","         96.55","         96.90","         97.00","         98.80","    4163676","           411364891.55","      18977","    1196998","         28.75"
"NCC","EQ","19-May-2017","         97.00","         97.80","         99.25","         94.25","         95.70","         95.45","         96.53","    3782348","           365114174.70","      19517","     706203","         18.67"
"NCC","EQ","22-May-2017","         95.45","         96.00","         97.95","         94.65","         95.00","         95.25","         96.56","    3829849","           369811145.85","      16697","    1116014","         29.14"
"NCC","EQ","23-May-2017","         95.25","         95.00","         95.00","         89.20","         89.65","         90.95","         91.94","    5042864","           463628116.45","      18975","    1159894","         23.00"
"NCC","EQ","24-May-2017","         90.95","         87.05","         87.90","         80.20","         83.95","         83.25","         83.91","   11587471","           972301570.35","      45469","    3024219","         26.10"
"NCC","EQ","25-May-2017","         83.25","         83.40","         86.90","         77.90","         85.75","         85.85","         83.80","   16966835","          1421897577.90","      48995","    5495472","         32.39"
"NCC","EQ","26-May-2017","         85.85","         86.00","         88.05","         85.10","         87.45","         87.60","         86.80","    3286675","           285273174.45","      12678","     515820","         15.69"
"NCC","EQ","29-May-2017","         87.60","         87.90","         88.40","         84.55","         85.25","         85.10","         86.27","    2762009","           238289375.65","      10291","     639940","         23.17"
"NCC","EQ","30-May-2017","         85.10","         85.75","         85.75","         82.70","         84.65","         84.30","         84.02","    3156651","           265236617.65","      13025","     583882","         18.50"
"NCC","EQ","31-May-2017","         84.30","         84.50","         88.50","         84.50","         87.80","         87.90","         87.24","    5956202","           519616953.00","      22518","    1372268","         23.04"
"NCC","EQ","01-Jun-2017","         87.90","         87.70","         88.45","         86.65","         86.85","         86.85","         87.33","    2406887","           210193700.25","      12120","     696095","         28.92"
"NCC","EQ","02-Jun-2017","         86.85","         87.70","         89.50","         86.60","         87.65","         88.00","         88.13","    7742009","           682298250.20","      22081","    3531831","         45.62"
"NCC","EQ","05-Jun-2017","         88.00","         88.10","         88.35","         86.80","         87.05","         87.10","         87.62","    2289444","           200591410.60","      16039","     622945","         27.21"
"NCC","EQ","06-Jun-2017","         87.10","         86.90","         87.50","         84.15","         85.10","         85.00","         85.56","    3517344","           300934702.60","      15192","     654428","         18.61"
"NCC","EQ","07-Jun-2017","         85.00","         85.10","         88.80","         84.80","         87.00","         87.55","         86.49","    6046788","           522976753.95","      21679","    1997240","         33.03"
"NCC","EQ","08-Jun-2017","         87.55","         87.25","         87.45","         85.75","         86.05","         86.15","         86.39","    2057305","           177732426.35","       8203","     423793","         20.60"
"NCC","EQ","09-Jun-2017","         86.15","         86.00","         91.25","         85.60","         90.75","         90.50","         89.68","   13217751","          1185312182.80","      41385","    2793732","         21.14"
"NCC","EQ","12-Jun-2017","         90.50","         90.85","         93.20","         90.05","         91.35","         91.20","         91.75","    7056436","           647403016.00","      26900","    1822078","         25.82"
"NCC","EQ","13-Jun-2017","         91.20","         91.85","         93.05","         90.40","         91.15","         90.65","         91.93","    3998221","           367540426.00","      17934","    1223644","         30.60"
"NCC","BL","14-Jun-2017","         74.50","         91.00","         91.00","         91.00","         91.00","         91.00","         91.00","    2750000","           250250000.00","          1","    2750000","        100.00"
"NCC","EQ","14-Jun-2017","         90.65","         90.90","         92.00","         89.80","         90.75","         90.60","         90.85","    4277038","           388553775.65","      15519","    1563120","         36.55"
"NCC","EQ","15-Jun-2017","         90.60","         90.40","         91.55","         89.50","         90.45","         90.50","         90.45","    3035635","           274558624.95","      13333","    1250780","         41.20"
"NCC","EQ","16-Jun-2017","         90.50","         90.50","         92.00","         89.75","         90.10","         90.30","         90.83","    3720466","           337942467.80","      21999","    1505707","         40.47"
"NCC","EQ","19-Jun-2017","         90.30","         91.00","         91.90","         90.45","         91.60","         91.25","         91.14","    2366151","           215644037.05","      10013","    1023235","         43.24"
"NCC","EQ","20-Jun-2017","         91.25","         92.95","         92.95","         89.95","         90.70","         91.00","         91.68","    4540548","           416297534.00","      16439","    1840808","         40.54"
"NCC","EQ","21-Jun-2017","         91.00","         90.60","         91.95","         90.35","         90.95","         91.00","         91.11","    2169580","           197659652.00","       7532","     616341","         28.41"
"NCC","EQ","22-Jun-2017","         91.00","         91.10","         93.15","         90.65","         91.80","         91.60","         91.86","    5095304","           468031764.00","      17965","    1695539","         33.28"
"NCC","EQ","23-Jun-2017","         91.60","         92.10","         92.35","         87.50","         89.60","         89.85","         89.34","    5861474","           523690975.15","      20304","    1764444","         30.10"
"NCC","EQ","27-Jun-2017","         89.85","         90.00","         90.15","         87.40","         88.40","         88.60","         88.91","    2830830","           251680054.60","      11709","     629978","         22.25"
"NCC","EQ","28-Jun-2017","         88.60","         88.50","         90.80","         87.45","         89.20","         89.45","         89.30","    3110924","           277795218.90","       9454","    1034599","         33.26"
"NCC","EQ","29-Jun-2017","         89.45","         89.90","         90.20","         88.60","         88.75","         89.10","         89.25","    7094536","           633217393.10","       8599","    4650984","         65.56"
"NCC","EQ","30-Jun-2017","         89.10","         88.30","         88.70","         86.90","         88.00","         87.30","         87.59","    3258821","           285434926.20","      17582","    1785550","         54.79"
"NCC","EQ","03-Jul-2017","         87.30","         87.80","         89.90","         87.80","         89.75","         89.65","         89.19","    1848840","           164890513.20","       7588","     625413","         33.83"
"NCC","EQ","04-Jul-2017","         89.65","         89.90","         90.15","         87.50","         89.05","         89.10","         88.88","    1812894","           161121971.95","       7085","     406361","         22.42"
"NCC","EQ","05-Jul-2017","         89.10","         89.10","         90.90","         89.05","         90.80","         90.55","         90.03","    1921302","           172974990.40","       6526","     670953","         34.92"
"NCC","EQ","06-Jul-2017","         90.55","         90.55","         92.80","         90.55","         91.20","         91.25","         91.84","    2872415","           263810631.25","      11170","     904195","         31.48"
"NCC","EQ","07-Jul-2017","         91.25","         90.50","         91.75","         89.05","         89.35","         89.30","         89.84","    3136794","           281806920.35","       8783","    1502125","         47.89"
"NCC","EQ","10-Jul-2017","         89.30","         92.00","         92.00","         87.40","         90.45","         90.40","         90.38","     370327","            33469848.00","       4543","     135600","         36.62"
"NCC","EQ","11-Jul-2017","         90.40","         91.00","         91.10","         88.00","         89.10","         88.85","         89.74","    2059138","           184782228.00","      11689","     813383","         39.50"
"NCC","EQ","12-Jul-2017","         88.85","         89.50","         94.90","         89.10","         94.75","         94.45","         93.00","    9066077","           843127753.25","      34719","    3543620","         39.09"
"NCC","EQ","13-Jul-2017","         94.45","         95.70","         96.30","         94.20","         94.80","         95.10","         95.35","    6557807","           625267451.25","      28358","    2083039","         31.76"
"NCC","EQ","14-Jul-2017","         95.10","         95.55","         95.70","         93.40","         93.95","         94.25","         94.21","    2593384","           244323570.75","      31526","    1153698","         44.49"
"NCC","EQ","17-Jul-2017","         94.25","         94.80","         94.95","         93.55","         93.85","         93.90","         94.07","    1767668","           166281588.45","      23810","     770791","         43.60"
"NCC","EQ","18-Jul-2017","         93.90","         93.00","         95.10","         91.30","         91.60","         91.55","         93.09","    4046206","           376675904.40","      11880","    2305338","         56.98"
"NCC","EQ","19-Jul-2017","         91.55","         91.50","         92.45","         91.00","         91.90","         91.85","         91.89","    3218501","           295752988.65","      12225","    1676663","         52.09"
"NCC","EQ","20-Jul-2017","         91.85","         92.25","         93.30","         91.15","         91.40","         91.45","         91.92","    2238535","           205777222.55","      11356","     820709","         36.66"
"NCC","EQ","21-Jul-2017","         91.45","         91.60","         91.95","         89.25","         90.80","         90.90","         90.71","    2239115","           203118970.30","       9554","     901283","         40.25"
"NCC","EQ","24-Jul-2017","         90.90","         91.25","         92.20","         89.80","         91.40","         91.50","         90.99","    4754485","           432629282.55","      29083","    1631205","         34.31"
"NCC","EQ","25-Jul-2017","         91.50","         90.30","         91.80","         90.10","         90.60","         90.55","         90.64","    2204177","           199786889.35","       4907","    1263587","         57.33"
"NCC","EQ","26-Jul-2017","         90.55","         90.50","         91.60","         90.00","         90.05","         90.20","         90.62","    2607677","           236306531.30","       8615","    1305989","         50.08"
"NCC","EQ","27-Jul-2017","         90.20","         90.50","         90.85","         88.65","         89.50","         89.30","         89.66","    5650215","           506583401.80","      12779","    3769210","         66.71"
"NCC","EQ","28-Jul-2017","         89.30","         89.05","         90.50","         88.20","         90.15","         89.85","         89.43","    2474123","           221256008.70","       9164","    1178117","         47.62"
"NCC","EQ","31-Jul-2017","         89.85","         90.10","         90.20","         88.30","         89.15","         88.90","         89.21","    2432412","           216995231.80","      11479","    1043292","         42.89"
"NCC","EQ","01-Aug-2017","         88.90","         89.00","         89.90","         88.35","         88.60","         88.90","         88.98","    2417176","           215077944.95","      10691","    1460006","         60.40"
"NCC","EQ","02-Aug-2017","         88.90","         89.30","         91.35","         87.55","         89.85","         90.35","         89.14","    5529782","           492905349.15","      23829","    2907944","         52.59"
"NCC","EQ","03-Aug-2017","         90.35","         90.80","         91.45","         88.05","         88.35","         88.60","         89.82","    3714447","           333630743.30","      22238","     995710","         26.81"
"NCC","EQ","04-Aug-2017","         88.60","         88.60","         89.20","         86.30","         87.15","         86.95","         87.37","    2579934","           225399478.00","      11669","    1000881","         38.79"
"NCC","EQ","07-Aug-2017","         86.95","         87.40","         90.45","         86.60","         90.20","         90.15","         89.24","    6925876","           618057811.20","      15221","    4853134","         70.07"
"NCC","EQ","08-Aug-2017","         90.15","         90.75","         91.75","         88.10","         88.95","         89.20","         90.28","    7682512","           693580842.70","      30723","    1217536","         15.85"
"NCC","EQ","09-Aug-2017","         89.20","         89.00","         92.00","         88.50","         88.90","         89.60","         90.38","    5364312","           484826186.65","      36631","    1703002","         31.75"
"NCC","EQ","10-Aug-2017","         89.60","         89.00","         89.10","         76.20","         84.45","         83.25","         84.72","    5567130","           471628860.15","      21469","    2327740","         41.81"
"NCC","EQ","11-Aug-2017","         83.25","         80.90","         85.50","         80.00","         82.90","         83.05","         83.07","    2945379","           244662839.65","      11863","     612645","         20.80"
"NCC","EQ","14-Aug-2017","         83.05","         86.40","         86.80","         84.10","         86.00","         86.25","         85.70","    3351685","           287239692.40","      13878","    1467907","         43.80"
"NCC","EQ","16-Aug-2017","         86.25","         86.50","         87.90","         85.00","         87.50","         87.55","         86.58","    1579339","           136732381.20","       8417","     372046","         23.56"
"NCC","EQ","17-Aug-2017","         87.55","         87.55","         89.45","         86.50","         87.75","         87.80","         88.31","    2570708","           227007582.70","      11551","     548649","         21.34"
"NCC","EQ","18-Aug-2017","         87.80","         87.50","         88.45","         86.50","         87.15","         87.15","         87.32","    1743717","           152267797.10","       9205","     625908","         35.90"
"NCC","EQ","21-Aug-2017","         87.15","         87.25","         87.90","         84.80","         85.10","         85.05","         85.95","    2141119","           184022478.40","      14668","     886989","         41.43"
"NCC","EQ","22-Aug-2017","         85.05","         85.60","         86.20","         83.40","         83.95","         84.15","         84.40","    1910823","           161270921.35","       7183","     734303","         38.43"
"NCC","EQ","23-Aug-2017","         84.15","         84.30","         86.60","         84.10","         86.30","         86.20","         85.84","    1405104","           120609900.40","       6362","     275506","         19.61"
"NCC","EQ","24-Aug-2017","         86.20","         88.00","         88.00","         84.85","         86.30","         86.10","         86.65","    2373052","           205613877.45","      13099","     834512","         35.17"
