"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WELSPUNIND","EQ","15-May-2017","         89.40","         89.70","         93.90","         89.20","         90.00","         90.25","         90.94","    3056833","           277998324.85","      12247","    1939157","         63.44"
"WELSPUNIND","EQ","16-May-2017","         90.25","         90.90","         91.00","         90.00","         90.50","         90.65","         90.36","     792353","            71598203.40","       6460","     576788","         72.79"
"WELSPUNIND","EQ","17-May-2017","         90.65","         90.90","         91.55","         88.30","         88.40","         88.85","         89.91","    1886102","           169577027.65","      11102","    1507068","         79.90"
"WELSPUNIND","EQ","18-May-2017","         88.85","         88.70","         89.40","         86.30","         87.00","         86.90","         87.58","     582904","            51049999.95","       6843","     372116","         63.84"
"WELSPUNIND","EQ","19-May-2017","         86.90","         88.00","         88.00","         84.70","         84.80","         85.05","         86.12","     503081","            43326835.15","       3637","     344163","         68.41"
"WELSPUNIND","EQ","22-May-2017","         85.05","         85.85","         86.00","         81.35","         84.70","         83.70","         83.89","    2447619","           205332830.45","       5958","    2050154","         83.76"
"WELSPUNIND","EQ","23-May-2017","         83.70","         85.50","         85.65","         79.00","         83.15","         84.75","         82.76","    1212547","           100345988.50","       6234","     704405","         58.09"
"WELSPUNIND","EQ","24-May-2017","         84.75","         84.45","         84.45","         81.00","         83.10","         82.80","         82.42","    1220369","           100585178.45","      10011","     847135","         69.42"
"WELSPUNIND","EQ","25-May-2017","         82.80","         83.00","         84.00","         82.10","         82.90","         82.95","         82.85","     393982","            32639705.35","       3097","     230592","         58.53"
"WELSPUNIND","EQ","26-May-2017","         82.95","         84.00","         84.70","         82.55","         83.70","         84.10","         84.11","     385599","            32431999.15","       2628","     232070","         60.18"
"WELSPUNIND","EQ","29-May-2017","         84.10","         84.00","         84.20","         81.90","         81.90","         82.10","         82.75","     197875","            16375120.40","       1679","     125490","         63.42"
"WELSPUNIND","EQ","30-May-2017","         82.10","         82.15","         89.00","         80.40","         82.00","         82.60","         82.16","     416603","            34227466.40","       3428","     227116","         54.52"
"WELSPUNIND","EQ","31-May-2017","         82.60","         83.00","         83.00","         81.00","         81.30","         81.60","         81.84","     379930","            31094008.40","       4441","     252712","         66.52"
"WELSPUNIND","EQ","01-Jun-2017","         81.60","         82.70","         84.90","         81.75","         83.80","         84.05","         83.09","    1170875","            97287963.10","       3401","     941642","         80.42"
"WELSPUNIND","EQ","02-Jun-2017","         84.05","         84.85","         84.85","         83.10","         83.55","         83.80","         83.61","     688135","            57537844.80","       2842","     543284","         78.95"
"WELSPUNIND","EQ","05-Jun-2017","         83.80","         84.80","         85.45","         84.00","         85.15","         85.05","         84.93","     522429","            44372293.95","       3578","     418758","         80.16"
"WELSPUNIND","EQ","06-Jun-2017","         85.05","         85.00","         85.50","         83.10","         83.50","         83.60","         84.28","     209066","            17620992.10","       3478","     125232","         59.90"
"WELSPUNIND","EQ","07-Jun-2017","         83.60","         83.85","         84.25","         82.70","         83.10","         83.30","         83.53","    1058547","            88415174.55","       6360","     897511","         84.79"
"WELSPUNIND","EQ","08-Jun-2017","         83.30","         83.75","         83.80","         83.00","         83.10","         83.40","         83.41","     919932","            76727350.75","       4506","     839894","         91.30"
"WELSPUNIND","EQ","09-Jun-2017","         83.40","         83.50","         83.90","         82.40","         82.55","         82.70","         83.03","     246426","            20461054.30","       4709","     159773","         64.84"
"WELSPUNIND","EQ","12-Jun-2017","         82.70","         82.55","         84.00","         82.50","         82.80","         82.80","         83.12","     449756","            37385275.00","       6403","     280859","         62.45"
"WELSPUNIND","EQ","13-Jun-2017","         82.80","         84.00","         84.00","         82.00","         82.10","         82.55","         83.01","     235155","            19520636.65","       3739","     124636","         53.00"
"WELSPUNIND","EQ","14-Jun-2017","         82.55","         80.25","         82.00","         79.90","         80.50","         81.15","         80.67","    1048552","            84585771.55","       8071","     725049","         69.15"
"WELSPUNIND","EQ","15-Jun-2017","         81.15","         80.70","         81.15","         78.30","         78.90","         78.90","         79.26","    1245418","            98716833.75","      14421","     918248","         73.73"
"WELSPUNIND","EQ","16-Jun-2017","         78.90","         79.35","         82.90","         78.00","         78.55","         79.10","         80.73","    1446962","           116808855.70","      16294","     794797","         54.93"
"WELSPUNIND","EQ","19-Jun-2017","         79.10","         79.10","         81.20","         79.10","         80.65","         80.70","         80.44","     763254","            61398092.90","       6568","     500890","         65.63"
"WELSPUNIND","EQ","20-Jun-2017","         80.70","         80.70","         81.75","         80.05","         80.20","         80.70","         81.02","    1143838","            92671740.40","      17604","     786064","         68.72"
"WELSPUNIND","EQ","21-Jun-2017","         80.70","         81.25","         82.50","         80.50","         81.25","         81.70","         81.41","     608548","            49539663.30","       8136","     379611","         62.38"
"WELSPUNIND","EQ","22-Jun-2017","         81.70","         81.00","         83.25","         81.00","         81.70","         81.80","         82.23","     695703","            57209726.55","       8814","     450095","         64.70"
"WELSPUNIND","EQ","23-Jun-2017","         81.80","         82.00","         83.15","         79.35","         82.65","         81.95","         80.56","    1448855","           116725739.60","      17157","    1005474","         69.40"
"WELSPUNIND","EQ","27-Jun-2017","         81.95","         83.15","         83.90","         80.30","         82.15","         82.55","         81.72","     711624","            58152568.85","       7101","     537995","         75.60"
"WELSPUNIND","EQ","28-Jun-2017","         82.55","         82.15","         83.40","         81.10","         83.00","         83.05","         82.70","     647157","            53517457.35","      15064","     396295","         61.24"
"WELSPUNIND","EQ","29-Jun-2017","         83.05","         82.80","         84.00","         82.35","         82.50","         83.00","         83.00","     763086","            63337025.00","       9676","     483471","         63.36"
"WELSPUNIND","EQ","30-Jun-2017","         83.00","         82.15","         83.50","         79.80","         82.80","         82.70","         81.34","    2243282","           182469038.50","      22726","    1667133","         74.32"
"WELSPUNIND","EQ","03-Jul-2017","         82.70","         81.35","         82.90","         80.05","         80.60","         81.60","         81.32","    1030049","            83762876.15","       6577","     524045","         50.88"
"WELSPUNIND","EQ","04-Jul-2017","         81.60","         79.55","         82.20","         79.25","         80.40","         80.70","         81.08","     538811","            43689147.60","       4452","     265084","         49.20"
"WELSPUNIND","EQ","05-Jul-2017","         80.70","         80.95","         81.10","         80.15","         80.50","         80.55","         80.69","     686651","            55402800.25","       4498","     494570","         72.03"
"WELSPUNIND","EQ","06-Jul-2017","         80.55","         80.95","         81.30","         80.10","         80.15","         80.50","         80.78","     642382","            51891686.55","       5192","     459472","         71.53"
"WELSPUNIND","EQ","07-Jul-2017","         80.50","         80.60","         85.90","         80.45","         84.40","         84.25","         83.94","    2719882","           228297217.95","      14434","    1874797","         68.93"
"WELSPUNIND","EQ","10-Jul-2017","         84.25","         89.85","         89.85","         85.00","         87.55","         87.85","         87.43","     801516","            70075144.20","       2812","     617664","         77.06"
"WELSPUNIND","EQ","11-Jul-2017","         87.85","         87.80","         88.95","         85.50","         86.00","         86.10","         87.47","     939793","            82207196.50","       4942","     684579","         72.84"
"WELSPUNIND","EQ","12-Jul-2017","         86.10","         86.00","         86.50","         84.25","         85.75","         85.55","         85.52","     386430","            33045804.10","       3798","     252923","         65.45"
"WELSPUNIND","EQ","13-Jul-2017","         85.55","         85.30","         88.75","         84.60","         87.90","         88.05","         87.75","    1609906","           141268087.20","       9143","    1150595","         71.47"
"WELSPUNIND","EQ","14-Jul-2017","         88.05","         88.90","         90.90","         88.05","         90.25","         90.20","         89.25","    3348262","           298835594.60","      14278","    2526609","         75.46"
"WELSPUNIND","EQ","17-Jul-2017","         90.20","         90.75","         91.15","         88.10","         89.25","         89.05","         89.07","    1025680","            91359064.10","       7069","     722835","         70.47"
"WELSPUNIND","EQ","18-Jul-2017","         89.05","         88.60","         90.10","         87.75","         88.80","         88.35","         88.71","    1068181","            94761298.85","       9975","     829749","         77.68"
"WELSPUNIND","EQ","19-Jul-2017","         88.35","         88.90","         89.10","         87.60","         88.85","         88.60","         88.61","     432250","            38302051.90","      10524","     279790","         64.73"
"WELSPUNIND","EQ","20-Jul-2017","         88.60","         89.95","         91.00","         87.60","         90.05","         90.40","         89.55","     910646","            81552478.60","      16152","     574974","         63.14"
"WELSPUNIND","EQ","21-Jul-2017","         90.40","         91.00","         92.65","         88.80","         90.50","         90.15","         91.18","    1041054","            94921623.05","       8305","     647530","         62.20"
"WELSPUNIND","EQ","24-Jul-2017","         90.15","         91.90","         92.25","         89.15","         89.60","         89.85","         90.69","     546367","            49549913.45","       5356","     344006","         62.96"
"WELSPUNIND","EQ","25-Jul-2017","         89.85","         90.00","         90.25","         87.75","         88.50","         88.35","         88.53","     527521","            46704026.35","       4475","     283702","         53.78"
"WELSPUNIND","EQ","26-Jul-2017","         88.35","         88.35","         89.20","         86.05","         86.50","         86.75","         87.70","     490679","            43032820.90","       5216","     315587","         64.32"
"WELSPUNIND","EQ","27-Jul-2017","         86.75","         86.70","         88.00","         84.50","         84.60","         85.25","         86.22","     618342","            53312360.80","       5481","     323823","         52.37"
"WELSPUNIND","EQ","28-Jul-2017","         85.25","         85.30","         85.35","         84.10","         84.40","         84.70","         84.68","     479121","            40570399.30","       3823","     226688","         47.31"
"WELSPUNIND","EQ","31-Jul-2017","         84.70","         84.75","         86.00","         81.90","         82.30","         82.20","         83.99","     869236","            73003257.70","       7221","     447864","         51.52"
"WELSPUNIND","EQ","01-Aug-2017","         82.20","         83.90","         84.35","         80.75","         82.25","         82.25","         82.77","     878920","            72746700.15","       6924","     489410","         55.68"
"WELSPUNIND","EQ","02-Aug-2017","         82.25","         82.65","         83.95","         82.10","         83.25","         82.70","         82.97","     374459","            31069923.00","       2292","     220648","         58.92"
"WELSPUNIND","EQ","03-Aug-2017","         82.70","         81.55","         84.35","         81.55","         83.35","         83.90","         83.42","     462980","            38623092.80","       4219","     317133","         68.50"
"WELSPUNIND","EQ","04-Aug-2017","         83.90","         83.90","         83.90","         81.45","         82.30","         82.05","         82.20","     443878","            36484984.55","       6185","     289224","         65.16"
"WELSPUNIND","EQ","07-Aug-2017","         82.05","         83.05","         83.20","         80.00","         80.10","         80.30","         81.35","    1322401","           107572889.15","      13220","     624124","         47.20"
"WELSPUNIND","EQ","08-Aug-2017","         80.30","         79.50","         82.10","         78.50","         80.65","         80.60","         80.85","     694486","            56152021.60","       6928","     396013","         57.02"
"WELSPUNIND","EQ","09-Aug-2017","         80.60","         77.85","         80.30","         77.85","         77.85","         78.45","         78.76","     640104","            50415126.00","       5738","     408009","         63.74"
"WELSPUNIND","EQ","10-Aug-2017","         78.45","         78.40","         78.50","         72.05","         74.75","         72.95","         75.11","     992506","            74545145.60","      14363","     683644","         68.88"
"WELSPUNIND","EQ","11-Aug-2017","         72.95","         71.60","         75.50","         68.00","         69.55","         69.00","         70.43","    1076933","            75848428.45","      10811","     667724","         62.00"
"WELSPUNIND","EQ","14-Aug-2017","         69.00","         72.75","         73.75","         71.00","         73.65","         73.15","         72.55","     593904","            43087370.55","       4898","     393239","         66.21"
