"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LT","EQ","15-May-2017","       1740.60","       1748.60","       1751.55","       1736.50","       1742.00","       1742.40","       1743.15","     797134","          1389521427.00","      52614","     529359","         66.41"
"LT","EQ","16-May-2017","       1742.40","       1747.00","       1748.25","       1727.55","       1740.60","       1740.70","       1736.62","    1102926","          1915364571.00","      48756","     674148","         61.12"
"LT","EQ","17-May-2017","       1740.70","       1743.90","       1764.00","       1730.50","       1754.30","       1755.45","       1749.36","    1668586","          2918954732.05","      77513","     830692","         49.78"
"LT","EQ","18-May-2017","       1755.45","       1739.65","       1750.10","       1716.40","       1722.10","       1722.60","       1725.53","    1437220","          2479967984.10","      47602","     915874","         63.73"
"LT","EQ","19-May-2017","       1722.60","       1729.00","       1734.00","       1697.55","       1720.05","       1724.55","       1718.73","    1512094","          2598885487.70","      59280","     838396","         55.45"
"LT","EQ","22-May-2017","       1724.55","       1733.00","       1759.00","       1729.00","       1753.00","       1751.95","       1749.85","    1892816","          3312148103.45","      81450","    1222100","         64.57"
"LT","EQ","23-May-2017","       1751.95","       1755.00","       1764.90","       1727.40","       1735.50","       1740.75","       1744.75","     975870","          1702647793.75","      54639","     431247","         44.19"
"LT","EQ","24-May-2017","       1740.75","       1742.10","       1756.90","       1677.60","       1689.45","       1684.45","       1721.17","    1448713","          2493486953.60","      50761","     754200","         52.06"
"LT","EQ","25-May-2017","       1684.45","       1692.00","       1775.00","       1692.00","       1765.00","       1768.85","       1753.44","    3603181","          6317947623.40","      95146","    2346405","         65.12"
"LT","EQ","26-May-2017","       1768.85","       1770.00","       1799.00","       1753.85","       1784.10","       1787.60","       1779.89","    2044054","          3638198841.00","      71833","     995635","         48.71"
"LT","EQ","29-May-2017","       1787.60","       1783.90","       1809.95","       1766.00","       1778.30","       1782.40","       1790.30","    2022439","          3620774940.90","      90245","     792039","         39.16"
"LT","EQ","30-May-2017","       1782.40","       1816.00","       1833.95","       1754.00","       1770.00","       1767.55","       1784.55","    4366960","          7793040775.75","     127796","    1419839","         32.51"
"LT","EQ","31-May-2017","       1767.55","       1772.50","       1785.00","       1750.70","       1756.00","       1760.70","       1769.22","    2000488","          3539300426.00","      92989","    1194770","         59.72"
"LT","EQ","01-Jun-2017","       1760.70","       1760.00","       1798.00","       1748.00","       1792.10","       1792.80","       1772.42","    1932123","          3424526119.95","      72013","     957738","         49.57"
"LT","EQ","02-Jun-2017","       1792.80","       1800.00","       1805.00","       1778.10","       1784.85","       1784.00","       1787.39","     950214","          1698404867.45","      45529","     436632","         45.95"
"LT","EQ","05-Jun-2017","       1784.00","       1795.00","       1809.40","       1783.50","       1804.35","       1804.90","       1802.25","    1270946","          2290566187.90","      62246","     690909","         54.36"
"LT","EQ","06-Jun-2017","       1804.90","       1807.70","       1808.05","       1772.15","       1773.00","       1775.15","       1783.32","     954046","          1701371764.60","      50045","     494546","         51.84"
"LT","EQ","07-Jun-2017","       1775.15","       1774.00","       1794.50","       1773.00","       1786.30","       1788.60","       1784.63","     885027","          1579445359.05","      53026","     466130","         52.67"
"LT","EQ","08-Jun-2017","       1788.60","       1789.00","       1799.00","       1771.50","       1772.50","       1774.25","       1782.77","     952653","          1698360787.80","      39123","     534176","         56.07"
"LT","EQ","09-Jun-2017","       1774.25","       1777.00","       1783.90","       1761.60","       1779.80","       1778.20","       1773.47","    1088138","          1929776592.80","      44515","     583696","         53.64"
"LT","EQ","12-Jun-2017","       1778.20","       1777.80","       1778.00","       1708.90","       1743.00","       1736.60","       1732.36","    2712638","          4699270947.05","      98321","    1530043","         56.40"
"LT","EQ","13-Jun-2017","       1736.60","       1744.55","       1754.70","       1736.55","       1740.85","       1739.00","       1743.56","     941516","          1641589969.05","      57523","     476292","         50.59"
"LT","EQ","14-Jun-2017","       1739.00","       1742.00","       1771.35","       1734.80","       1759.00","       1764.45","       1755.83","    1386438","          2434354273.50","      61835","     667755","         48.16"
"LT","EQ","15-Jun-2017","       1764.45","       1757.15","       1761.90","       1730.00","       1735.00","       1735.35","       1739.34","     987395","          1717415596.00","      50173","     491047","         49.73"
"LT","EQ","16-Jun-2017","       1735.35","       1734.85","       1751.00","       1720.70","       1730.50","       1726.70","       1730.99","    1495435","          2588577741.20","      61005","     905579","         60.56"
"LT","EQ","19-Jun-2017","       1726.70","       1736.00","       1760.00","       1732.20","       1759.00","       1755.80","       1745.53","    1187371","          2072594015.50","      47845","     619628","         52.18"
"LT","EQ","20-Jun-2017","       1755.80","       1758.70","       1768.95","       1740.20","       1750.60","       1750.50","       1752.57","    1043648","          1829066892.30","      45980","     507190","         48.60"
"LT","EQ","21-Jun-2017","       1750.50","       1758.50","       1782.00","       1751.00","       1752.80","       1754.20","       1765.66","    2371285","          4186881845.80","      79145","     911466","         38.44"
"LT","EQ","22-Jun-2017","       1754.20","       1760.00","       1765.60","       1732.30","       1736.50","       1736.40","       1746.83","    1174506","          2051657575.15","      55886","     612220","         52.13"
"LT","EQ","23-Jun-2017","       1736.40","       1740.00","       1743.25","       1719.00","       1721.30","       1722.70","       1724.98","    1144550","          1974330996.15","      60559","     569745","         49.78"
"LT","EQ","27-Jun-2017","       1722.70","       1717.55","       1737.95","       1685.90","       1701.90","       1701.70","       1704.89","    1544697","          2633534652.90","      77026","     870666","         56.36"
"LT","EQ","28-Jun-2017","       1701.70","       1698.85","       1708.00","       1681.35","       1701.40","       1703.25","       1697.25","    1052350","          1786104317.15","      64152","     593056","         56.36"
"LT","EQ","29-Jun-2017","       1703.25","       1704.10","       1723.15","       1695.55","       1700.00","       1703.65","       1707.98","    1806368","          3085242894.95","      68391","    1125747","         62.32"
"LT","EQ","30-Jun-2017","       1703.65","       1699.00","       1699.00","       1661.30","       1686.80","       1687.60","       1676.76","    2167690","          3634694947.20","      93983","    1182480","         54.55"
"LT","EQ","03-Jul-2017","       1687.60","       1688.00","       1710.50","       1673.40","       1684.40","       1687.25","       1692.91","    1446731","          2449192437.35","      46145","     726484","         50.22"
"LT","EQ","04-Jul-2017","       1687.25","       1700.00","       1700.00","       1671.00","       1680.50","       1683.35","       1681.84","    1093359","          1838851379.35","      41808","     537333","         49.15"
"LT","EQ","05-Jul-2017","       1683.35","       1684.00","       1699.00","       1680.10","       1699.00","       1695.30","       1691.62","     689627","          1166587786.90","      30850","     359401","         52.12"
"LT","EQ","06-Jul-2017","       1695.30","       1699.20","       1706.95","       1690.30","       1695.00","       1697.60","       1700.02","     945054","          1606608743.40","      42026","     594582","         62.92"
"LT","EQ","07-Jul-2017","       1697.60","       1697.00","       1717.90","       1690.20","       1705.05","       1704.40","       1706.48","    1230066","          2099077140.80","      43163","     508698","         41.36"
"LT","EQ","10-Jul-2017","       1704.40","       1720.10","       1739.00","       1710.10","       1734.70","       1732.15","       1729.98","     216490","           374523153.10","       6451","     119613","         55.25"
"LT","EQ","11-Jul-2017","       1732.15","       1739.40","       1749.90","       1730.00","       1742.00","       1741.10","       1742.03","    1415965","          2466646678.15","      55194","     872822","         61.64"
"LT","EQ","12-Jul-2017","       1741.10","       1748.00","       1756.70","       1735.70","       1740.35","       1739.55","       1747.37","    1357936","          2372812663.15","      51995","     924888","         68.11"
"LT","EQ","13-Jul-2017","       1739.55","       1165.10","       1182.50","       1160.00","       1176.00","       1175.10","       1174.04","    1643754","          1929840100.45","      55472","     827283","         50.33"
"LT","EQ","14-Jul-2017","       1175.10","       1183.00","       1183.00","       1159.55","       1171.00","       1171.20","       1168.77","    1401864","          1638463561.00","      46316","     749320","         53.45"
"LT","EQ","17-Jul-2017","       1171.20","       1178.00","       1182.00","       1162.40","       1171.80","       1171.25","       1171.58","    1646087","          1928515259.60","      42889","    1164254","         70.73"
"LT","EQ","18-Jul-2017","       1171.25","       1169.90","       1187.00","       1168.10","       1180.40","       1177.90","       1180.19","    2375324","          2803322170.35","      37748","    1664958","         70.09"
"LT","EQ","19-Jul-2017","       1177.90","       1184.00","       1187.00","       1170.10","       1181.40","       1181.30","       1181.27","    1827242","          2158470164.95","      43837","    1188678","         65.05"
"LT","EQ","20-Jul-2017","       1181.30","       1182.00","       1194.45","       1176.00","       1188.00","       1185.65","       1186.58","    1845852","          2190258164.85","      50547","    1037576","         56.21"
"LT","EQ","21-Jul-2017","       1185.65","       1190.00","       1190.00","       1170.20","       1177.00","       1179.25","       1180.80","    1912305","          2258051944.85","      58690","    1329440","         69.52"
"LT","EQ","24-Jul-2017","       1179.25","       1177.00","       1182.65","       1171.10","       1182.00","       1178.00","       1175.93","    1313657","          1544764163.85","      39695","     940413","         71.59"
"LT","EQ","25-Jul-2017","       1178.00","       1178.00","       1179.95","       1165.50","       1169.90","       1170.85","       1170.08","    2182162","          2553309698.65","      72688","    1631457","         74.76"
"LT","EQ","26-Jul-2017","       1170.85","       1169.90","       1184.00","       1166.00","       1182.25","       1180.25","       1175.93","    1161591","          1365955120.20","      49318","     779188","         67.08"
"LT","EQ","27-Jul-2017","       1180.25","       1180.80","       1194.90","       1173.00","       1180.65","       1182.05","       1182.19","    3881208","          4588341085.50","      71926","    2821426","         72.69"
"LT","EQ","28-Jul-2017","       1182.05","       1184.00","       1190.40","       1153.50","       1158.45","       1161.40","       1165.84","    3278658","          3822393177.85","      81009","    1485123","         45.30"
"LT","EQ","31-Jul-2017","       1161.40","       1193.70","       1207.50","       1180.10","       1193.20","       1193.95","       1194.86","    5000536","          5974923631.95","     106235","    1626737","         32.53"
"LT","EQ","01-Aug-2017","       1193.95","       1198.25","       1198.25","       1171.70","       1186.70","       1190.05","       1183.02","    2721660","          3219773889.45","      58352","    1586459","         58.29"
