Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,SMA_21,SMA_34,SMA_14,SD_14,upper_band,lower_band
2017-05-15,INFY,EQ,964.25,963.5,963.5,949.1,953.25,951.55,951.49,3648582,3471579744.8,75335,3052819,83.67,2017,5,0.0,Slight or No change,,,,,,
2017-05-16,INFY,EQ,951.55,953.1,960.15,946.95,956.0,955.0,952.92,3065084,2920775219.4,71808,1858063,60.62,2017,5,0.36256633913089853,Slight or No change,,,,,,
2017-05-17,INFY,EQ,955.0,951.6,958.45,943.85,952.9,952.8,949.48,1457754,1384109511.85,75429,792251,54.35,2017,5,-0.2303664921466053,Slight or No change,,,,,,
2017-05-18,INFY,EQ,952.8,943.0,973.9,942.85,960.25,961.75,962.61,4028924,3878281748.15,120990,2309450,57.32,2017,5,0.9393366918555968,Slight positive,,,,,,
2017-05-19,INFY,EQ,961.75,961.5,962.7,947.85,957.4,957.95,954.18,2128698,2031155370.25,88897,1457747,68.48,2017,5,-0.3951130751234655,Slight or No change,,,,,,
2017-05-22,INFY,EQ,957.95,958.4,966.9,956.55,960.0,961.45,962.29,2751526,2647754819.65,99616,2034031,73.92,2017,5,0.3653635367190322,Slight or No change,,,,,,
2017-05-23,INFY,EQ,961.45,964.65,967.0,954.1,957.5,957.3,960.16,2019991,1939514664.8,80122,1436389,71.11,2017,5,-0.43163971085340425,Slight or No change,,,,,,
2017-05-24,INFY,EQ,957.3,960.0,965.5,949.6,957.0,954.8,958.37,2818143,2700826857.5,56898,1913750,67.91,2017,5,-0.2611511542880973,Slight or No change,,,,,,
2017-05-25,INFY,EQ,954.8,961.0,986.6,961.0,981.0,983.3,978.16,5219257,5105249719.45,76160,4108984,78.73,2017,5,2.9849183074989627,Positive,,,,,,
2017-05-26,INFY,EQ,983.3,987.0,1000.0,980.6,996.05,995.7,994.06,2494002,2479193881.9,63671,1477643,59.25,2017,5,1.261059696938882,Positive,,,,,,
2017-05-29,INFY,EQ,995.7,990.9,996.7,975.7,986.0,985.15,983.11,3154217,3100929032.2,83084,2272869,72.06,2017,5,-1.0595560911921376,Negative,,,,,,
2017-05-30,INFY,EQ,985.15,982.0,1000.0,978.65,993.0,996.2,995.45,1858455,1850003637.75,62012,1280033,68.88,2017,5,1.1216566005176842,Positive,,,,,,
2017-05-31,INFY,EQ,996.2,993.55,993.55,974.85,976.05,977.05,980.19,3881950,3805051202.8,121323,3086038,79.5,2017,5,-1.922304758080717,Negative,,,,,,
2017-06-01,INFY,EQ,977.05,969.3,979.7,958.55,971.25,971.4,969.49,2754303,2670262585.15,81421,1822506,66.17,2017,6,-0.5782713269535833,Slight negative,,,967.9971428571429,15.602780535518681,999.2027039281802,936.7915817861056
2017-06-02,INFY,EQ,971.4,973.4,975.45,964.2,966.0,969.45,968.76,1958983,1897792688.95,48927,1396644,71.29,2017,6,-0.2007411982705265,Slight or No change,,,969.2307142857144,14.862446979544796,998.955608244804,939.5058203266248
2017-06-05,INFY,EQ,969.45,970.0,972.0,957.05,959.0,958.75,961.71,2731349,2626761462.75,83794,1941199,71.07,2017,6,-1.1037186033317936,Negative,,,969.8585714285716,14.295247116083372,998.4490656607384,941.2680771964049
2017-06-06,INFY,EQ,958.75,965.0,987.5,964.4,980.0,979.35,980.08,3504343,3434525873.65,83178,2018029,57.59,2017,6,2.1486310299869693,Positive,,,972.0442857142859,13.240124746266677,998.5245352068193,945.5640362217525
2017-06-07,INFY,EQ,979.35,985.0,988.9,945.0,959.3,961.3,963.75,6227523,6001805446.2,139990,2519343,40.45,2017,6,-1.8430591718997411,Negative,,,972.1257142857145,13.181012984467593,998.4877402546497,945.7636883167793
2017-06-08,INFY,EQ,961.3,962.95,962.95,948.15,956.05,956.45,952.81,3097676,2951501576.75,88147,1778850,57.43,2017,6,-0.5045251222303038,Slight negative,,,972.0278571428572,13.328749828022957,998.6853567989032,945.3703574868113
