Date,Price,Open,High,Low,Vol.,Change %,Pred,new
"May 04, 2017",28060,28400,28482,28025,0.08K,-1.79%,738.0,117.57074041034866
"May 05, 2017",28184,28136,28382,28135,0.06K,0.44%,-146.0,295.430175937443
"May 08, 2017",28119,28145,28255,28097,7.85K,-0.23%,30.0,132.12371427554538
"May 09, 2017",27981,28125,28192,27947,10.10K,-0.49%,357.0,101.29806419293527
"May 10, 2017",28007,28060,28146,27981,9.28K,0.09%,124.0,112.15331832314767
"May 11, 2017",28022,27995,28100,27945,9.72K,0.05%,149.0,182.42708892467274
"May 12, 2017",28019,28088,28195,27985,9.48K,-0.01%,167.0,141.25513668036362
"May 15, 2017",28008,28049,28157,27996,8.76K,-0.04%,22.0,120.06900985855101
"May 16, 2017",28109,28025,28159,28025,7.73K,0.36%,34.0,218.40164139161428
"May 17, 2017",28614,28170,28638,28170,15.92K,1.80%,420.0,919.3763578274776
"May 18, 2017",28710,28666,28980,28551,23.80K,0.34%,234.0,475.38909320164015
"May 19, 2017",28634,28660,28779,28531,13.16K,-0.26%,345.0,222.89530685920545
"May 22, 2017",28783,28590,28799,28568,9.31K,0.52%,265.0,425.73848361803533
"May 23, 2017",28808,28804,28930,28740,12.50K,0.09%,138.0,194.44954766875526
"May 24, 2017",28719,28770,28770,28650,8.69K,-0.31%,378.0,69.28900523560151
"May 25, 2017",28638,28769,28770,28600,9.93K,-0.28%,413.0,39.225874125873816
"May 26, 2017",28847,28694,28866,28674,9.52K,0.73%,214.0,346.1584013391912
"May 29, 2017",28874,28843,28928,28807,4.56K,0.09%,121.0,152.28142465373094
"May 30, 2017",28704,28921,28960,28680,9.88K,-0.59%,491.0,63.23430962343264
"May 31, 2017",28905,28683,28950,28628,7.83K,0.70%,397.0,547.1156210702793
"Jun 01, 2017",28749,28877,28877,28712,1.77K,-0.54%,404.0,37.212628865978324
"Jun 02, 2017",28949,28685,29011,28680,0.31K,0.70%,222.0,598.1045676429568
"Jun 05, 2017",29111,29045,29180,29045,0.71K,0.56%,-3.0,201.30676536409007
"Jun 06, 2017",29481,29220,29499,29216,11.14K,1.27%,259.0,546.5669153888266
"Jun 07, 2017",29376,29439,29485,29310,9.82K,-0.36%,344.0,112.39406345957106
"Jun 08, 2017",29049,29319,29345,28951,12.95K,-1.11%,906.0,125.33370177196049
"Jun 09, 2017",28938,29001,29009,28836,8.98K,-0.38%,526.0,110.61194340407745
"Jun 12, 2017",28917,28905,28971,28851,7.77K,-0.07%,174.0,132.2745138816681
"Jun 13, 2017",28862,28907,28916,28711,7.71K,-0.19%,685.0,161.0781581972078
"Jun 14, 2017",28946,28890,29025,28802,9.37K,0.29%,329.0,280.1149225748195
"Jun 15, 2017",28686,28890,28890,28640,11.43K,-0.90%,592.0,46.40153631284921
"Jun 16, 2017",28616,28697,28718,28600,6.78K,-0.24%,205.0,37.06601398601561
"Jun 19, 2017",28473,28593,28593,28460,7.55K,-0.50%,292.0,13.060751932538553
"Jun 20, 2017",28475,28470,28530,28420,7.69K,0.01%,150.0,115.21287825475157
"Jun 21, 2017",28495,28539,28575,28403,9.08K,0.07%,420.0,128.55712424743982
"Jun 22, 2017",28557,28530,28670,28519,7.48K,0.22%,-42.0,178.20119920053185
"Jun 23, 2017",28648,28596,28782,28596,7.10K,0.32%,-82.0,238.33822912295363
"Jun 26, 2017",28426,28302,28440,28264,4.61K,-0.77%,262.0,301.0087744126795
"Jun 27, 2017",28483,28411,28572,28401,7.63K,0.20%,23.0,243.4937150100341
"Jun 28, 2017",28485,28569,28660,28461,7.73K,0.01%,173.0,115.16780858016136
"Jun 29, 2017",28527,28522,28550,28380,7.94K,0.15%,550.0,175.88054968287545
"Jun 30, 2017",28295,28505,28505,28168,8.40K,-0.81%,928.0,128.51941919909223
"Jul 03, 2017",27952,28300,28300,27925,3.24K,-1.21%,804.0,27.36257833482523
"Jul 04, 2017",28043,27956,28169,27956,1.26K,0.33%,-39.0,300.66286307053815
"Jul 05, 2017",28051,28120,28155,27845,0.90K,0.03%,927.0,243.29340994792443
"Jul 06, 2017",28143,28200,28237,28111,10.57K,0.33%,205.0,69.14343139696211
"Jul 07, 2017",27812,28101,28140,27754,16.37K,-1.18%,771.0,97.80665849967407
"Jul 10, 2017",27840,27835,27887,27620,13.13K,0.10%,818.0,274.12671976828284
"Jul 11, 2017",27871,27805,27929,27702,11.02K,0.11%,420.0,294.3848458595058
"Jul 12, 2017",27889,27919,28033,27840,10.47K,0.06%,142.0,163.3396910919546
"Jul 13, 2017",27868,27945,27968,27851,7.67K,-0.08%,199.0,40.07141574808703
