"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUZLON","EQ","15-May-2017","         20.75","         20.85","         20.90","         19.25","         19.75","         19.60","         19.98","  119371670","          2385262420.30","      60296","   41900872","         35.10"
"SUZLON","EQ","16-May-2017","         19.60","         19.75","         20.10","         19.45","         19.65","         19.70","         19.76","   44577475","           881039183.95","      26573","   12082938","         27.11"
"SUZLON","EQ","17-May-2017","         19.70","         19.75","         20.00","         19.60","         19.90","         19.90","         19.84","   37090719","           736038666.95","      27347","   10901257","         29.39"
"SUZLON","EQ","18-May-2017","         19.90","         19.70","         20.80","         19.55","         20.10","         20.00","         20.20","   85301999","          1723069836.60","      39877","   23132614","         27.12"
"SUZLON","EQ","19-May-2017","         20.00","         20.45","         21.35","         20.35","         20.85","         20.60","         20.77","  125514828","          2606910856.40","      76680","   33704388","         26.85"
"SUZLON","EQ","22-May-2017","         20.60","         22.20","         22.25","         20.15","         20.40","         20.40","         21.05","  191193553","          4025047117.35","     106259","   57016441","         29.82"
"SUZLON","EQ","23-May-2017","         20.40","         20.55","         20.70","         19.45","         19.75","         19.75","         19.91","  102149537","          2033406980.20","      52697","   23064053","         22.58"
"SUZLON","EQ","24-May-2017","         19.75","         19.70","         19.75","         18.75","         18.90","         18.85","         19.15","   96386605","          1845904777.85","      60808","   22517556","         23.36"
"SUZLON","EQ","25-May-2017","         18.85","         19.00","         19.65","         18.45","         19.35","         19.35","         19.22","   99163576","          1905957925.90","      50681","   27576416","         27.81"
"SUZLON","EQ","26-May-2017","         19.35","         19.45","         19.90","         19.20","         19.85","         19.80","         19.66","   44853728","           881749443.20","      31251","   15167335","         33.82"
"SUZLON","EQ","29-May-2017","         19.80","         19.80","         20.00","         19.05","         19.10","         19.15","         19.38","   39664456","           768827439.85","      21305","   10567732","         26.64"
"SUZLON","EQ","30-May-2017","         19.15","         19.00","         19.50","         18.75","         19.10","         19.15","         19.20","   44928626","           862656455.40","      17533","   10598374","         23.59"
"SUZLON","EQ","31-May-2017","         19.15","         19.15","         19.45","         19.15","         19.25","         19.30","         19.31","   24815841","           479163465.75","      15419","    7878893","         31.75"
"SUZLON","EQ","01-Jun-2017","         19.30","         19.30","         19.85","         19.25","         19.45","         19.50","         19.57","   44047119","           861967502.45","      20415","   16722971","         37.97"
"SUZLON","EQ","02-Jun-2017","         19.50","         19.55","         19.90","         19.55","         19.80","         19.75","         19.75","   27965439","           552263809.50","      17154","   13009790","         46.52"
"SUZLON","EQ","05-Jun-2017","         19.75","         19.85","         20.20","         19.75","         19.85","         19.85","         19.96","   30939318","           617575855.10","      17179","    9954375","         32.17"
"SUZLON","EQ","06-Jun-2017","         19.85","         19.95","         20.00","         19.30","         19.35","         19.35","         19.55","   26459361","           517293610.55","      17211","    8839688","         33.41"
"SUZLON","EQ","07-Jun-2017","         19.35","         19.45","         19.60","         19.30","         19.40","         19.35","         19.45","   30657966","           596434146.75","      10470","   11763887","         38.37"
"SUZLON","EQ","08-Jun-2017","         19.35","         19.45","         19.45","         19.05","         19.15","         19.15","         19.20","   24702151","           474231041.90","      15306","    9339285","         37.81"
"SUZLON","EQ","09-Jun-2017","         19.15","         19.20","         19.35","         19.10","         19.15","         19.20","         19.24","   20490706","           394198821.50","      14423","    6698011","         32.69"
"SUZLON","EQ","12-Jun-2017","         19.20","         19.10","         19.25","         18.90","         19.05","         19.00","         19.08","   21810354","           416071967.60","      14127","    7803537","         35.78"
"SUZLON","EQ","13-Jun-2017","         19.00","         19.05","         19.15","         18.85","         18.90","         18.95","         19.03","   22166348","           421844144.95","      14451","    7635444","         34.45"
