"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPORTS","EQ","15-May-2017","        357.95","        359.00","        359.75","        350.85","        356.00","        356.20","        354.78","    1530781","           543093896.10","      14738","     554124","         36.20"
"ADANIPORTS","EQ","16-May-2017","        356.20","        354.20","        358.15","        351.15","        353.55","        354.50","        354.64","    1321254","           468571841.60","      24113","     465010","         35.19"
"ADANIPORTS","EQ","17-May-2017","        354.50","        354.50","        354.80","        347.55","        348.95","        348.55","        349.74","    1239867","           433632452.30","      19750","     571621","         46.10"
"ADANIPORTS","EQ","18-May-2017","        348.55","        344.30","        359.55","        342.20","        348.15","        347.90","        350.16","    3618961","          1267198439.50","      76390","     963959","         26.64"
"ADANIPORTS","EQ","19-May-2017","        347.90","        349.05","        352.50","        345.30","        350.45","        349.45","        348.91","    1302961","           454610341.90","      20989","     492222","         37.78"
"ADANIPORTS","EQ","22-May-2017","        349.45","        352.40","        357.40","        350.45","        354.00","        354.45","        354.60","    2939697","          1042419733.85","      36043","    1207131","         41.06"
"ADANIPORTS","EQ","23-May-2017","        354.45","        354.80","        355.60","        328.50","        330.65","        331.65","        340.41","    6270500","          2134542924.05","      70709","    2738738","         43.68"
"ADANIPORTS","EQ","24-May-2017","        331.65","        333.40","        342.95","        328.10","        341.80","        339.65","        337.39","    8363216","          2821651249.20","      78246","    1533176","         18.33"
"ADANIPORTS","EQ","25-May-2017","        339.65","        344.90","        346.25","        331.30","        341.55","        340.75","        339.21","    5992900","          2032861963.30","      57622","    1993080","         33.26"
"ADANIPORTS","EQ","26-May-2017","        340.75","        342.40","        351.00","        339.00","        348.00","        348.00","        347.55","    2754435","           957311566.85","      28126","    1036015","         37.61"
"ADANIPORTS","EQ","29-May-2017","        348.00","        347.80","        348.35","        325.10","        327.80","        327.80","        331.08","    3943111","          1305479519.25","      44755","    1440160","         36.52"
"ADANIPORTS","EQ","30-May-2017","        327.80","        328.40","        342.90","        327.45","        341.00","        340.35","        337.25","    3680879","          1241380243.80","      51558","    1506427","         40.93"
"ADANIPORTS","EQ","31-May-2017","        340.35","        341.50","        345.75","        336.55","        341.75","        339.00","        339.69","   12190256","          4140919820.35","      94792","    9389385","         77.02"
