"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BERGEPAINT","EQ","15-May-2017","        256.35","        258.50","        263.15","        258.30","        260.25","        259.50","        260.44","     693178","           180528272.70","      11114","     351310","         50.68"
"BERGEPAINT","EQ","16-May-2017","        259.50","        261.25","        262.35","        258.25","        261.20","        261.50","        260.38","     455581","           118622574.75","      13715","     243949","         53.55"
"BERGEPAINT","EQ","17-May-2017","        261.50","        261.20","        263.95","        259.00","        261.10","        260.90","        261.91","     325496","            85251043.65","       6697","      95378","         29.30"
"BERGEPAINT","EQ","18-May-2017","        260.90","        258.90","        259.20","        253.00","        253.05","        254.10","        256.31","     361411","            92633849.20","       5965","     137486","         38.04"
"BERGEPAINT","EQ","19-May-2017","        254.10","        254.85","        255.95","        241.60","        248.15","        247.80","        249.47","     479054","           119509883.90","       9143","     150223","         31.36"
"BERGEPAINT","EQ","22-May-2017","        247.80","        251.05","        251.05","        244.50","        249.95","        249.15","        247.42","     260390","            64425055.95","       5812","      94671","         36.36"
"BERGEPAINT","EQ","23-May-2017","        249.15","        250.90","        250.90","        236.95","        243.00","        244.10","        243.58","     719976","           175371158.25","      15117","     355647","         49.40"
"BERGEPAINT","EQ","24-May-2017","        244.10","        243.00","        244.10","        235.10","        241.80","        242.45","        240.34","     481018","           115608095.65","      12865","     251716","         52.33"
"BERGEPAINT","EQ","25-May-2017","        242.45","        242.50","        245.30","        238.90","        242.80","        242.65","        242.36","     594837","           144164179.75","      15713","     321453","         54.04"
"BERGEPAINT","EQ","26-May-2017","        242.65","        242.95","        261.00","        242.70","        259.90","        258.00","        256.65","    1166089","           299280405.40","      17147","     331553","         28.43"
"BERGEPAINT","EQ","29-May-2017","        258.00","        259.00","        266.85","        256.00","        256.15","        256.90","        260.05","     774619","           201439665.10","      11894","     153034","         19.76"
"BERGEPAINT","EQ","30-May-2017","        256.90","        256.00","        266.65","        249.50","        256.00","        256.00","        258.32","    1693223","           437392542.90","      24560","     428151","         25.29"
"BERGEPAINT","EQ","31-May-2017","        256.00","        256.40","        258.85","        249.85","        252.00","        251.75","        252.63","     814818","           205847354.15","      11788","     214889","         26.37"
