"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CASTROLIND","EQ","15-May-2017","        437.70","        438.00","        452.00","        435.50","        449.75","        449.85","        445.95","    2018406","           900103147.15","      29885","    1637034","         81.11"
"CASTROLIND","EQ","16-May-2017","        449.85","        451.90","        452.00","        442.25","        443.80","        443.00","        443.78","     534824","           237342389.70","       9438","     387126","         72.38"
"CASTROLIND","EQ","17-May-2017","        443.00","        443.60","        444.50","        438.35","        439.00","        439.55","        440.69","     377225","           166238432.75","      12293","     223768","         59.32"
"CASTROLIND","EQ","18-May-2017","        439.55","        437.95","        440.00","        432.25","        434.20","        433.95","        435.10","     398719","           173482318.00","       7171","     211541","         53.06"
"CASTROLIND","EQ","19-May-2017","        433.95","        436.65","        446.85","        434.00","        438.50","        437.10","        439.51","     886466","           389611035.25","      14752","     354918","         40.04"
"CASTROLIND","EQ","22-May-2017","        437.10","        435.00","        436.50","        421.25","        424.05","        424.95","        426.92","     490688","           209485598.60","      10053","     212233","         43.25"
"CASTROLIND","EQ","23-May-2017","        424.95","        425.00","        428.25","        410.05","        412.00","        411.90","        414.35","     460503","           190807451.40","      10753","     216518","         47.02"
"CASTROLIND","EQ","24-May-2017","        411.90","        410.00","        420.40","        408.10","        418.05","        418.80","        414.82","    1200856","           498144074.90","      12980","     448341","         37.34"
"CASTROLIND","EQ","25-May-2017","        418.80","        419.80","        423.20","        411.05","        413.40","        414.45","        416.25","     771538","           321150340.55","      10059","     382656","         49.60"
"CASTROLIND","EQ","26-May-2017","        414.45","        414.45","        424.75","        414.45","        421.25","        420.50","        421.00","     623334","           262424396.85","       9299","     273865","         43.94"
"CASTROLIND","EQ","29-May-2017","        420.50","        421.50","        422.95","        414.50","        416.60","        416.90","        417.50","     317132","           132403720.70","       9060","     173544","         54.72"
"CASTROLIND","EQ","30-May-2017","        416.90","        416.60","        425.40","        415.25","        425.00","        422.30","        420.99","     829826","           349348245.85","      10427","     418316","         50.41"
"CASTROLIND","EQ","31-May-2017","        422.30","        425.00","        429.90","        420.20","        422.85","        424.15","        425.84","    1709936","           728160533.75","      26165","     739337","         43.24"
"CASTROLIND","EQ","01-Jun-2017","        424.15","        423.00","        425.75","        415.80","        423.00","        423.20","        421.84","    1027416","           433409084.30","      13373","     521582","         50.77"
"CASTROLIND","EQ","02-Jun-2017","        423.20","        425.00","        426.00","        415.50","        418.00","        418.40","        419.11","     531324","           222683820.20","      14142","     253848","         47.78"
"CASTROLIND","EQ","05-Jun-2017","        418.40","        419.00","        421.35","        411.50","        411.65","        412.70","        416.05","     469164","           195195355.05","       7182","     264660","         56.41"
"CASTROLIND","EQ","06-Jun-2017","        412.70","        411.00","        415.55","        408.25","        411.00","        410.70","        411.56","     528713","           217597395.60","       9196","     220990","         41.80"
"CASTROLIND","EQ","07-Jun-2017","        410.70","        411.45","        415.00","        411.00","        413.00","        413.85","        413.59","     340084","           140654633.35","       6654","     179964","         52.92"
"CASTROLIND","EQ","08-Jun-2017","        413.85","        418.00","        418.75","        412.25","        412.65","        412.95","        414.31","     228776","            94783313.00","       4592","      99059","         43.30"
"CASTROLIND","EQ","09-Jun-2017","        412.95","        412.95","        415.00","        406.10","        407.00","        408.10","        410.77","     423179","           173829070.45","       6020","     238627","         56.39"
"CASTROLIND","EQ","12-Jun-2017","        408.10","        407.50","        407.85","        401.80","        402.95","        402.90","        403.50","     603418","           243480824.65","      14164","     309355","         51.27"
"CASTROLIND","EQ","13-Jun-2017","        402.90","        403.00","        408.70","        400.00","        400.50","        401.15","        404.70","     795858","           322082125.40","      12273","     471566","         59.25"
"CASTROLIND","EQ","14-Jun-2017","        401.15","        401.35","        403.75","        396.65","        397.00","        397.55","        399.00","     565027","           225443578.55","       9484","     338787","         59.96"
"CASTROLIND","EQ","15-Jun-2017","        397.55","        396.40","        413.50","        396.10","        409.75","        409.50","        406.76","    1922785","           782104031.70","      21797","     849544","         44.18"
"CASTROLIND","EQ","16-Jun-2017","        409.50","        410.00","        413.45","        407.05","        410.55","        411.30","        410.31","     937341","           384602018.15","       9552","     409872","         43.73"
"CASTROLIND","BL","19-Jun-2017","        287.70","        411.00","        411.00","        411.00","        411.00","        411.00","        411.00","     541896","           222719256.00","          1","     541896","        100.00"
"CASTROLIND","EQ","19-Jun-2017","        411.30","        412.00","        418.00","        410.10","        411.90","        412.35","        414.88","     853754","           354201726.20","      11885","     282183","         33.05"
"CASTROLIND","EQ","20-Jun-2017","        412.35","        414.00","        416.20","        410.45","        412.90","        414.00","        412.48","    1201021","           495398522.70","      13092","     575422","         47.91"
"CASTROLIND","EQ","21-Jun-2017","        414.00","        413.90","        419.35","        412.10","        415.15","        415.40","        415.91","     838245","           348633197.65","      24114","     482629","         57.58"
"CASTROLIND","EQ","22-Jun-2017","        415.40","        416.00","        420.00","        410.60","        412.00","        412.00","        416.42","     612198","           254930979.55","       9670","     297757","         48.64"
"CASTROLIND","EQ","23-Jun-2017","        412.00","        412.90","        414.00","        406.00","        409.45","        409.65","        409.68","     620280","           254115368.10","      21794","     356977","         57.55"
"CASTROLIND","EQ","27-Jun-2017","        409.65","        410.50","        411.55","        402.20","        406.95","        406.35","        405.74","     494380","           200591674.60","       9399","     213024","         43.09"
"CASTROLIND","EQ","28-Jun-2017","        406.35","        406.95","        407.00","        402.50","        403.00","        403.55","        404.41","     590036","           238613723.55","       8595","     422365","         71.58"
"CASTROLIND","EQ","29-Jun-2017","        403.55","        404.10","        407.60","        399.50","        402.40","        400.80","        402.45","    1156871","           465577299.95","      20133","     839593","         72.57"
"CASTROLIND","EQ","30-Jun-2017","        400.80","        401.50","        405.90","        398.45","        404.50","        404.70","        402.28","     686472","           276153073.55","      21485","     338673","         49.34"
"CASTROLIND","EQ","03-Jul-2017","        404.70","        406.75","        407.65","        400.70","        401.00","        401.55","        402.44","     308206","           124035450.65","       9574","     178903","         58.05"
"CASTROLIND","EQ","04-Jul-2017","        401.55","        402.25","        404.85","        398.20","        400.10","        400.30","        401.64","     492935","           197980016.65","      13650","     331114","         67.17"
"CASTROLIND","EQ","05-Jul-2017","        400.30","        400.25","        402.30","        399.00","        399.65","        399.95","        400.00","     440616","           176247782.45","       6761","     299004","         67.86"
"CASTROLIND","EQ","06-Jul-2017","        399.95","        400.80","        403.45","        399.00","        399.70","        399.95","        400.13","     819342","           327847018.65","      13156","     615956","         75.18"
"CASTROLIND","EQ","07-Jul-2017","        399.95","        399.20","        402.65","        398.25","        399.80","        400.10","        400.16","    1011035","           404572551.70","      25359","     665770","         65.85"
"CASTROLIND","EQ","10-Jul-2017","        400.10","        399.25","        404.25","        399.25","        402.55","        403.00","        402.89","     117943","            47518470.95","       1207","      80491","         68.25"
"CASTROLIND","EQ","11-Jul-2017","        403.00","        403.45","        404.25","        398.50","        400.00","        399.35","        401.32","     966602","           387915106.25","      32103","     683961","         70.76"
"CASTROLIND","EQ","12-Jul-2017","        399.35","        399.35","        409.50","        396.15","        409.40","        408.40","        403.26","    1025028","           413354652.90","      16337","     579190","         56.50"
"CASTROLIND","EQ","13-Jul-2017","        408.40","        410.00","        412.40","        405.00","        405.00","        406.25","        408.81","     826869","           338033211.60","      12319","     393312","         47.57"
"CASTROLIND","EQ","14-Jul-2017","        406.25","        406.90","        409.40","        401.70","        406.70","        406.30","        406.27","     441910","           179536917.20","       8246","     193941","         43.89"
"CASTROLIND","EQ","17-Jul-2017","        406.30","        409.90","        412.00","        407.00","        408.50","        408.75","        409.87","     550841","           225775037.30","      15833","     198208","         35.98"
"CASTROLIND","EQ","18-Jul-2017","        408.75","        408.50","        409.30","        404.00","        406.00","        406.55","        406.63","     508946","           206952991.55","       9451","     342173","         67.23"
"CASTROLIND","EQ","19-Jul-2017","        406.55","        407.00","        410.70","        406.05","        409.00","        408.55","        408.99","     371492","           151936291.60","       6825","     225748","         60.77"
"CASTROLIND","EQ","20-Jul-2017","        408.55","        409.20","        412.35","        403.25","        405.05","        404.45","        408.10","     923347","           376817541.55","      14199","     535773","         58.03"
"CASTROLIND","EQ","21-Jul-2017","        404.45","        406.00","        412.00","        405.60","        410.00","        410.00","        409.77","     874510","           358348867.50","      15107","     473527","         54.15"
"CASTROLIND","EQ","24-Jul-2017","        410.00","        410.00","        411.05","        407.90","        409.05","        409.65","        409.33","     266118","           108928905.90","       3585","     157612","         59.23"
"CASTROLIND","EQ","25-Jul-2017","        409.65","        409.75","        415.85","        407.00","        410.65","        411.85","        412.79","    1154430","           476538091.85","      16909","     750579","         65.02"
"CASTROLIND","EQ","26-Jul-2017","        411.85","        412.00","        412.20","        407.40","        408.95","        408.00","        409.04","     551279","           225496435.50","      11459","     263332","         47.77"
"CASTROLIND","EQ","27-Jul-2017","        408.00","        408.05","        411.75","        402.40","        404.75","        404.50","        405.79","    3306581","          1341763685.55","      33156","    2810128","         84.99"
"CASTROLIND","EQ","28-Jul-2017","        404.50","        405.25","        406.85","        400.00","        402.50","        402.60","        403.21","     498769","           201109739.65","       8398","     268586","         53.85"
"CASTROLIND","EQ","31-Jul-2017","        402.60","        405.00","        405.20","        400.00","        400.50","        400.65","        401.16","     676321","           271310218.90","       9425","     358059","         52.94"
"CASTROLIND","EQ","01-Aug-2017","        400.65","        400.25","        403.95","        399.25","        399.60","        399.95","        401.20","     360391","           144588591.20","       7201","     158889","         44.09"
"CASTROLIND","EQ","02-Aug-2017","        399.95","        401.80","        402.80","        394.10","        394.55","        396.40","        397.57","     472840","           187986343.20","       8923","     211641","         44.76"
"CASTROLIND","EQ","03-Aug-2017","        396.40","        396.00","        396.00","        390.35","        391.75","        391.75","        392.38","     781950","           306824582.50","      15562","     476088","         60.88"
"CASTROLIND","EQ","04-Aug-2017","        391.75","        390.00","        397.35","        386.05","        395.35","        396.10","        391.31","     787623","           308205686.25","      11683","     424629","         53.91"
"CASTROLIND","EQ","07-Aug-2017","        396.10","        397.35","        400.00","        391.65","        398.50","        398.65","        396.05","     523832","           207463411.60","       9255","     148802","         28.41"
