"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DRREDDY","EQ","15-May-2017","       2580.80","       2600.00","       2699.00","       2592.00","       2667.50","       2675.80","       2655.42","     946756","          2514038416.75","      60746","     392469","         41.45"
"DRREDDY","EQ","16-May-2017","       2675.80","       2690.80","       2734.00","       2690.80","       2717.50","       2724.10","       2721.18","     440462","          1198576504.70","      27798","     144587","         32.83"
"DRREDDY","EQ","17-May-2017","       2724.10","       2720.00","       2760.00","       2686.55","       2738.00","       2736.90","       2731.48","     409818","          1119407972.50","      25364","     133595","         32.60"
"DRREDDY","EQ","18-May-2017","       2736.90","       2695.00","       2719.85","       2672.20","       2681.10","       2678.95","       2693.81","     282411","           760761442.05","      22125","     177774","         62.95"
"DRREDDY","EQ","19-May-2017","       2678.95","       2694.95","       2694.95","       2637.00","       2654.80","       2656.45","       2659.44","     260677","           693255521.10","      35605","     152233","         58.40"
"DRREDDY","EQ","22-May-2017","       2656.45","       2680.00","       2681.95","       2602.10","       2610.00","       2608.70","       2621.76","     154462","           404961904.10","      21943","      69055","         44.71"
"DRREDDY","EQ","23-May-2017","       2608.70","       2618.80","       2618.80","       2542.80","       2585.00","       2579.45","       2573.20","     284428","           731891214.90","      27875","     139400","         49.01"
"DRREDDY","EQ","24-May-2017","       2579.45","       2573.00","       2573.00","       2510.00","       2513.00","       2516.80","       2536.00","     366315","           928974589.00","      40598","     193026","         52.69"
"DRREDDY","EQ","25-May-2017","       2516.80","       2507.40","       2508.35","       2398.00","       2423.00","       2427.70","       2444.58","     808310","          1975977067.55","      54917","     431336","         53.36"
"DRREDDY","EQ","26-May-2017","       2427.70","       2500.00","       2509.95","       2403.80","       2419.95","       2414.40","       2435.38","     721031","          1755982583.05","      38740","     328084","         45.50"
"DRREDDY","EQ","29-May-2017","       2414.40","       2430.10","       2465.00","       2380.35","       2415.80","       2425.85","       2428.14","     543508","          1319711334.05","      38559","     222097","         40.86"
"DRREDDY","EQ","30-May-2017","       2425.85","       2419.95","       2500.00","       2416.15","       2476.00","       2481.35","       2482.88","     437985","          1087462474.40","      29802","     190717","         43.54"
"DRREDDY","EQ","31-May-2017","       2481.35","       2490.00","       2544.00","       2464.00","       2510.00","       2523.85","       2521.91","     786086","          1982434960.25","      82413","     548143","         69.73"
"DRREDDY","EQ","01-Jun-2017","       2523.85","       2540.00","       2567.75","       2513.90","       2517.10","       2522.80","       2539.65","     324502","           824120054.80","      23053","     130170","         40.11"
"DRREDDY","EQ","02-Jun-2017","       2522.80","       2535.20","       2574.80","       2525.15","       2548.35","       2554.50","       2554.08","     293291","           749088057.50","      18438","     163448","         55.73"
"DRREDDY","EQ","05-Jun-2017","       2554.50","       2543.15","       2568.00","       2520.10","       2531.00","       2535.85","       2543.32","     224677","           571424640.45","      17781","     124681","         55.49"
"DRREDDY","EQ","06-Jun-2017","       2535.85","       2534.95","       2565.50","       2516.00","       2546.25","       2549.30","       2541.61","     172111","           437438467.15","      14592","      45718","         26.56"
"DRREDDY","EQ","07-Jun-2017","       2549.30","       2538.00","       2564.50","       2516.05","       2535.00","       2540.65","       2543.22","     247189","           628654853.60","      16479","     115767","         46.83"
"DRREDDY","EQ","08-Jun-2017","       2540.65","       2545.50","       2666.25","       2545.50","       2634.00","       2636.25","       2632.90","     845476","          2226053263.20","      48502","     329752","         39.00"
"DRREDDY","EQ","09-Jun-2017","       2636.25","       2650.00","       2650.00","       2602.00","       2627.10","       2628.80","       2624.54","     206211","           541209021.45","      13688","      53866","         26.12"
"DRREDDY","EQ","12-Jun-2017","       2628.80","       2626.30","       2656.95","       2617.05","       2627.50","       2630.25","       2635.01","     138429","           364762463.70","      19006","      59581","         43.04"
"DRREDDY","EQ","13-Jun-2017","       2630.25","       2633.20","       2645.50","       2612.05","       2629.80","       2626.70","       2628.47","     135916","           357250684.35","      13501","      59164","         43.53"
"DRREDDY","EQ","14-Jun-2017","       2626.70","       2668.00","       2699.00","       2645.40","       2662.05","       2669.30","       2672.36","     748839","          2001169218.75","      57350","     234063","         31.26"
"DRREDDY","EQ","15-Jun-2017","       2669.30","       2662.70","       2720.95","       2655.00","       2699.00","       2700.50","       2700.86","     694652","          1876156210.65","      24980","     433148","         62.35"
"DRREDDY","EQ","16-Jun-2017","       2700.50","       2714.20","       2718.15","       2631.00","       2680.10","       2682.60","       2669.56","     370538","           989172133.85","      32227","     144362","         38.96"
"DRREDDY","EQ","19-Jun-2017","       2682.60","       2672.00","       2672.00","       2640.55","       2649.00","       2657.45","       2655.97","     441803","          1173416345.75","      21981","     261404","         59.17"
"DRREDDY","EQ","20-Jun-2017","       2657.45","       2660.35","       2695.00","       2653.60","       2675.10","       2676.05","       2671.83","     196527","           525086116.00","      18333","      69880","         35.56"
"DRREDDY","EQ","21-Jun-2017","       2676.05","       2675.00","       2695.00","       2655.75","       2686.00","       2687.05","       2678.40","     179216","           480012286.55","      24341","      87975","         49.09"
"DRREDDY","EQ","22-Jun-2017","       2687.05","       2690.10","       2699.90","       2618.55","       2633.00","       2635.60","       2659.30","     171787","           456833415.15","      15252","      59192","         34.46"
"DRREDDY","EQ","23-Jun-2017","       2635.60","       2636.10","       2659.40","       2614.80","       2644.00","       2643.70","       2639.23","     232808","           614434704.70","      17366","     105438","         45.29"
"DRREDDY","EQ","27-Jun-2017","       2643.70","       2630.25","       2670.00","       2630.25","       2646.10","       2653.10","       2653.13","     265871","           705389825.50","      28765","     135361","         50.91"
"DRREDDY","EQ","28-Jun-2017","       2653.10","       2631.00","       2664.70","       2625.15","       2648.00","       2651.75","       2646.54","     191968","           508051841.40","      20324","      94151","         49.05"
"DRREDDY","EQ","29-Jun-2017","       2651.75","       2651.20","       2666.95","       2640.05","       2655.00","       2651.50","       2651.63","     181588","           481503495.20","      20449","      78460","         43.21"
"DRREDDY","EQ","30-Jun-2017","       2651.50","       2650.00","       2711.00","       2645.00","       2690.50","       2690.10","       2687.15","     327643","           880426100.25","      24633","     142471","         43.48"
"DRREDDY","EQ","03-Jul-2017","       2690.10","       2700.00","       2706.10","       2665.00","       2675.30","       2682.55","       2677.64","     144646","           387309279.50","      17660","      62782","         43.40"
"DRREDDY","EQ","04-Jul-2017","       2682.55","       2668.10","       2676.10","       2610.30","       2621.80","       2623.70","       2633.30","     264253","           695856474.30","      17098","     108822","         41.18"
"DRREDDY","EQ","05-Jul-2017","       2623.70","       2621.50","       2669.00","       2621.50","       2665.05","       2664.95","       2647.30","     181326","           480023556.75","      14235","      60559","         33.40"
"DRREDDY","EQ","06-Jul-2017","       2664.95","       2664.95","       2679.00","       2642.10","       2676.55","       2667.90","       2661.82","     124936","           332557419.20","      14248","      46720","         37.40"
"DRREDDY","EQ","07-Jul-2017","       2667.90","       2669.80","       2729.50","       2667.25","       2705.00","       2705.40","       2714.59","     284992","           773636376.95","      20834","      68284","         23.96"
"DRREDDY","EQ","10-Jul-2017","       2705.40","       2733.30","       2745.50","       2700.00","       2722.00","       2726.20","       2733.17","      40393","           110400852.95","       2475","      14180","         35.11"
"DRREDDY","EQ","11-Jul-2017","       2726.20","       2730.00","       2732.40","       2683.00","       2689.90","       2691.25","       2713.10","     160926","           436608091.55","      16488","      78741","         48.93"
"DRREDDY","EQ","12-Jul-2017","       2691.25","       2693.85","       2721.45","       2668.65","       2683.00","       2690.10","       2694.86","     213175","           574477093.25","      12948","     105858","         49.66"
"DRREDDY","EQ","13-Jul-2017","       2690.10","       2693.25","       2719.75","       2683.00","       2691.00","       2694.00","       2701.55","     137183","           370606244.00","      13427","      50096","         36.52"
"DRREDDY","EQ","14-Jul-2017","       2694.00","       2699.15","       2725.00","       2686.40","       2700.00","       2703.00","       2704.52","     195286","           528154103.95","       9780","      94145","         48.21"
"DRREDDY","EQ","17-Jul-2017","       2703.00","       2697.40","       2703.70","       2682.30","       2696.00","       2697.25","       2696.48","     201896","           544407643.35","       7956","     135481","         67.10"
