"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EICHERMOT","EQ","15-May-2017","      29178.35","      29403.10","      29455.00","      28831.00","      28915.05","      28930.60","      29015.64","      20026","           581067259.50","       8495","       8193","         40.91"
"EICHERMOT","EQ","16-May-2017","      28930.60","      28920.45","      29450.00","      28820.00","      29365.95","      29362.50","      29107.91","      36189","          1053386156.95","      11584","      16359","         45.20"
"EICHERMOT","EQ","17-May-2017","      29362.50","      29262.00","      29300.00","      28971.35","      28982.05","      29093.55","      29116.26","      18545","           539961046.05","       7918","      10611","         57.22"
"EICHERMOT","EQ","18-May-2017","      29093.55","      28900.00","      28998.85","      28213.00","      28213.00","      28357.30","      28521.49","      30153","           860008512.70","      11283","      15761","         52.27"
"EICHERMOT","EQ","19-May-2017","      28357.30","      28698.00","      28698.00","      27756.00","      27915.00","      27936.05","      28024.04","      44251","          1240091573.45","      21721","      20153","         45.54"
"EICHERMOT","EQ","22-May-2017","      27936.05","      27936.05","      28279.95","      27021.50","      27111.05","      27189.90","      27433.60","      48952","          1342929422.80","      24609","      30492","         62.29"
"EICHERMOT","EQ","23-May-2017","      27189.90","      27199.00","      27900.00","      27120.55","      27578.05","      27598.25","      27621.83","      68040","          1879389043.30","      28403","      32731","         48.11"
"EICHERMOT","EQ","24-May-2017","      27598.25","      27600.00","      27757.05","      27200.00","      27400.00","      27364.70","      27468.84","      34680","           952619368.30","      15300","      19301","         55.65"
"EICHERMOT","EQ","25-May-2017","      27364.70","      27430.00","      28120.00","      27321.05","      28118.00","      28009.45","      27714.16","      42365","          1174110337.95","      17914","      22090","         52.14"
"EICHERMOT","EQ","26-May-2017","      28009.45","      27915.00","      28633.50","      27915.00","      28270.00","      28351.35","      28409.72","      30251","           859422470.55","      12803","      13189","         43.60"
"EICHERMOT","EQ","29-May-2017","      28351.35","      28350.70","      28495.00","      28028.00","      28102.00","      28172.10","      28267.47","      21765","           615241513.15","      10443","      10246","         47.08"
"EICHERMOT","EQ","30-May-2017","      28172.10","      28235.00","      28459.35","      27812.05","      28207.30","      28323.40","      28159.02","      23730","           668213604.95","      10691","      10430","         43.95"
"EICHERMOT","EQ","31-May-2017","      28323.40","      28400.00","      28549.00","      28227.65","      28499.85","      28435.00","      28392.54","      42875","          1217330133.50","      23609","      28511","         66.50"
"EICHERMOT","EQ","01-Jun-2017","      28435.00","      28580.00","      29019.45","      28500.00","      28700.00","      28793.40","      28775.46","      47476","          1366143859.55","      16722","      15384","         32.40"
