"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EXIDEIND","EQ","15-May-2017","        244.85","        245.35","        247.25","        244.20","        245.50","        245.80","        245.63","     957470","           235182853.40","      10111","     370038","         38.65"
"EXIDEIND","EQ","16-May-2017","        245.80","        246.40","        247.80","        243.05","        245.70","        244.70","        244.73","    1023539","           250486340.35","      14018","     344354","         33.64"
"EXIDEIND","EQ","17-May-2017","        244.70","        244.70","        244.90","        242.15","        242.90","        243.20","        243.38","    1145096","           278692851.05","      11088","     612394","         53.48"
"EXIDEIND","EQ","18-May-2017","        243.20","        242.05","        242.65","        237.35","        240.00","        239.85","        239.80","     970233","           232664377.35","      14371","     516311","         53.22"
"EXIDEIND","EQ","19-May-2017","        239.85","        240.90","        244.40","        233.45","        238.10","        238.15","        239.05","    2505511","           598936709.70","      18102","     717386","         28.63"
"EXIDEIND","EQ","22-May-2017","        238.15","        238.50","        239.90","        228.20","        230.00","        230.80","        234.82","    1081432","           253941714.70","      11197","     315880","         29.21"
"EXIDEIND","EQ","23-May-2017","        230.80","        231.00","        232.30","        223.15","        226.85","        227.05","        227.69","    1661614","           378338519.00","      15477","     394469","         23.74"
"EXIDEIND","EQ","24-May-2017","        227.05","        226.90","        232.00","        219.20","        223.05","        222.15","        226.05","    1354743","           306241014.60","      12942","     466543","         34.44"
"EXIDEIND","EQ","25-May-2017","        222.15","        224.60","        229.70","        223.40","        226.10","        227.80","        227.12","    1618095","           367497021.35","      12994","     517655","         31.99"
"EXIDEIND","EQ","26-May-2017","        227.80","        227.40","        234.80","        226.50","        234.00","        233.35","        231.87","    1519584","           352342661.35","      15234","     689846","         45.40"
"EXIDEIND","EQ","29-May-2017","        233.35","        232.85","        233.95","        227.50","        228.85","        228.45","        230.10","     661490","           152211972.10","       5847","     230309","         34.82"
"EXIDEIND","EQ","30-May-2017","        228.45","        227.95","        232.95","        225.40","        229.00","        227.35","        229.16","    1255827","           287783603.85","      11595","     583690","         46.48"
"EXIDEIND","EQ","31-May-2017","        227.35","        228.20","        234.15","        228.20","        231.20","        230.25","        231.35","    1504782","           348130529.85","      12586","     692014","         45.99"
"EXIDEIND","EQ","01-Jun-2017","        230.25","        230.00","        232.40","        227.30","        227.90","        228.05","        229.09","    1195050","           273768217.55","      10286","     485150","         40.60"
"EXIDEIND","EQ","02-Jun-2017","        228.05","        228.20","        231.90","        225.60","        227.60","        227.20","        228.52","    1597496","           365062899.85","      14149","     897742","         56.20"
"EXIDEIND","EQ","05-Jun-2017","        227.20","        227.40","        229.80","        226.95","        227.80","        227.40","        227.90","     921399","           209989850.30","       6509","     587515","         63.76"
"EXIDEIND","EQ","06-Jun-2017","        227.40","        227.70","        230.85","        222.45","        224.20","        223.95","        225.70","    1218624","           275042632.80","      12557","     420197","         34.48"
"EXIDEIND","EQ","07-Jun-2017","        223.95","        224.40","        226.55","        222.60","        224.40","        223.55","        223.95","     929561","           208176654.75","       9106","     534291","         57.48"
"EXIDEIND","EQ","08-Jun-2017","        223.55","        224.90","        227.55","        223.90","        224.05","        224.30","        225.55","    1334935","           301093034.25","      24609","     596675","         44.70"
"EXIDEIND","EQ","09-Jun-2017","        224.30","        223.90","        225.95","        222.65","        222.90","        223.00","        223.85","     848845","           190015827.75","       9470","     405938","         47.82"
"EXIDEIND","EQ","12-Jun-2017","        223.00","        221.90","        225.85","        220.90","        224.15","        224.30","        223.76","     821268","           183764871.45","      11213","     388167","         47.26"
"EXIDEIND","EQ","13-Jun-2017","        224.30","        226.50","        229.85","        225.30","        227.50","        227.65","        227.90","    2004290","           456786048.75","      19291","     897424","         44.78"
"EXIDEIND","EQ","14-Jun-2017","        227.65","        227.75","        229.20","        225.50","        225.90","        226.05","        227.20","    1364704","           310059236.20","      13481","     635068","         46.54"
"EXIDEIND","EQ","15-Jun-2017","        226.05","        225.50","        226.55","        220.30","        221.00","        220.95","        222.15","    1596360","           354633759.25","      12513","    1017025","         63.71"
"EXIDEIND","EQ","16-Jun-2017","        220.95","        221.00","        223.50","        220.60","        222.00","        221.95","        221.87","     946486","           209993974.95","       9257","     298424","         31.53"
"EXIDEIND","EQ","19-Jun-2017","        221.95","        224.60","        227.00","        222.00","        226.20","        226.20","        224.48","    1243619","           279168653.60","      11580","     565929","         45.51"
"EXIDEIND","EQ","20-Jun-2017","        226.20","        226.40","        228.25","        223.85","        225.50","        225.25","        226.46","    1085902","           245913425.00","      10384","     461945","         42.54"
"EXIDEIND","EQ","21-Jun-2017","        225.25","        225.25","        227.50","        224.60","        225.25","        225.25","        226.02","     974541","           220262282.10","       8067","     394545","         40.49"
"EXIDEIND","EQ","22-Jun-2017","        225.25","        225.40","        226.30","        216.85","        218.30","        219.05","        222.53","    1242406","           276467380.65","      13478","     500910","         40.32"
