"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GUJALKALI","EQ","15-May-2017","        456.10","        456.70","        464.80","        455.10","        456.55","        457.35","        460.06","      60405","            27789977.35","       2243","      29828","         49.38"
"GUJALKALI","EQ","16-May-2017","        457.35","        459.00","        459.00","        455.00","        455.00","        455.25","        455.49","      32471","            14790098.85","       2258","      23153","         71.30"
"GUJALKALI","EQ","17-May-2017","        455.25","        457.05","        476.40","        455.25","        474.00","        472.65","        468.70","     145701","            68289878.85","       3612","      81294","         55.80"
"GUJALKALI","EQ","18-May-2017","        472.65","        465.00","        474.00","        461.50","        461.50","        461.85","        464.49","      64087","            29767587.35","       2295","      36631","         57.16"
"GUJALKALI","EQ","19-May-2017","        461.85","        466.70","        466.75","        455.00","        455.00","        455.35","        459.99","      51272","            23584654.65","       1359","      34417","         67.13"
"GUJALKALI","EQ","22-May-2017","        455.35","        458.50","        459.75","        454.00","        455.00","        455.25","        455.42","      78001","            35523472.05","       1975","      65876","         84.46"
"GUJALKALI","EQ","23-May-2017","        455.25","        455.05","        457.05","        432.00","        432.95","        435.15","        442.90","     186681","            82680867.90","       3826","     144436","         77.37"
"GUJALKALI","EQ","24-May-2017","        435.15","        439.00","        445.90","        428.50","        443.45","        440.50","        435.65","      66041","            28770884.95","       1895","      40932","         61.98"
"GUJALKALI","EQ","25-May-2017","        440.50","        443.25","        448.90","        440.00","        441.00","        443.15","        444.19","      46811","            20793075.20","       1448","      23034","         49.21"
"GUJALKALI","EQ","26-May-2017","        443.15","        441.50","        450.00","        411.95","        430.60","        426.20","        436.03","     327961","           143001677.60","       7013","     105167","         32.07"
"GUJALKALI","EQ","29-May-2017","        426.20","        426.55","        428.10","        406.25","        411.65","        410.70","        415.47","     120012","            49860831.35","       3077","      71764","         59.80"
"GUJALKALI","EQ","30-May-2017","        410.70","        411.00","        413.80","        402.90","        411.50","        409.55","        408.25","      40982","            16730913.65","       1377","      23150","         56.49"
"GUJALKALI","EQ","31-May-2017","        409.55","        410.00","        411.80","        404.20","        407.00","        408.60","        408.35","      45738","            18677175.45","       1468","      29045","         63.50"
"GUJALKALI","EQ","01-Jun-2017","        408.60","        410.00","        419.60","        408.00","        416.00","        415.60","        414.93","      46398","            19251957.60","       3624","      26329","         56.75"
"GUJALKALI","EQ","02-Jun-2017","        415.60","        411.05","        417.35","        405.50","        406.60","        406.40","        409.27","      67368","            27571950.65","       4052","      51907","         77.05"
"GUJALKALI","EQ","05-Jun-2017","        406.40","        407.00","        412.00","        406.00","        409.90","        407.20","        408.96","      33333","            13631728.05","       1055","      19353","         58.06"
"GUJALKALI","EQ","06-Jun-2017","        407.20","        405.00","        412.00","        405.00","        408.65","        407.70","        408.22","      20430","             8339918.50","        816","      10417","         50.99"
