"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDUNILVR","EQ","15-May-2017","        980.20","        981.30","        988.85","        974.55","        982.50","        983.25","        980.72","     734446","           720288795.60","      32976","     420159","         57.21"
"HINDUNILVR","EQ","16-May-2017","        983.25","        983.00","       1002.50","        982.05","        999.50","       1000.40","        994.00","    1503815","          1494797745.55","      39717","     669576","         44.53"
"HINDUNILVR","EQ","17-May-2017","       1000.40","       1004.00","       1012.00","        991.10","       1009.00","       1009.40","       1003.84","    1999387","          2007056012.15","      63210","     996054","         49.82"
"HINDUNILVR","EQ","18-May-2017","       1009.40","       1008.00","       1009.00","        983.00","        987.50","        990.25","        997.56","    2690943","          2684373562.15","      78098","     983594","         36.55"
"HINDUNILVR","EQ","19-May-2017","        990.25","       1000.00","       1022.75","       1000.00","       1004.10","       1008.00","       1009.97","    3059815","          3090315667.80","      57429","    1523108","         49.78"
"HINDUNILVR","EQ","22-May-2017","       1008.00","       1011.35","       1028.20","       1009.00","       1019.80","       1018.60","       1019.74","    1788720","          1824025966.10","      51057","     808117","         45.18"
"HINDUNILVR","EQ","23-May-2017","       1018.60","       1018.80","       1032.00","       1014.00","       1023.50","       1024.80","       1027.17","    2640069","          2711793462.60","      72246","    1946513","         73.73"
"HINDUNILVR","EQ","24-May-2017","       1024.80","       1026.55","       1040.00","       1023.50","       1038.05","       1038.05","       1032.11","    1992083","          2056056556.80","      42418","    1341093","         67.32"
"HINDUNILVR","EQ","25-May-2017","       1038.05","       1037.90","       1050.00","       1030.30","       1045.00","       1043.45","       1041.56","    1918721","          1998462723.45","      67399","    1255478","         65.43"
"HINDUNILVR","EQ","26-May-2017","       1043.45","       1042.05","       1046.95","       1032.40","       1041.00","       1040.95","       1040.43","     716421","           745383722.55","      26030","     367491","         51.30"
"HINDUNILVR","EQ","29-May-2017","       1040.95","       1041.00","       1077.00","       1038.75","       1073.00","       1072.25","       1065.77","    1771026","          1887507529.80","      63186","    1112200","         62.80"
"HINDUNILVR","EQ","30-May-2017","       1072.25","       1071.10","       1074.95","       1053.30","       1070.50","       1072.60","       1063.43","     890684","           947182049.85","      19918","     588068","         66.02"
"HINDUNILVR","EQ","31-May-2017","       1072.60","       1065.80","       1074.45","       1061.05","       1070.00","       1067.00","       1067.74","    2226704","          2377542164.05","      72236","    1834087","         82.37"
"HINDUNILVR","EQ","01-Jun-2017","       1067.00","       1067.00","       1099.45","       1061.20","       1094.55","       1095.35","       1091.65","    1782269","          1945606800.45","      69057","    1160309","         65.10"
"HINDUNILVR","EQ","02-Jun-2017","       1095.35","       1100.05","       1103.00","       1046.10","       1085.00","       1086.40","       1083.08","    2216247","          2400378655.90","      40705","    1803842","         81.39"
"HINDUNILVR","EQ","05-Jun-2017","       1086.40","       1092.00","       1101.30","       1088.00","       1095.00","       1097.75","       1096.57","     612171","           671288397.35","      35182","     355028","         57.99"
"HINDUNILVR","EQ","06-Jun-2017","       1097.75","       1097.95","       1101.80","       1087.00","       1091.00","       1091.55","       1092.44","    1203091","          1314304860.30","      29449","     915629","         76.11"
"HINDUNILVR","EQ","07-Jun-2017","       1091.55","       1105.20","       1114.25","       1091.50","       1106.00","       1106.35","       1107.07","    2392047","          2648170064.95","      81560","    1666883","         69.68"
"HINDUNILVR","EQ","08-Jun-2017","       1106.35","       1106.70","       1115.00","       1088.55","       1092.90","       1093.50","       1103.14","     935574","          1032073423.10","      45799","     555504","         59.38"
"HINDUNILVR","EQ","09-Jun-2017","       1093.50","       1091.00","       1105.40","       1090.00","       1097.00","       1095.35","       1095.60","     691085","           757155244.15","      29000","     403543","         58.39"
"HINDUNILVR","EQ","12-Jun-2017","       1095.35","       1096.00","       1105.00","       1083.00","       1100.00","       1099.65","       1092.43","    1059705","          1157658475.50","      27430","     736896","         69.54"
"HINDUNILVR","EQ","13-Jun-2017","       1099.65","       1096.00","       1109.35","       1095.05","       1102.00","       1102.75","       1103.63","    1040661","          1148501285.75","      33761","     788203","         75.74"
"HINDUNILVR","EQ","14-Jun-2017","       1102.75","       1105.00","       1119.60","       1094.20","       1117.50","       1113.70","       1104.35","    1139136","          1257999932.55","      42295","     765088","         67.16"
"HINDUNILVR","EQ","15-Jun-2017","       1113.70","       1117.50","       1121.50","       1101.60","       1102.30","       1104.00","       1112.05","    1051935","          1169806882.65","      58917","     764006","         72.63"
"HINDUNILVR","EQ","16-Jun-2017","       1104.00","       1104.00","       1110.85","       1088.45","       1090.00","       1091.80","       1093.77","    1550451","          1695835583.95","      44130","    1185765","         76.48"
"HINDUNILVR","EQ","19-Jun-2017","       1091.80","       1094.40","       1101.00","       1090.30","       1095.85","       1095.65","       1095.95","     859068","           941493592.50","      37826","     613375","         71.40"
"HINDUNILVR","EQ","20-Jun-2017","       1095.65","       1098.85","       1101.00","       1091.10","       1099.30","       1093.05","       1094.19","    1272735","          1392610247.75","      31555","    1049900","         82.49"
"HINDUNILVR","EQ","21-Jun-2017","       1093.05","       1094.25","       1129.00","       1093.95","       1127.00","       1123.45","       1111.87","    1411671","          1569593401.35","      55360","     898389","         63.64"
"HINDUNILVR","EQ","22-Jun-2017","       1123.45","       1117.00","       1117.40","       1092.05","       1093.00","       1094.05","       1101.34","    1000211","          1101568441.05","      67490","     640852","         64.07"
"HINDUNILVR","EQ","23-Jun-2017","       1094.05","       1093.90","       1102.75","       1075.00","       1095.05","       1097.90","       1091.20","    1600881","          1746888561.55","      69468","    1097595","         68.56"
"HINDUNILVR","EQ","27-Jun-2017","       1097.90","       1096.50","       1114.95","       1087.00","       1092.95","       1092.10","       1094.25","    1809437","          1979973724.05","      52414","    1410677","         77.96"
"HINDUNILVR","EQ","28-Jun-2017","       1092.10","       1095.00","       1104.95","       1084.25","       1092.00","       1090.00","       1093.41","    1084236","          1185513322.30","      52162","     792685","         73.11"
"HINDUNILVR","EQ","29-Jun-2017","       1090.00","       1094.65","       1094.65","       1084.25","       1087.00","       1088.10","       1090.93","    1771369","          1932439891.15","      30968","    1376094","         77.69"
"HINDUNILVR","EQ","30-Jun-2017","       1088.10","       1085.00","       1092.70","       1064.00","       1080.00","       1079.60","       1078.18","    1501780","          1619189979.55","      56215","     950779","         63.31"
"HINDUNILVR","EQ","03-Jul-2017","       1079.60","       1093.00","       1100.10","       1081.10","       1098.00","       1097.75","       1092.94","     823810","           900378422.60","      32627","     491860","         59.71"
"HINDUNILVR","EQ","04-Jul-2017","       1097.75","       1104.40","       1112.00","       1083.85","       1091.00","       1088.10","       1099.94","     938993","          1032834589.10","      29822","     615135","         65.51"
