"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","15-May-2017","        964.25","        963.50","        963.50","        949.10","        953.25","        951.55","        951.49","    3648582","          3471579744.80","      75335","    3052819","         83.67"
"INFY","EQ","16-May-2017","        951.55","        953.10","        960.15","        946.95","        956.00","        955.00","        952.92","    3065084","          2920775219.40","      71808","    1858063","         60.62"
"INFY","EQ","17-May-2017","        955.00","        951.60","        958.45","        943.85","        952.90","        952.80","        949.48","    1457754","          1384109511.85","      75429","     792251","         54.35"
"INFY","EQ","18-May-2017","        952.80","        943.00","        973.90","        942.85","        960.25","        961.75","        962.61","    4028924","          3878281748.15","     120990","    2309450","         57.32"
"INFY","EQ","19-May-2017","        961.75","        961.50","        962.70","        947.85","        957.40","        957.95","        954.18","    2128698","          2031155370.25","      88897","    1457747","         68.48"
"INFY","EQ","22-May-2017","        957.95","        958.40","        966.90","        956.55","        960.00","        961.45","        962.29","    2751526","          2647754819.65","      99616","    2034031","         73.92"
"INFY","EQ","23-May-2017","        961.45","        964.65","        967.00","        954.10","        957.50","        957.30","        960.16","    2019991","          1939514664.80","      80122","    1436389","         71.11"
"INFY","EQ","24-May-2017","        957.30","        960.00","        965.50","        949.60","        957.00","        954.80","        958.37","    2818143","          2700826857.50","      56898","    1913750","         67.91"
"INFY","EQ","25-May-2017","        954.80","        961.00","        986.60","        961.00","        981.00","        983.30","        978.16","    5219257","          5105249719.45","      76160","    4108984","         78.73"
"INFY","EQ","26-May-2017","        983.30","        987.00","       1000.00","        980.60","        996.05","        995.70","        994.06","    2494002","          2479193881.90","      63671","    1477643","         59.25"
"INFY","EQ","29-May-2017","        995.70","        990.90","        996.70","        975.70","        986.00","        985.15","        983.11","    3154217","          3100929032.20","      83084","    2272869","         72.06"
"INFY","EQ","30-May-2017","        985.15","        982.00","       1000.00","        978.65","        993.00","        996.20","        995.45","    1858455","          1850003637.75","      62012","    1280033","         68.88"
"INFY","EQ","31-May-2017","        996.20","        993.55","        993.55","        974.85","        976.05","        977.05","        980.19","    3881950","          3805051202.80","     121323","    3086038","         79.50"
"INFY","EQ","01-Jun-2017","        977.05","        969.30","        979.70","        958.55","        971.25","        971.40","        969.49","    2754303","          2670262585.15","      81421","    1822506","         66.17"
