"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IRCON","EQ","28-Sep-2018","        475.00","        412.00","        465.00","        409.10","        412.95","        415.30","        436.73","    5675479","          2478674414.20","     182952","    1617374","         28.50"
"IRCON","EQ","01-Oct-2018","        415.30","        418.10","        434.85","        406.60","        428.25","        427.00","        419.97","     624624","           262323344.65","      20363","     148088","         23.71"
"IRCON","EQ","03-Oct-2018","        427.00","        431.35","        437.85","        418.55","        419.05","        421.40","        427.59","     279765","           119625810.90","       9172","     110748","         39.59"
"IRCON","EQ","04-Oct-2018","        421.40","        419.00","        419.00","        404.00","        405.45","        407.10","        410.83","     232364","            95462083.70","      10440","     111715","         48.08"
"IRCON","EQ","05-Oct-2018","        407.10","        407.00","        409.10","        388.30","        397.95","        399.80","        396.40","     373530","           148067647.05","       9636","     203317","         54.43"
"IRCON","EQ","08-Oct-2018","        399.80","        398.00","        400.00","        380.00","        380.90","        382.05","        390.29","     134318","            52423470.30","       5565","      52484","         39.07"
"IRCON","EQ","09-Oct-2018","        382.05","        382.50","        386.25","        355.00","        363.20","        363.65","        367.64","     251694","            92532166.75","       7718","     103145","         40.98"
"IRCON","EQ","10-Oct-2018","        363.65","        367.00","        384.40","        356.70","        365.80","        365.05","        366.37","     682482","           250043646.20","      13613","     323172","         47.35"
"IRCON","EQ","11-Oct-2018","        365.05","        359.80","        373.10","        350.05","        360.05","        360.95","        364.06","     191987","            69894994.00","       5894","      75420","         39.28"
"IRCON","EQ","12-Oct-2018","        360.95","        371.00","        373.40","        362.10","        368.00","        368.00","        368.49","     258969","            95428123.50","      15564","     162837","         62.88"
"IRCON","EQ","15-Oct-2018","        368.00","        374.00","        378.80","        368.55","        375.75","        375.40","        373.44","     228108","            85184517.70","      14338","     117217","         51.39"
"IRCON","EQ","16-Oct-2018","        375.40","        378.40","        392.00","        372.00","        378.00","        379.40","        380.91","     234268","            89234387.15","       8717","      97125","         41.46"
"IRCON","EQ","17-Oct-2018","        379.40","        384.80","        384.80","        365.60","        367.00","        367.60","        374.28","     109997","            41169398.15","       6052","      51024","         46.39"
"IRCON","EQ","19-Oct-2018","        367.60","        367.10","        367.10","        360.00","        362.50","        361.75","        362.49","      59494","            21565694.45","       2294","      25445","         42.77"
"IRCON","EQ","22-Oct-2018","        361.75","        363.90","        364.90","        355.00","        355.30","        355.80","        358.06","      50845","            18205365.30","       2189","      21815","         42.90"
"IRCON","EQ","23-Oct-2018","        355.80","        355.80","        355.80","        346.05","        349.00","        347.85","        351.06","      60941","            21393923.45","       2042","      29271","         48.03"
"IRCON","EQ","24-Oct-2018","        347.85","        353.00","        354.60","        344.00","        345.60","        345.50","        347.29","      55627","            19318566.05","       2211","      20966","         37.69"
"IRCON","EQ","25-Oct-2018","        345.50","        343.80","        349.35","        338.00","        342.00","        342.70","        342.42","      53967","            18479461.40","       2596","      18472","         34.23"
"IRCON","EQ","26-Oct-2018","        342.70","        343.20","        353.00","        340.95","        347.00","        346.55","        346.11","      61398","            21250700.60","       2066","      26053","         42.43"
"IRCON","EQ","29-Oct-2018","        346.55","        350.00","        351.85","        345.00","        347.60","        348.55","        349.22","      57626","            20123924.15","       2088","      34573","         60.00"
"IRCON","EQ","30-Oct-2018","        348.55","        350.90","        357.45","        347.10","        348.00","        348.35","        350.42","      77720","            27234755.40","       3689","      37382","         48.10"
"IRCON","EQ","31-Oct-2018","        348.35","        350.90","        351.80","        344.55","        348.50","        347.40","        348.06","      40403","            14062825.10","       2888","      20922","         51.78"
"IRCON","EQ","01-Nov-2018","        347.40","        349.10","        362.00","        347.00","        357.00","        356.40","        355.15","     143203","            50858995.35","       6345","      72201","         50.42"
"IRCON","EQ","02-Nov-2018","        356.40","        360.60","        371.20","        358.65","        362.70","        360.90","        365.45","     181775","            66430114.70","      10149","     100878","         55.50"
"IRCON","EQ","05-Nov-2018","        360.90","        363.00","        369.00","        362.00","        366.00","        365.65","        365.56","      43301","            15829041.30","       1523","      22309","         51.52"
"IRCON","EQ","06-Nov-2018","        365.65","        370.00","        370.00","        362.00","        364.00","        364.00","        364.03","      40031","            14572325.40","       1149","      21115","         52.75"
"IRCON","EQ","07-Nov-2018","        364.00","        367.40","        373.55","        364.95","        373.50","        371.35","        369.57","      49929","            18452019.95","       1289","      33510","         67.12"
