"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LALPATHLAB","EQ","15-May-2017","        891.15","        895.00","        914.15","        881.00","        912.00","        900.60","        889.35","     257655","           229145315.95","      15451","     174775","         67.83"
"LALPATHLAB","EQ","16-May-2017","        900.60","        910.00","        925.00","        895.05","        909.40","        910.95","        914.57","     104896","            95934298.20","      13001","      75813","         72.27"
"LALPATHLAB","EQ","17-May-2017","        910.95","        913.00","        925.00","        909.00","        912.05","        911.70","        917.19","      72460","            66459596.40","       2802","      53829","         74.29"
"LALPATHLAB","EQ","18-May-2017","        911.70","        908.00","        919.35","        903.05","        906.00","        909.75","        914.12","      37707","            34468891.25","       2731","      24836","         65.87"
"LALPATHLAB","EQ","19-May-2017","        909.75","        917.00","        917.00","        905.80","        910.00","        910.25","        910.61","      81082","            73833750.25","       4430","      69926","         86.24"
"LALPATHLAB","EQ","22-May-2017","        910.25","        909.00","        914.00","        905.00","        907.40","        909.85","        909.89","     150085","           136561314.40","       3350","     136057","         90.65"
"LALPATHLAB","EQ","23-May-2017","        909.85","        913.95","        913.95","        875.00","        890.00","        886.90","        899.58","     201776","           181513918.55","       7913","     167269","         82.90"
"LALPATHLAB","EQ","24-May-2017","        886.90","        886.90","        903.05","        883.80","        893.00","        894.70","        895.74","      84241","            75457719.60","       4014","      67593","         80.24"
"LALPATHLAB","EQ","25-May-2017","        894.70","        897.90","        901.00","        894.25","        898.20","        898.25","        899.80","     241232","           217059869.70","       4535","     219442","         90.97"
"LALPATHLAB","EQ","26-May-2017","        898.25","        903.45","        907.90","        880.00","        888.00","        893.70","        898.82","      75168","            67562251.00","       7428","      57741","         76.82"
"LALPATHLAB","EQ","29-May-2017","        893.70","        878.00","        905.00","        878.00","        904.00","        900.25","        899.96","      49918","            44924155.85","       3191","      37124","         74.37"
"LALPATHLAB","EQ","30-May-2017","        900.25","        904.80","        916.30","        893.00","        899.00","        901.20","        902.58","      32083","            28957386.70","       2375","      23103","         72.01"
"LALPATHLAB","EQ","31-May-2017","        901.20","        903.55","        915.00","        895.00","        895.00","        904.15","        904.82","     274059","           247974912.70","       7203","     250423","         91.38"
"LALPATHLAB","EQ","01-Jun-2017","        904.15","        916.00","        919.80","        897.10","        898.25","        900.60","        904.02","     108277","            97884152.45","       4930","      71398","         65.94"
"LALPATHLAB","EQ","02-Jun-2017","        900.60","        907.90","        912.00","        886.95","        907.00","        903.75","        898.44","     103386","            92885800.85","      11005","      61235","         59.23"
"LALPATHLAB","EQ","05-Jun-2017","        903.75","        910.40","        911.55","        897.00","        906.55","        904.50","        905.14","      95555","            86490438.00","       5444","      77489","         81.09"
"LALPATHLAB","EQ","06-Jun-2017","        904.50","        917.00","        917.00","        899.80","        905.50","        904.65","        904.38","      37640","            34040841.05","       4214","      26259","         69.76"
"LALPATHLAB","EQ","07-Jun-2017","        904.65","        901.95","        916.80","        898.45","        915.00","        914.90","        912.86","      38911","            35520410.90","       2980","      26762","         68.78"
"LALPATHLAB","EQ","08-Jun-2017","        914.90","        915.00","        915.90","        901.00","        901.00","        906.50","        908.32","      80868","            73454304.85","       4803","      67631","         83.63"
"LALPATHLAB","EQ","09-Jun-2017","        906.50","        910.00","        913.55","        891.00","        898.55","        898.95","        898.91","      77867","            69995419.85","       3301","      55713","         71.55"
"LALPATHLAB","EQ","12-Jun-2017","        898.95","        900.00","        904.70","        890.00","        893.10","        895.25","        896.91","      37067","            33245860.85","       4250","      21632","         58.36"
"LALPATHLAB","EQ","13-Jun-2017","        895.25","        902.95","        912.25","        895.10","        905.20","        907.15","        909.20","      40144","            36498777.15","       5721","      26407","         65.78"
"LALPATHLAB","EQ","14-Jun-2017","        907.15","        908.00","        912.40","        897.00","        902.50","        899.35","        902.42","      39139","            35319823.50","       1713","      29615","         75.67"
"LALPATHLAB","EQ","15-Jun-2017","        899.35","        899.00","        903.65","        874.00","        877.00","        879.20","        885.85","      85093","            75379958.00","       4265","      66135","         77.72"
"LALPATHLAB","EQ","16-Jun-2017","        879.20","        880.00","        890.00","        872.00","        884.00","        885.35","        881.64","      35209","            31041501.50","       3187","      18101","         51.41"
"LALPATHLAB","EQ","19-Jun-2017","        885.35","        892.00","        892.00","        860.00","        860.60","        862.05","        868.64","      54543","            47378334.00","       4985","      35404","         64.91"
"LALPATHLAB","EQ","20-Jun-2017","        862.05","        860.00","        868.75","        845.00","        848.00","        852.15","        855.15","      75476","            64543197.70","       4853","      59972","         79.46"
"LALPATHLAB","EQ","21-Jun-2017","        852.15","        850.10","        864.75","        840.00","        857.00","        858.25","        857.18","      58735","            50346653.00","       8843","      37199","         63.33"
"LALPATHLAB","EQ","22-Jun-2017","        858.25","        859.00","        863.85","        838.00","        841.40","        845.90","        844.96","      90160","            76181998.70","       5736","      51504","         57.13"
"LALPATHLAB","EQ","23-Jun-2017","        845.90","        845.90","        854.85","        828.30","        847.00","        843.80","        835.66","      71592","            59826798.30","       3350","      48879","         68.27"
"LALPATHLAB","EQ","27-Jun-2017","        843.80","        845.15","        845.55","        812.00","        812.00","        818.50","        819.48","     106466","            87246556.35","       8111","      60925","         57.22"
"LALPATHLAB","EQ","28-Jun-2017","        818.50","        819.65","        819.65","        790.55","        803.10","        799.85","        798.40","     147248","           117563097.80","      18528","      93711","         63.64"
"LALPATHLAB","EQ","29-Jun-2017","        799.85","        790.00","        847.75","        783.80","        833.40","        834.80","        809.38","     177028","           143283328.85","      16859","      79503","         44.91"
"LALPATHLAB","EQ","30-Jun-2017","        834.80","        834.00","        834.00","        780.00","        780.10","        781.95","        783.30","    2047290","          1603652024.20","      23920","    1226065","         59.89"
"LALPATHLAB","EQ","03-Jul-2017","        781.95","        783.00","        787.45","        762.15","        775.00","        775.45","        772.11","     219597","           169554005.00","      10854","      97471","         44.39"
"LALPATHLAB","EQ","04-Jul-2017","        775.45","        778.00","        787.45","        774.00","        777.00","        779.20","        780.15","      93822","            73195595.70","       3500","      44063","         46.96"
"LALPATHLAB","EQ","05-Jul-2017","        779.20","        781.05","        816.70","        780.00","        807.00","        807.10","        797.80","     608195","           485220451.25","      10294","     381165","         62.67"
"LALPATHLAB","EQ","06-Jul-2017","        807.10","        807.00","        821.50","        799.00","        803.50","        808.30","        813.66","     131512","           107005448.15","       4457","      82288","         62.57"
"LALPATHLAB","EQ","07-Jul-2017","        808.30","        803.50","        845.00","        801.05","        842.00","        840.45","        823.55","     360532","           296914972.90","       8813","     212910","         59.05"
"LALPATHLAB","EQ","10-Jul-2017","        840.45","        850.00","        850.00","        833.05","        849.90","        846.85","        843.70","      18936","            15976307.50","        998","      10560","         55.77"
"LALPATHLAB","EQ","11-Jul-2017","        846.85","        849.00","        853.00","        837.00","        838.00","        841.20","        844.67","      63229","            53407854.70","       2530","      37864","         59.88"
"LALPATHLAB","EQ","12-Jul-2017","        841.20","        842.00","        849.85","        830.50","        839.00","        840.60","        838.49","      49528","            41528683.40","       2937","      25819","         52.13"
"LALPATHLAB","EQ","13-Jul-2017","        840.60","        841.00","        847.25","        835.30","        840.00","        841.30","        842.84","      41225","            34746127.35","       4210","      22081","         53.56"
"LALPATHLAB","EQ","14-Jul-2017","        841.30","        838.00","        845.70","        826.25","        829.00","        833.70","        832.53","      67433","            56140326.95","       2322","      41482","         61.52"
"LALPATHLAB","EQ","17-Jul-2017","        833.70","        833.00","        881.00","        833.00","        860.00","        860.25","        864.28","     286783","           247862014.20","      11696","     115596","         40.31"
"LALPATHLAB","EQ","18-Jul-2017","        860.25","        864.00","        879.95","        860.50","        863.60","        864.25","        866.57","     110168","            95468626.60","       9846","      56765","         51.53"
"LALPATHLAB","EQ","19-Jul-2017","        864.25","        867.10","        871.80","        854.10","        857.50","        857.60","        859.71","      67440","            57979057.90","       4489","      39278","         58.24"
