"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LUXIND","EQ","15-May-2017","        819.50","        822.00","        824.20","        817.10","        819.00","        819.60","        819.78","       3182","             2608550.05","        149","       2498","         78.50"
"LUXIND","EQ","16-May-2017","        819.60","        830.00","        830.00","        815.00","        820.00","        817.50","        820.12","       7161","             5872873.95","        328","       6192","         86.47"
"LUXIND","EQ","17-May-2017","        817.50","        810.05","        822.70","        807.80","        821.00","        819.80","        817.77","       5347","             4372630.55","        322","       3914","         73.20"
"LUXIND","EQ","18-May-2017","        819.80","        815.20","        835.00","        815.20","        818.00","        820.05","        824.05","       5656","             4660844.55","        308","       4032","         71.29"
"LUXIND","EQ","19-May-2017","        820.05","        833.85","        835.00","        811.25","        817.00","        817.80","        819.67","       5101","             4181112.75","        263","       3856","         75.59"
"LUXIND","EQ","22-May-2017","        817.80","        824.95","        824.95","        810.25","        820.00","        817.05","        816.31","       3114","             2541990.15","        170","       2227","         71.52"
"LUXIND","EQ","23-May-2017","        817.05","        823.80","        830.00","        770.00","        829.95","        807.30","        792.86","      27937","            22150051.25","       1311","      16733","         59.90"
"LUXIND","EQ","24-May-2017","        807.30","        806.60","        812.00","        787.20","        790.00","        792.00","        797.80","       8642","             6894624.40","        822","       5501","         63.65"
"LUXIND","EQ","25-May-2017","        792.00","        795.10","        820.00","        765.00","        810.00","        807.30","        792.77","      32330","            25630249.55","       2056","      21791","         67.40"
"LUXIND","EQ","26-May-2017","        807.30","        820.00","        828.95","        800.00","        810.00","        811.45","        814.39","      43671","            35565248.75","       1944","      20269","         46.41"
"LUXIND","EQ","29-May-2017","        811.45","        819.95","        819.95","        795.10","        795.10","        799.55","        803.76","       3544","             2848540.65","        471","       2001","         56.46"
"LUXIND","EQ","30-May-2017","        799.55","        800.05","        800.05","        790.35","        790.35","        792.85","        793.07","       2069","             1640851.60","        271","       1027","         49.64"
"LUXIND","EQ","31-May-2017","        792.85","        790.05","        800.00","        790.05","        800.00","        796.75","        796.28","       2073","             1650697.50","        193","       1291","         62.28"
"LUXIND","EQ","01-Jun-2017","        796.75","        799.95","        800.00","        788.05","        788.25","        789.15","        794.15","       3489","             2770779.85","        231","       2818","         80.77"
