"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MUTHOOTFIN","EQ","15-May-2017","        390.70","        391.00","        396.50","        388.50","        393.00","        392.45","        393.38","     385865","           151790704.55","       6893","      63660","         16.50"
"MUTHOOTFIN","NB","15-May-2017","       1750.00","       1750.00","       1750.00","       1750.00","       1750.00","       1750.00","       1750.00","         50","               87500.00","          1","         50","        100.00"
"MUTHOOTFIN","EQ","16-May-2017","        392.45","        393.65","        400.95","        393.25","        393.45","        394.80","        398.01","     514200","           204657807.20","       9938","     100880","         19.62"
"MUTHOOTFIN","N9","16-May-2017","       1015.97","       1010.00","       1010.00","       1010.00","       1010.00","       1010.00","       1010.00","         11","               11110.00","          1","         11","        100.00"
"MUTHOOTFIN","NB","16-May-2017","       1750.00","       1750.00","       1750.00","       1750.00","       1750.00","       1750.00","       1750.00","          7","               12250.00","          1","          7","        100.00"
"MUTHOOTFIN","NC","16-May-2017","       1905.03","       1910.00","       1910.00","       1908.01","       1909.00","       1909.00","       1908.57","         95","              181314.47","         10","         90","         94.74"
"MUTHOOTFIN","EQ","17-May-2017","        394.80","        396.90","        398.00","        392.60","        394.10","        395.15","        394.90","     311597","           123048142.65","       6512","     116484","         37.38"
"MUTHOOTFIN","N9","17-May-2017","       1010.00","       1015.00","       1015.00","       1001.00","       1005.00","       1005.00","       1009.64","         93","               93896.10","          8","         73","         78.49"
"MUTHOOTFIN","EQ","18-May-2017","        395.15","        393.00","        395.45","        375.10","        378.85","        379.20","        386.45","     646434","           249811874.30","      11171","     238171","         36.84"
"MUTHOOTFIN","N9","18-May-2017","       1005.00","       1016.00","       1016.00","       1001.51","       1005.00","       1005.00","       1015.55","        620","              629638.10","         15","        610","         98.39"
"MUTHOOTFIN","EQ","19-May-2017","        379.20","        395.00","        400.90","        357.45","        381.00","        379.15","        382.13","    3211995","          1227388956.65","      42906","    1193472","         37.16"
"MUTHOOTFIN","NF","19-May-2017","        889.00","        890.03","        890.03","        890.03","        890.03","        890.03","        890.03","        110","               97903.30","          1","        110","        100.00"
"MUTHOOTFIN","EQ","22-May-2017","        379.15","        382.10","        393.95","        380.80","        386.00","        385.45","        386.04","    1733876","           669340270.15","      19865","    1424301","         82.15"
"MUTHOOTFIN","N9","22-May-2017","       1005.00","       1005.00","       1005.00","       1004.85","       1004.85","       1004.85","       1004.98","         40","               40199.20","          5","         40","        100.00"
"MUTHOOTFIN","NB","22-May-2017","       1750.00","       1710.11","       1750.00","       1710.11","       1750.00","       1750.00","       1728.36","         85","              146910.75","          7","         56","         65.88"
"MUTHOOTFIN","NC","22-May-2017","       1909.00","       1910.00","       1910.10","       1910.00","       1910.10","       1910.10","       1910.03","        109","              208193.40","          5","        109","        100.00"
"MUTHOOTFIN","EQ","23-May-2017","        385.45","        386.65","        389.75","        372.05","        381.70","        382.85","        383.44","     915259","           350950995.40","      34400","     453098","         49.50"
"MUTHOOTFIN","N9","23-May-2017","       1004.85","       1004.80","       1004.80","       1004.80","       1004.80","       1004.80","       1004.80","         45","               45216.00","          2","         45","        100.00"
"MUTHOOTFIN","NB","23-May-2017","       1750.00","       1755.00","       1755.00","       1755.00","       1755.00","       1755.00","       1755.00","         80","              140400.00","          6","         80","        100.00"
"MUTHOOTFIN","EQ","24-May-2017","        382.85","        384.00","        395.40","        383.50","        387.00","        386.05","        388.48","     760640","           295493960.35","      16850","     311133","         40.90"
