"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RCOM","EQ","15-May-2017","         32.45","         32.50","         32.60","         31.70","         32.00","         32.00","         31.99","    7126316","           227997349.45","      11883","    1908042","         26.77"
"RCOM","EQ","16-May-2017","         32.00","         32.05","         32.35","         31.85","         32.00","         32.10","         32.12","    7274881","           233687705.50","       9976","    2211910","         30.40"
"RCOM","EQ","17-May-2017","         32.10","         32.10","         32.30","         31.70","         31.90","         31.95","         31.97","    6245114","           199636016.25","       8838","    1399815","         22.41"
"RCOM","EQ","18-May-2017","         31.95","         31.60","         31.90","         31.00","         31.05","         31.05","         31.34","   11189938","           350677557.60","      17051","    3629175","         32.43"
"RCOM","EQ","19-May-2017","         31.05","         31.20","         31.45","         30.25","         30.55","         30.55","         30.80","   11898780","           366454736.00","      18065","    3309529","         27.81"
"RCOM","EQ","22-May-2017","         30.55","         30.75","         30.80","         29.70","         29.90","         29.80","         30.08","   10150535","           305352630.70","      19810","    3463929","         34.13"
"RCOM","EQ","23-May-2017","         29.80","         29.70","         29.80","         27.20","         27.95","         28.00","         28.16","   25930820","           730092658.15","      42741","    5472973","         21.11"
"RCOM","EQ","24-May-2017","         28.00","         28.00","         28.20","         25.30","         25.90","         25.90","         26.34","   46243616","          1218051381.35","      60442","   12211614","         26.41"
"RCOM","EQ","25-May-2017","         25.90","         25.90","         26.55","         25.15","         26.20","         25.95","         25.90","   28257448","           731824827.85","      35034","    6872713","         24.32"
"RCOM","EQ","26-May-2017","         25.95","         26.00","         26.30","         25.35","         25.95","         25.75","         25.93","   14024830","           363634445.40","      20142","    4643580","         33.11"
"RCOM","EQ","29-May-2017","         25.75","         25.00","         25.30","         19.70","         20.80","         20.50","         21.29","  114681061","          2441748320.65","     121576","   24407844","         21.28"
"RCOM","EQ","30-May-2017","         20.50","         20.00","         22.45","         18.95","         20.20","         20.00","         20.51","  130001062","          2666351361.75","     131557","   24960708","         19.20"
"RCOM","EQ","31-May-2017","         20.00","         20.00","         20.70","         18.10","         20.55","         19.90","         19.03","  231757141","          4409651786.10","     144306","   36142401","         15.59"
"RCOM","EQ","01-Jun-2017","         19.90","         20.50","         21.15","         19.85","         20.70","         20.75","         20.56","  119167702","          2450061180.35","     100392","   23621882","         19.82"
"RCOM","EQ","02-Jun-2017","         20.75","         20.50","         21.65","         20.05","         20.70","         20.65","         20.67","   92064997","          1902732035.80","      76785","   18572290","         20.17"
"RCOM","EQ","05-Jun-2017","         20.65","         21.40","         21.60","         20.65","         20.75","         20.80","         20.99","   62528686","          1312642831.15","      48525","   20457641","         32.72"
"RCOM","EQ","06-Jun-2017","         20.80","         20.80","         20.85","         19.75","         20.20","         20.15","         20.18","   44525105","           898335244.25","      37179","    8623150","         19.37"
