"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SONATSOFTW","EQ","15-May-2017","        163.60","        164.90","        165.00","        162.10","        162.45","        162.65","        163.09","      53383","             8706165.55","       1251","      35924","         67.29"
"SONATSOFTW","EQ","16-May-2017","        162.65","        163.00","        163.95","        158.00","        158.50","        158.60","        160.17","     270635","            43346778.55","       5672","     155739","         57.55"
"SONATSOFTW","EQ","17-May-2017","        158.60","        158.50","        159.85","        157.55","        158.00","        158.25","        158.62","      56955","             9034082.85","       1206","      37437","         65.73"
"SONATSOFTW","EQ","18-May-2017","        158.25","        158.25","        161.75","        156.55","        156.75","        157.40","        158.69","     169341","            26872646.85","       3728","      85633","         50.57"
"SONATSOFTW","EQ","19-May-2017","        157.40","        156.60","        159.00","        150.30","        151.70","        151.90","        154.00","     167554","            25803272.65","       2082","     117644","         70.21"
"SONATSOFTW","EQ","22-May-2017","        151.90","        153.40","        153.40","        150.00","        150.05","        150.45","        151.17","     111525","            16859640.15","       3503","      75527","         67.72"
"SONATSOFTW","EQ","23-May-2017","        150.45","        150.00","        150.25","        144.55","        146.50","        146.05","        146.52","     220787","            32349931.10","       6312","     156354","         70.82"
"SONATSOFTW","EQ","24-May-2017","        146.05","        147.00","        148.00","        143.85","        144.00","        146.00","        145.99","     143541","            20955344.85","       2590","      86947","         60.57"
"SONATSOFTW","EQ","25-May-2017","        146.00","        144.00","        150.45","        143.00","        150.00","        149.65","        147.20","     152779","            22489070.00","       3115","     103014","         67.43"
"SONATSOFTW","EQ","26-May-2017","        149.65","        150.00","        153.00","        146.60","        149.45","        149.65","        148.98","     166213","            24762185.30","       4221","     101839","         61.27"
"SONATSOFTW","EQ","29-May-2017","        149.65","        151.60","        152.70","        148.00","        149.90","        148.60","        150.28","      97412","            14638594.60","       2008","      67754","         69.55"
"SONATSOFTW","EQ","30-May-2017","        148.60","        152.90","        152.90","        148.75","        149.65","        149.80","        150.30","     116285","            17477665.15","       2562","      77761","         66.87"
"SONATSOFTW","EQ","31-May-2017","        149.80","        149.70","        152.05","        147.60","        150.00","        148.95","        149.57","     138676","            20742097.00","       2583","     100020","         72.12"
"SONATSOFTW","EQ","01-Jun-2017","        148.95","        147.50","        157.25","        147.50","        153.50","        153.05","        153.01","     972944","           148866179.50","      10993","     798433","         82.06"
"SONATSOFTW","EQ","02-Jun-2017","        153.05","        155.05","        163.70","        153.10","        160.00","        159.35","        159.14","     473285","            75320366.85","      10671","     260370","         55.01"
"SONATSOFTW","EQ","05-Jun-2017","        159.35","        160.10","        166.80","        159.95","        162.50","        162.90","        163.77","     207187","            33930200.95","       4618","      86285","         41.65"
"SONATSOFTW","EQ","06-Jun-2017","        162.90","        163.90","        168.50","        161.00","        164.00","        164.10","        165.84","     273667","            45384942.60","       5480","     119759","         43.76"
"SONATSOFTW","EQ","07-Jun-2017","        164.10","        164.95","        168.70","        159.00","        159.90","        160.75","        163.80","     392254","            64252314.75","       6905","     138758","         35.37"
"SONATSOFTW","EQ","08-Jun-2017","        160.75","        162.30","        162.30","        157.25","        158.50","        158.45","        158.78","      86270","            13698353.80","       2992","      47161","         54.67"
"SONATSOFTW","EQ","09-Jun-2017","        158.45","        160.30","        162.00","        157.65","        160.25","        160.40","        160.16","     130731","            20938125.75","       3004","      57083","         43.66"
"SONATSOFTW","EQ","12-Jun-2017","        160.40","        159.00","        161.00","        156.00","        156.20","        156.30","        157.29","     125785","            19785272.65","       2410","      81667","         64.93"
"SONATSOFTW","EQ","13-Jun-2017","        156.30","        156.30","        157.45","        153.35","        155.00","        154.15","        155.10","     128496","            19929365.65","       2826","      90286","         70.26"
"SONATSOFTW","EQ","14-Jun-2017","        154.15","        153.10","        154.75","        149.00","        153.35","        152.70","        151.89","     246320","            37413033.80","       4519","     144695","         58.74"
"SONATSOFTW","EQ","15-Jun-2017","        152.70","        152.00","        153.00","        149.50","        150.55","        150.50","        151.22","     128005","            19357193.10","       3300","      89141","         69.64"
"SONATSOFTW","EQ","16-Jun-2017","        150.50","        152.00","        163.85","        150.60","        157.05","        158.05","        156.84","     560532","            87913904.15","       7569","     250487","         44.69"
"SONATSOFTW","EQ","19-Jun-2017","        158.05","        158.05","        158.35","        153.10","        153.80","        153.95","        155.23","     179646","            27886253.50","       5050","     100106","         55.72"
"SONATSOFTW","EQ","20-Jun-2017","        153.95","        153.25","        155.30","        152.60","        154.15","        153.95","        153.95","     138448","            21313807.30","       4073","      90121","         65.09"
"SONATSOFTW","EQ","21-Jun-2017","        153.95","        153.80","        155.20","        152.15","        153.20","        152.85","        152.96","     140085","            21427430.45","       4509","     106974","         76.36"
"SONATSOFTW","EQ","22-Jun-2017","        152.85","        153.95","        155.25","        151.50","        152.50","        152.25","        153.25","     114800","            17593386.55","       3416","      72306","         62.98"
"SONATSOFTW","EQ","23-Jun-2017","        152.25","        152.60","        152.85","        149.60","        151.35","        151.30","        150.95","     136992","            20678531.25","       3372","      95696","         69.86"
"SONATSOFTW","EQ","27-Jun-2017","        151.30","        151.55","        152.90","        149.10","        149.80","        149.85","        150.34","      59365","             8924752.95","       1596","      39774","         67.00"
"SONATSOFTW","EQ","28-Jun-2017","        149.85","        150.00","        152.00","        148.70","        151.95","        151.05","        150.50","      84122","            12660682.55","       2622","      59889","         71.19"
"SONATSOFTW","EQ","29-Jun-2017","        151.05","        151.95","        158.00","        150.10","        157.00","        157.00","        155.08","     400652","            62131387.80","       8612","     240178","         59.95"
"SONATSOFTW","EQ","30-Jun-2017","        157.00","        156.00","        156.70","        152.00","        153.20","        152.90","        154.59","     197273","            30497270.05","       5020","     144527","         73.26"
"SONATSOFTW","EQ","03-Jul-2017","        152.90","        153.90","        157.15","        153.05","        155.50","        155.70","        155.16","     233039","            36157257.30","       7382","     180851","         77.61"
"SONATSOFTW","EQ","04-Jul-2017","        155.70","        156.00","        156.00","        151.90","        152.25","        152.40","        153.21","     170059","            26054445.10","       8356","     130278","         76.61"
"SONATSOFTW","EQ","05-Jul-2017","        152.40","        153.40","        163.90","        152.50","        162.80","        163.00","        160.18","    1194379","           191320378.35","      21337","     514380","         43.07"
"SONATSOFTW","EQ","06-Jul-2017","        163.00","        164.00","        166.50","        162.25","        163.40","        163.35","        164.29","     445995","            73272495.20","       8550","     237659","         53.29"
"SONATSOFTW","EQ","07-Jul-2017","        163.35","        162.70","        164.70","        162.00","        162.60","        162.45","        163.15","     128611","            20983349.30","       2799","      77856","         60.54"
"SONATSOFTW","EQ","10-Jul-2017","        162.45","        162.00","        168.00","        155.00","        164.00","        163.90","        163.45","      50403","             8238428.70","        537","      33165","         65.80"
"SONATSOFTW","EQ","11-Jul-2017","        163.90","        163.40","        169.20","        161.55","        163.25","        163.15","        166.49","     477255","            79457167.90","       5283","     219408","         45.97"
"SONATSOFTW","EQ","12-Jul-2017","        163.15","        164.40","        167.40","        164.10","        165.75","        165.80","        165.60","     196458","            32533905.90","       2980","     110075","         56.03"
"SONATSOFTW","EQ","13-Jul-2017","        165.80","        166.00","        167.60","        163.50","        164.15","        163.95","        164.77","     133566","            22007748.30","       3889","      91800","         68.73"
"SONATSOFTW","EQ","14-Jul-2017","        163.95","        164.80","        165.50","        159.30","        161.15","        160.70","        162.40","     165381","            26858512.35","       4166","     118097","         71.41"
