"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNPHARMA","EQ","15-May-2017","        655.10","        655.40","        656.85","        649.50","        654.00","        654.45","        653.97","    1224004","           800461742.60","      35100","     846103","         69.13"
"SUNPHARMA","EQ","16-May-2017","        654.45","        655.00","        656.55","        648.00","        650.00","        652.35","        652.01","    2325051","          1515958742.20","      47246","    1790950","         77.03"
"SUNPHARMA","EQ","17-May-2017","        652.35","        652.10","        653.00","        644.10","        652.00","        650.90","        648.50","    1920624","          1245520258.20","      50402","    1418894","         73.88"
"SUNPHARMA","EQ","18-May-2017","        650.90","        648.70","        655.25","        643.45","        655.00","        653.95","        651.53","    2149513","          1400464829.45","      31259","    1504397","         69.99"
"SUNPHARMA","EQ","19-May-2017","        653.95","        655.50","        656.95","        646.70","        652.00","        653.15","        652.63","    2223401","          1451054083.45","      91126","    1471827","         66.20"
"SUNPHARMA","EQ","22-May-2017","        653.15","        654.00","        654.00","        636.30","        641.20","        640.15","        639.90","    3156574","          2019906235.30","      62152","    2303540","         72.98"
"SUNPHARMA","EQ","23-May-2017","        640.15","        628.00","        630.85","        589.10","        615.35","        614.10","        606.74","   11623535","          7052440913.80","     177522","    5347862","         46.01"
"SUNPHARMA","EQ","24-May-2017","        614.10","        615.95","        616.30","        599.50","        606.00","        603.50","        608.88","    3751856","          2284428649.75","      92784","    2046095","         54.54"
"SUNPHARMA","EQ","25-May-2017","        603.50","        609.05","        609.30","        582.35","        595.00","        591.55","        589.70","    7237706","          4268073185.70","     196839","    4612245","         63.73"
"SUNPHARMA","EQ","26-May-2017","        591.55","        590.60","        597.85","        564.00","        565.75","        567.65","        575.15","   10814562","          6220043253.60","     153487","    6180254","         57.15"
"SUNPHARMA","EQ","29-May-2017","        567.65","        529.00","        529.00","        492.65","        500.20","        502.60","        505.13","   42138319","         21285365596.40","     483752","   20478663","         48.60"
"SUNPHARMA","EQ","30-May-2017","        502.60","        502.00","        510.55","        502.00","        508.00","        508.00","        507.61","   10937265","          5551857844.05","     200891","    6313577","         57.73"
"SUNPHARMA","EQ","31-May-2017","        508.00","        512.00","        512.05","        499.75","        503.50","        501.60","        504.70","   14794419","          7466717051.40","     257489","   10308536","         69.68"
"SUNPHARMA","EQ","01-Jun-2017","        501.60","        502.10","        523.95","        502.10","        507.50","        507.45","        513.44","   14169918","          7275348642.30","     219604","    6499697","         45.87"
"SUNPHARMA","EQ","02-Jun-2017","        507.45","        515.00","        517.95","        508.00","        514.95","        514.85","        513.78","    7715676","          3964170923.45","      95631","    3962230","         51.35"
"SUNPHARMA","EQ","05-Jun-2017","        514.85","        520.00","        522.00","        511.65","        512.50","        512.80","        515.61","    5257958","          2711061550.80","      76102","    3112773","         59.20"
"SUNPHARMA","EQ","06-Jun-2017","        512.80","        516.00","        516.35","        503.00","        503.90","        504.30","        507.72","    4813209","          2443759608.00","      78008","    2872970","         59.69"
"SUNPHARMA","EQ","07-Jun-2017","        504.30","        508.90","        515.75","        504.80","        511.70","        511.55","        511.80","    4217463","          2158504397.15","      84440","    2211610","         52.44"
"SUNPHARMA","EQ","08-Jun-2017","        511.55","        514.00","        534.60","        511.60","        529.00","        528.85","        527.13","   10616075","          5596017519.05","     150170","    4908332","         46.23"
"SUNPHARMA","EQ","09-Jun-2017","        528.85","        530.00","        533.85","        521.70","        524.45","        524.70","        527.00","    4635649","          2442982307.85","      96005","    1884246","         40.65"
"SUNPHARMA","EQ","12-Jun-2017","        524.70","        525.00","        540.90","        521.90","        531.95","        532.55","        535.16","    7634053","          4085471892.05","      85753","    3448689","         45.18"
"SUNPHARMA","EQ","13-Jun-2017","        532.55","        551.15","        552.00","        536.20","        537.50","        537.20","        542.18","    9578458","          5193204683.15","     123691","    3293144","         34.38"
"SUNPHARMA","EQ","14-Jun-2017","        537.20","        540.00","        541.00","        532.60","        541.00","        539.55","        538.00","    3182248","          1712046671.70","      63790","    1467150","         46.10"
"SUNPHARMA","EQ","15-Jun-2017","        539.55","        540.75","        549.35","        536.85","        543.05","        544.00","        545.19","    4179924","          2278860349.65","      59085","    1820581","         43.56"
"SUNPHARMA","EQ","16-Jun-2017","        544.00","        547.90","        547.95","        526.00","        529.10","        529.15","        535.21","    4986232","          2668660473.90","      93374","    2760171","         55.36"
"SUNPHARMA","EQ","19-Jun-2017","        529.15","        533.00","        533.95","        521.55","        525.70","        524.85","        525.12","    4118410","          2162653308.85","      57425","    1953322","         47.43"
