"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATACHEM","EQ","15-May-2017","        628.40","        628.90","        636.80","        627.10","        629.60","        629.80","        632.46","     348768","           220583436.85","      16519","     137793","         39.51"
"TATACHEM","EQ","16-May-2017","        629.80","        629.90","        647.00","        629.90","        645.00","        643.90","        640.36","     426939","           273393190.50","       8398","     221740","         51.94"
"TATACHEM","EQ","17-May-2017","        643.90","        645.00","        647.00","        636.05","        636.10","        638.10","        640.51","     304687","           195155159.95","       8663","      79983","         26.25"
"TATACHEM","EQ","18-May-2017","        638.10","        635.00","        635.00","        622.20","        630.00","        624.90","        626.25","     470858","           294872875.00","      10717","     224935","         47.77"
"TATACHEM","EQ","19-May-2017","        624.90","        628.00","        635.60","        610.00","        618.00","        616.45","        623.41","     285139","           177758045.35","       7906","      67972","         23.84"
"TATACHEM","EQ","22-May-2017","        616.45","        612.10","        624.40","        596.40","        599.00","        598.90","        610.18","     401429","           244944495.85","      13679","      89764","         22.36"
"TATACHEM","EQ","23-May-2017","        598.90","        595.10","        609.45","        580.95","        603.30","        601.90","        599.46","     739125","           443077220.70","      20995","     354761","         48.00"
"TATACHEM","EQ","24-May-2017","        601.90","        604.00","        609.90","        591.55","        595.00","        596.05","        600.37","     374373","           224763927.30","      19123","     142474","         38.06"
"TATACHEM","EQ","25-May-2017","        596.05","        596.55","        619.00","        596.55","        613.00","        615.25","        609.58","     472017","           287732778.45","      15844","     127670","         27.05"
"TATACHEM","EQ","26-May-2017","        615.25","        617.30","        625.95","        606.00","        609.45","        610.40","        614.91","    1217053","           748379313.35","      27245","     171107","         14.06"
"TATACHEM","EQ","29-May-2017","        610.40","        612.00","        617.90","        605.00","        609.20","        608.25","        610.05","     532092","           324603952.20","      17088","     199576","         37.51"
"TATACHEM","EQ","30-May-2017","        608.25","        609.00","        629.50","        601.75","        627.95","        627.15","        618.90","     467679","           289447719.60","      13601","     166441","         35.59"
"TATACHEM","EQ","31-May-2017","        627.15","        630.00","        632.95","        622.45","        625.95","        628.30","        628.98","     333451","           209735165.30","      11613","      86969","         26.08"
"TATACHEM","EQ","01-Jun-2017","        628.30","        632.00","        641.00","        630.00","        639.00","        637.45","        637.51","     545589","           347815769.70","      21787","     129717","         23.78"
"TATACHEM","EQ","02-Jun-2017","        637.45","        638.50","        645.90","        636.85","        637.00","        639.70","        641.17","     622003","           398810678.70","      12269","     386904","         62.20"
"TATACHEM","EQ","05-Jun-2017","        639.70","        641.80","        647.90","        631.80","        635.25","        637.75","        641.63","     619030","           397187785.50","      11733","     207115","         33.46"
"TATACHEM","EQ","06-Jun-2017","        637.75","        637.90","        640.00","        620.15","        622.00","        621.50","        627.82","     388282","           243770686.25","      18801","     118306","         30.47"
"TATACHEM","EQ","07-Jun-2017","        621.50","        624.00","        629.95","        618.05","        625.00","        624.95","        624.19","     594558","           371115589.75","      16331","     268699","         45.19"
"TATACHEM","IL","07-Jun-2017","        645.00","        645.00","        645.00","        644.95","-","        645.00","        644.99","       1815","             1170657.55","         12","       1815","        100.00"
"TATACHEM","EQ","08-Jun-2017","        624.95","        627.00","        629.00","        612.60","        613.55","        614.25","        618.65","     329876","           204077408.75","      11649","     115026","         34.87"
"TATACHEM","EQ","09-Jun-2017","        614.25","        616.00","        623.00","        610.55","        620.15","        620.45","        617.83","     288565","           178285149.85","      10074","      81731","         28.32"
