"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VIPIND","EQ","15-May-2017","        202.05","        203.65","        205.00","        198.10","        198.95","        199.20","        200.70","     145003","            29102299.85","       2102","      66456","         45.83"
"VIPIND","EQ","16-May-2017","        199.20","        200.40","        205.00","        198.90","        201.00","        200.90","        202.30","     357349","            72291505.00","       6281","     101836","         28.50"
"VIPIND","EQ","17-May-2017","        200.90","        201.55","        202.05","        198.50","        199.00","        199.65","        200.71","     128429","            25777567.60","       3750","      64230","         50.01"
"VIPIND","EQ","18-May-2017","        199.65","        199.10","        202.00","        192.05","        192.55","        193.30","        198.79","     441208","            87708685.85","       6837","     240717","         54.56"
"VIPIND","EQ","19-May-2017","        193.30","        199.00","        204.00","        194.25","        196.50","        195.95","        198.82","     723731","           143889069.85","      10066","     184810","         25.54"
"VIPIND","EQ","22-May-2017","        195.95","        199.00","        200.50","        190.25","        192.60","        192.85","        195.55","     282636","            55269091.75","       3895","     121074","         42.84"
"VIPIND","EQ","23-May-2017","        192.85","        193.90","        194.25","        181.00","        182.50","        183.20","        186.01","     186052","            34606724.45","       3689","      80316","         43.17"
"VIPIND","EQ","24-May-2017","        183.20","        184.50","        188.95","        178.95","        183.20","        183.40","        184.57","     202226","            37325142.70","       4182","      88883","         43.95"
"VIPIND","EQ","25-May-2017","        183.40","        184.60","        188.90","        183.00","        186.80","        187.55","        186.62","     135681","            25320724.00","       2113","      46103","         33.98"
"VIPIND","EQ","26-May-2017","        187.55","        188.70","        196.75","        187.00","        193.80","        193.75","        192.82","     227242","            43816190.90","       5012","     115495","         50.82"
"VIPIND","EQ","29-May-2017","        193.75","        194.75","        195.25","        188.00","        189.65","        189.60","        191.05","     119168","            22767156.85","       1889","      45770","         38.41"
"VIPIND","EQ","30-May-2017","        189.60","        189.90","        194.80","        186.10","        189.90","        189.35","        190.82","     181446","            34622984.10","       2814","      31568","         17.40"
"VIPIND","EQ","31-May-2017","        189.35","        189.95","        195.50","        188.35","        194.00","        192.70","        193.13","     184799","            35690058.40","       6418","      89080","         48.20"
"VIPIND","EQ","01-Jun-2017","        192.70","        194.75","        201.85","        192.00","        197.10","        197.90","        198.81","     389321","            77400381.75","       5381","      99812","         25.64"
"VIPIND","EQ","02-Jun-2017","        197.90","        198.40","        202.80","        196.10","        197.50","        197.90","        199.42","     177078","            35312337.40","       3462","      49537","         27.97"
"VIPIND","EQ","05-Jun-2017","        197.90","        199.50","        202.00","        196.25","        199.30","        198.70","        199.83","     218575","            43677236.10","       3065","      72162","         33.01"
"VIPIND","EQ","06-Jun-2017","        198.70","        199.50","        201.00","        196.25","        196.30","        197.35","        198.37","     118831","            23572419.85","       2675","      53234","         44.80"
"VIPIND","EQ","07-Jun-2017","        197.35","        197.10","        200.85","        193.45","        193.80","        194.25","        196.46","     142355","            27967669.20","       3829","      82303","         57.82"
"VIPIND","EQ","08-Jun-2017","        194.25","        195.55","        197.50","        193.00","        194.50","        194.65","        195.00","     144436","            28165159.00","       2885","      64737","         44.82"
"VIPIND","EQ","09-Jun-2017","        194.65","        195.40","        199.55","        192.50","        194.25","        195.25","        195.78","     228540","            44744586.90","       7969","      98680","         43.18"
"VIPIND","EQ","12-Jun-2017","        195.25","        195.00","        198.90","        193.40","        195.05","        195.45","        196.30","     153109","            30054926.30","       2072","      63240","         41.30"
"VIPIND","EQ","13-Jun-2017","        195.45","        195.75","        199.00","        194.50","        196.65","        197.00","        197.37","     164448","            32456605.60","       1984","      56076","         34.10"
"VIPIND","EQ","14-Jun-2017","        197.00","        197.75","        203.40","        193.50","        194.70","        195.45","        198.85","     561699","           111692704.85","       6935","     214416","         38.17"
"VIPIND","EQ","15-Jun-2017","        195.45","        195.85","        196.25","        192.00","        192.50","        192.55","        194.07","     128054","            24851916.45","       2077","      64790","         50.60"
"VIPIND","EQ","16-Jun-2017","        192.55","        193.40","        196.00","        192.50","        194.00","        194.60","        194.35","     133536","            25952074.50","       2118","      72124","         54.01"
"VIPIND","EQ","19-Jun-2017","        194.60","        195.40","        198.50","        194.40","        194.60","        195.20","        196.88","     267164","            52599078.80","       4592","     114662","         42.92"
"VIPIND","EQ","20-Jun-2017","        195.20","        195.85","        200.00","        194.05","        194.70","        195.00","        197.51","     551747","           108976196.65","       9631","     174589","         31.64"
"VIPIND","EQ","21-Jun-2017","        195.00","        196.50","        198.35","        195.25","        196.25","        196.30","        196.87","     292367","            57558110.85","       4387","      96803","         33.11"
"VIPIND","EQ","22-Jun-2017","        196.30","        196.60","        198.00","        192.40","        193.10","        193.20","        195.53","     108716","            21257429.30","       1988","      59084","         54.35"
"VIPIND","EQ","23-Jun-2017","        193.20","        195.00","        196.50","        187.00","        189.95","        190.20","        191.58","     199614","            38242653.90","       3423","      60371","         30.24"
"VIPIND","EQ","27-Jun-2017","        190.20","        191.65","        192.15","        182.40","        186.85","        186.40","        186.03","     134944","            25104168.55","       2315","      57452","         42.57"
"VIPIND","EQ","28-Jun-2017","        186.40","        187.35","        187.35","        179.00","        179.15","        180.75","        182.52","     143168","            26131352.50","       4130","      94569","         66.05"
"VIPIND","EQ","29-Jun-2017","        180.75","        180.75","        185.30","        176.35","        184.10","        184.10","        183.53","     139440","            25591576.25","       2111","      53443","         38.33"
"VIPIND","EQ","30-Jun-2017","        184.10","        185.00","        185.00","        181.30","        182.00","        182.10","        182.13","      99970","            18207505.40","       1869","      52473","         52.49"
"VIPIND","EQ","03-Jul-2017","        182.10","        182.30","        185.50","        182.20","        185.50","        184.80","        184.21","      91040","            16770741.60","       2077","      56276","         61.81"
"VIPIND","EQ","04-Jul-2017","        184.80","        186.00","        192.10","        185.80","        190.50","        190.45","        189.91","     383270","            72786820.65","       6555","     168609","         43.99"
"VIPIND","EQ","05-Jul-2017","        190.45","        190.95","        193.70","        190.95","        193.30","        192.90","        192.53","     199630","            38434386.70","       2288","     104952","         52.57"
"VIPIND","EQ","06-Jul-2017","        192.90","        192.70","        198.00","        192.45","        196.80","        196.05","        195.98","     319288","            62573141.00","       2474","     207824","         65.09"
"VIPIND","EQ","07-Jul-2017","        196.05","        196.00","        196.00","        191.50","        192.00","        192.75","        193.72","     180001","            34869842.00","       2553","     140157","         77.86"
"VIPIND","EQ","10-Jul-2017","        192.75","        194.65","        195.30","        189.10","        189.75","        189.80","        190.10","      38273","             7275686.85","        482","      26887","         70.25"
"VIPIND","EQ","11-Jul-2017","        189.80","        191.05","        191.05","        184.75","        185.95","        186.00","        188.28","     121502","            22875858.25","       1933","      69723","         57.38"
"VIPIND","EQ","12-Jul-2017","        186.00","        186.85","        190.60","        183.10","        185.00","        185.00","        185.79","     231565","            43021880.15","       6043","     136688","         59.03"
"VIPIND","EQ","13-Jul-2017","        185.00","        185.00","        189.55","        185.00","        187.00","        186.95","        187.34","     128729","            24116555.05","       2530","      84795","         65.87"
"VIPIND","EQ","14-Jul-2017","        186.95","        186.80","        187.70","        181.20","        182.80","        182.20","        183.99","     144857","            26652019.85","       3421","     101206","         69.87"
"VIPIND","EQ","17-Jul-2017","        182.20","        183.50","        185.15","        181.20","        181.35","        181.60","        182.32","     103900","            18942600.40","       1553","      72972","         70.23"
"VIPIND","EQ","18-Jul-2017","        181.60","        181.95","        184.15","        178.00","        178.90","        178.75","        180.65","     132600","            23954676.50","       3739","      85819","         64.72"
"VIPIND","EQ","19-Jul-2017","        178.75","        177.50","        180.80","        177.45","        178.55","        178.85","        179.00","     199491","            35709285.50","       3162","     138932","         69.64"
"VIPIND","EQ","20-Jul-2017","        178.85","        178.85","        180.45","        177.50","        177.65","        178.30","        178.96","     115685","            20702829.70","       1532","      89365","         77.25"
"VIPIND","EQ","21-Jul-2017","        178.30","        178.85","        183.50","        176.15","        177.65","        178.10","        179.81","     325234","            58480074.75","       9151","     204559","         62.90"
"VIPIND","EQ","24-Jul-2017","        178.10","        179.15","        182.00","        177.40","        178.00","        178.00","        179.08","     126602","            22671471.70","       2934","      83321","         65.81"
"VIPIND","EQ","25-Jul-2017","        178.00","        178.10","        180.45","        176.50","        177.60","        177.95","        178.46","     185795","            33156419.35","       1861","     130496","         70.24"
"VIPIND","EQ","26-Jul-2017","        177.95","        178.10","        183.65","        177.55","        182.10","        180.60","        180.95","     374410","            67748974.45","      13207","     208974","         55.81"
"VIPIND","EQ","27-Jul-2017","        180.60","        181.85","        183.50","        175.00","        175.50","        175.45","        178.00","     201435","            35856054.20","       8402","     133954","         66.50"
"VIPIND","EQ","28-Jul-2017","        175.45","        175.00","        176.45","        174.25","        175.50","        175.10","        175.21","     107793","            18886130.50","       3426","      62401","         57.89"
"VIPIND","EQ","31-Jul-2017","        175.10","        173.00","        177.00","        171.05","        172.00","        172.45","        174.03","     151675","            26396399.30","       3356","     108723","         71.68"
"VIPIND","EQ","01-Aug-2017","        172.45","        173.00","        179.00","        173.00","        176.60","        176.60","        177.16","     283387","            50205570.90","       2850","     179173","         63.23"
"VIPIND","EQ","02-Aug-2017","        176.60","        177.70","        179.95","        175.70","        178.80","        179.35","        178.25","     180656","            32201707.30","       6655","      77376","         42.83"
"VIPIND","EQ","03-Aug-2017","        179.35","        179.80","        189.00","        175.10","        186.05","        185.95","        183.45","    1436186","           263463224.75","      22062","     378440","         26.35"
