Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,lower,avg,upper,Call
2017-06-01,INFY,EQ,977.05,969.3,979.7,958.55,971.25,971.4,969.49,2754303,2670262585.15,81421,1822506,66.17,2017,6,-0.5782713269535833,Slight negative,936.7087889797064,968.6714285714286,1000.6340681631508,Hold Short/Liquidate Buy
2017-06-02,INFY,EQ,971.4,973.4,975.45,964.2,966.0,969.45,968.76,1958983,1897792688.95,48927,1396644,71.29,2017,6,-0.2007411982705265,Slight or No change,939.5434723607427,969.95,1000.3565276392574,Hold Buy/Liquidate Short
2017-06-05,INFY,EQ,969.45,970.0,972.0,957.05,959.0,958.75,961.71,2731349,2626761462.75,83794,1941199,71.07,2017,6,-1.1037186033317936,Negative,940.3167738812132,970.2178571428573,1000.1189404045014,Hold Buy/Liquidate Short
2017-06-06,INFY,EQ,958.75,965.0,987.5,964.4,980.0,979.35,980.08,3504343,3434525873.65,83178,2018029,57.59,2017,6,2.1486310299869693,Positive,943.6380762492869,972.1142857142859,1000.5904951792849,Hold Short/Liquidate Buy
2017-06-07,INFY,EQ,979.35,985.0,988.9,945.0,959.3,961.3,963.75,6227523,6001805446.2,139990,2519343,40.45,2017,6,-1.8430591718997411,Negative,943.5545689587641,972.0821428571429,1000.6097167555217,Hold Buy/Liquidate Short
2017-06-08,INFY,EQ,961.3,962.95,962.95,948.15,956.05,956.45,952.81,3097676,2951501576.75,88147,1778850,57.43,2017,6,-0.5045251222303038,Slight negative,943.2085197736085,971.9750000000001,1000.7414802263918,Hold Buy/Liquidate Short
2017-06-09,INFY,EQ,956.45,938.55,950.95,923.0,949.0,948.6,937.55,7378831,6918028230.35,161124,3054942,41.4,2017,6,-0.8207433739348624,Slight negative,940.1069134024733,971.0571428571429,1002.0073723118126,Hold Buy/Liquidate Short
2017-06-12,INFY,EQ,948.6,943.35,965.2,940.1,964.4,963.85,953.95,4295838,4097996731.1,89686,2215716,51.58,2017,6,1.6076323002319317,Positive,941.2806171776035,971.5250000000002,1001.7693828223969,Hold Buy/Liquidate Short
2017-06-13,INFY,EQ,963.85,953.5,962.95,951.6,957.95,957.8,958.26,2468897,2365833763.7,69355,1449584,58.71,2017,6,-0.6276910307620565,Slight negative,941.9665263896584,971.7392857142859,1001.5120450389134,Hold Buy/Liquidate Short
2017-06-14,INFY,EQ,957.8,960.0,961.9,951.2,958.5,958.6,957.02,3719055,3559194776.55,90312,2710765,72.89,2017,6,0.08352474420547651,Slight or No change,940.225953473586,969.9750000000003,999.7240465264146,Hold Buy/Liquidate Short
2017-06-15,INFY,EQ,958.6,959.65,967.95,949.6,951.35,952.1,956.12,2764031,2642752622.05,67490,1852460,67.02,2017,6,-0.6780721886083918,Slight negative,939.6961112269424,966.8607142857145,994.0253173444866,Hold Buy/Liquidate Short
2017-06-16,INFY,EQ,952.1,949.1,953.85,936.0,937.0,940.25,942.47,5474225,5159269025.25,109487,4241070,77.47,2017,6,-1.244617162062811,Negative,935.2181800383257,963.6535714285717,992.0889628188177,Hold Buy/Liquidate Short
2017-06-19,INFY,EQ,940.25,939.95,940.25,928.0,930.8,929.85,931.98,3427930,3194759665.4,82075,2297829,67.03,2017,6,-1.1060888061685703,Negative,931.7576622532923,958.9142857142859,986.0709091752796,Buy
2017-06-20,INFY,EQ,929.85,935.0,946.9,934.05,944.25,943.55,943.01,2592198,2444471885.25,105790,1509148,58.22,2017,6,1.4733559176211217,Positive,930.3632495508946,956.5214285714288,982.6796075919631,Hold Buy/Liquidate Short
2017-06-21,INFY,EQ,943.55,945.0,949.0,936.05,948.55,943.35,941.04,1867932,1757791620.6,59945,1286468,68.87,2017,6,-0.021196544963164587,Slight or No change,928.979180376255,954.5178571428575,980.0565339094599,Hold Buy/Liquidate Short
2017-06-22,INFY,EQ,943.35,947.7,968.7,935.1,939.0,940.15,953.78,4732621,4513895877.95,115123,2848768,60.19,2017,6,-0.33921662161446875,Slight or No change,927.3597083369488,952.4250000000002,977.4902916630516,Hold Buy/Liquidate Short
2017-06-23,INFY,EQ,940.15,945.0,949.15,938.0,943.05,943.25,943.77,3201509,3021488880.3,118944,2359021,73.68,2017,6,0.3297346168164683,Slight or No change,926.0873015789002,951.3178571428573,976.5484127068144,Hold Buy/Liquidate Short
2017-06-27,INFY,EQ,943.25,945.0,948.0,923.75,926.0,927.05,929.06,3452330,3207420226.5,113272,2392340,69.3,2017,6,-1.7174662072621305,Negative,924.8689610814952,947.5821428571429,970.2953246327907,Hold Buy/Liquidate Short
2017-06-28,INFY,EQ,927.05,932.8,933.0,921.0,924.0,924.7,925.73,2952612,2733310088.65,98295,2094305,70.93,2017,6,-0.25349226039587114,Slight or No change,920.6851121724736,944.9678571428574,969.2506021132411,Hold Buy/Liquidate Short
2017-06-29,INFY,EQ,924.7,930.2,947.95,926.6,929.0,930.2,935.13,7957020,7440838109.9,103952,5660732,71.14,2017,6,0.5947874986482082,Slight positive,918.5766189716793,943.0928571428574,967.6090953140355,Hold Buy/Liquidate Short
2017-06-30,INFY,EQ,930.2,930.8,938.0,929.0,934.4,935.55,934.42,2108350,1970090052.2,64325,1526984,72.43,2017,6,0.5751451300795463,Slight positive,917.5542680205141,942.1607142857144,966.7671605509148,Hold Buy/Liquidate Short
2017-07-03,INFY,EQ,935.55,941.1,955.0,934.6,953.6,951.9,945.66,2544462,2406192366.05,62128,1419172,55.77,2017,7,1.7476350809684238,Positive,919.2440913511016,941.3071428571429,963.3701943631843,Hold Short/Liquidate Buy
2017-07-04,INFY,EQ,951.9,953.85,970.0,949.4,961.0,962.15,962.03,2583863,2485762341.4,54690,1493619,57.81,2017,7,1.076793780859342,Positive,918.4589543143601,941.6178571428572,964.7767599713544,Hold Short/Liquidate Buy
2017-07-05,INFY,EQ,962.15,959.0,959.0,945.4,952.0,950.9,950.46,2113114,2008422006.7,58308,1201934,56.88,2017,7,-1.1692563529595137,Negative,919.3237648543632,941.0678571428572,962.8119494313512,Hold Short/Liquidate Buy
2017-07-06,INFY,EQ,950.9,945.0,957.0,944.2,946.8,947.0,950.12,1914860,1819345350.9,56849,1143132,59.7,2017,7,-0.4101377642233617,Slight or No change,919.5940233050796,940.7035714285714,961.8131195520632,Hold Short/Liquidate Buy
2017-07-07,INFY,EQ,947.0,943.85,945.45,933.05,935.1,935.4,938.78,2888443,2711621745.5,98641,2118035,73.33,2017,7,-1.224920802534324,Negative,919.0572021875666,940.3571428571429,961.6570835267191,Hold Buy/Liquidate Short
2017-07-10,INFY,EQ,935.4,945.0,1028.9,937.3,953.3,957.05,953.49,847546,808125207.5,17862,426402,50.31,2017,7,2.3145178533247712,Positive,920.1822034760033,942.3,964.4177965239966,Hold Short/Liquidate Buy
2017-07-11,INFY,EQ,957.05,956.65,989.5,956.65,978.6,975.35,978.98,5769854,5648578195.35,113632,3220051,55.81,2017,7,1.912125803249576,Positive,916.2415119491692,944.5714285714286,972.9013451936879,Short
2017-07-12,INFY,EQ,975.35,974.95,981.5,968.75,973.0,972.35,974.41,3137988,3057672503.55,77201,2147850,68.45,2017,7,-0.3075818936791874,Slight or No change,914.6886385182048,946.6428571428571,978.5970757675094,Hold Short/Liquidate Buy
2017-07-13,INFY,EQ,972.35,977.25,983.45,964.1,980.0,977.05,977.0,2585196,2525724825.0,74502,1139208,44.07,2017,7,0.4833650434514336,Slight or No change,913.7445635729171,949.2785714285714,984.8125792842256,Hold Short/Liquidate Buy
2017-07-14,INFY,EQ,977.05,999.45,1006.85,966.05,970.0,972.05,985.55,11239090,11076697425.95,246571,4902877,43.62,2017,7,-0.5117445371270679,Slight negative,914.0154284311857,951.3357142857142,988.6560001402427,Hold Short/Liquidate Buy
2017-07-17,INFY,EQ,972.05,975.0,992.0,974.0,985.55,984.05,984.54,3849125,3789602386.0,85783,2209178,57.39,2017,7,1.2345043979219206,Positive,917.0767199703378,955.4071428571427,993.7375657439477,Hold Short/Liquidate Buy
2017-07-18,INFY,EQ,984.05,986.05,1004.8,981.1,983.65,985.6,995.69,4130090,4112296075.35,93509,2299835,55.68,2017,7,0.1575123215283858,Slight or No change,922.6347495087597,959.7571428571428,996.8795362055258,Hold Short/Liquidate Buy
2017-07-19,INFY,EQ,985.6,981.45,988.65,969.1,979.6,979.85,976.12,2945139,2874801639.95,105595,1545101,52.46,2017,7,-0.5834009740259716,Slight negative,928.9625113605799,963.3035714285713,997.6446314965627,Hold Short/Liquidate Buy
2017-07-20,INFY,EQ,979.85,979.3,979.85,966.95,969.0,969.45,970.69,3404870,3305085666.3,101526,2486394,73.02,2017,7,-1.0613869469816797,Negative,935.2508810943302,965.725,996.1991189056698,Hold Short/Liquidate Buy
2017-07-21,INFY,EQ,969.45,973.0,982.55,971.4,979.9,980.1,978.45,2990377,2925921839.85,68179,1923535,64.32,2017,7,1.0985610397648229,Positive,937.4743484341359,967.7392857142858,998.0042229944356,Hold Short/Liquidate Buy
2017-07-24,INFY,EQ,980.1,983.5,994.0,982.6,990.5,990.55,989.58,3064588,3032646958.4,110820,2177458,71.05,2017,7,1.0662177328844002,Positive,937.3837773138176,969.7678571428571,1002.1519369718966,Hold Short/Liquidate Buy
2017-07-25,INFY,EQ,990.55,990.0,999.0,986.2,994.0,993.85,992.82,3572807,3547155443.75,104586,2636530,73.79,2017,7,0.3331482509716821,Slight or No change,940.0165962979548,972.8357142857143,1005.6548322734737,Hold Short/Liquidate Buy
2017-07-26,INFY,EQ,993.85,998.1,999.0,990.4,994.0,994.05,993.84,3435012,3413852845.2,104013,2857462,83.19,2017,7,0.020123761130941283,Slight or No change,945.1877582135656,976.1964285714286,1007.2050989292915,Hold Short/Liquidate Buy
2017-07-27,INFY,EQ,994.05,996.0,1004.0,966.8,969.85,971.05,981.64,6338426,6222055606.7,100543,4878648,76.97,2017,7,-2.3137669131331418,Negative,958.0149177245879,978.7428571428571,999.4707965611263,Hold Buy/Liquidate Short
2017-07-28,INFY,EQ,971.05,976.0,1003.0,962.3,995.7,997.35,987.2,5549214,5478201640.4,92083,3196985,57.61,2017,7,2.7084084238710777,Positive,962.7616743399893,981.6214285714286,1000.4811828028679,Hold Short/Liquidate Buy
2017-07-31,INFY,EQ,997.35,991.9,1021.7,986.75,1015.0,1011.2,1007.77,9579124,9653593591.35,194493,6840218,71.41,2017,7,1.3886800020053158,Positive,960.0048933112506,984.1821428571429,1008.3593924030353,Short
2017-08-01,INFY,EQ,1011.2,1011.0,1017.0,998.35,1004.5,1005.55,1005.38,3844699,3865373992.85,74672,2634496,68.52,2017,8,-0.5587420886076,Slight negative,960.9074151927867,986.5535714285714,1012.1997276643561,Hold Short/Liquidate Buy
2017-08-02,INFY,EQ,1005.55,1006.0,1012.75,987.2,989.1,993.35,999.06,2128792,2126780544.95,64338,1154252,54.22,2017,8,-1.2132663716374004,Negative,962.4530866833107,987.7178571428573,1012.9826276024038,Hold Short/Liquidate Buy
2017-08-03,INFY,EQ,993.35,991.0,998.75,980.25,981.8,984.0,988.23,2320174,2292869696.85,64881,1484098,63.96,2017,8,-0.9412593748427068,Slight negative,964.825053486581,988.5714285714287,1012.3178036562763,Hold Buy/Liquidate Short
2017-08-04,INFY,EQ,984.0,988.0,989.0,976.05,983.5,983.75,981.53,2674509,2625108704.9,54851,1951568,72.97,2017,8,-0.025406504065039748,Slight or No change,964.7855145389027,988.5500000000002,1012.3144854610977,Hold Buy/Liquidate Short
2017-08-07,INFY,EQ,983.75,983.5,983.75,965.7,966.5,968.25,972.33,3036872,2952834608.05,75997,2439913,80.34,2017,8,-1.575603557814487,Negative,961.190719628765,987.3107142857144,1013.4307089426638,Hold Buy/Liquidate Short
2017-08-08,INFY,EQ,968.25,968.5,970.25,955.05,963.5,963.85,963.45,3002324,2892578680.85,83371,2062272,68.69,2017,8,-0.4544280919184018,Slight or No change,957.3779922824369,986.1678571428573,1014.9577220032777,Hold Buy/Liquidate Short
2017-08-09,INFY,EQ,963.85,967.65,973.9,964.55,970.7,969.35,969.56,1961205,1901504150.2,74542,1112721,56.74,2017,8,0.5706282097836857,Slight positive,957.3529381300839,986.1607142857144,1014.968490441345,Hold Buy/Liquidate Short
2017-08-10,INFY,EQ,969.35,969.9,987.5,969.35,984.95,981.25,982.0,4570342,4488072666.75,118468,3294424,72.08,2017,8,1.2276267602001398,Positive,957.5030467173056,986.2428571428572,1014.9826675684089,Hold Buy/Liquidate Short
2017-08-11,INFY,EQ,981.25,976.0,997.0,969.6,986.5,987.7,986.81,3272078,3228922463.05,85957,2064364,63.09,2017,8,0.6573248407643284,Slight positive,957.3906670451721,986.0392857142859,1014.6879043833998,Hold Short/Liquidate Buy
2017-08-14,INFY,EQ,987.7,988.0,989.2,977.15,982.0,981.45,981.62,1908235,1873162935.8,83142,1423038,74.57,2017,8,-0.6327832337754358,Slight negative,956.7797626962571,985.1535714285717,1013.5273801608863,Hold Buy/Liquidate Short
2017-08-16,INFY,EQ,981.45,982.0,986.1,969.0,979.35,975.2,975.79,3089040,3014254126.05,73688,2010754,65.09,2017,8,-0.6368128789036587,Slight negative,955.4629165520362,983.8071428571432,1012.1513691622501,Hold Buy/Liquidate Short
2017-08-17,INFY,EQ,975.2,1005.0,1029.25,998.05,1021.05,1020.85,1012.61,12892130,13054759560.6,219380,8130105,63.06,2017,8,4.681091058244458,Among top gainers,953.8826391099059,987.3642857142861,1020.8459323186663,Short
2017-08-18,INFY,EQ,1020.85,1017.9,1017.9,884.2,923.15,923.25,932.15,82202480,76625024333.45,1192900,42028494,51.13,2017,8,-9.560660234118632,Bear drop,934.8011953897013,982.071428571429,1029.3416617531568,Buy
2017-08-21,INFY,EQ,923.25,924.0,924.0,870.0,870.15,873.4,888.68,45203588,40171479151.0,844350,20137307,44.55,2017,8,-5.3994042783644725,Among top losers,900.188617617822,972.2285714285717,1044.2685252393214,Buy
2017-08-22,INFY,EQ,873.4,895.2,897.05,860.0,876.0,875.4,876.3,24621299,21575553323.6,436450,10004177,40.63,2017,8,0.2289901534233918,Slight or No change,877.1377051035768,962.9321428571432,1048.7265806107096,Buy
2017-08-23,INFY,EQ,875.4,880.0,903.7,873.9,893.4,892.8,890.37,30642095,27282913878.8,431562,15763891,51.45,2017,8,1.987662782727884,Positive,864.2777091136337,955.7500000000002,1047.2222908863666,Hold Buy/Liquidate Short
2017-08-24,INFY,EQ,892.8,910.0,918.25,902.35,911.5,912.15,910.72,21190262,19298432842.1,379260,13139149,62.01,2017,8,2.1673387096774244,Positive,857.9190262885347,950.6178571428574,1043.31668799718,Hold Buy/Liquidate Short
2017-08-28,INFY,EQ,912.15,943.95,953.95,938.0,940.3,941.0,944.82,20356054,19232850863.35,339901,11887057,58.4,2017,8,3.1628569862413025,Among top gainers,856.7699921917092,947.5642857142859,1038.3585792368626,Hold Buy/Liquidate Short
2017-08-29,INFY,EQ,941.0,941.45,942.0,925.55,926.75,927.45,933.49,6684696,6240109664.25,148591,3807364,56.96,2017,8,-1.439957492029753,Negative,854.0970065907004,944.6500000000003,1035.2029934093002,Hold Buy/Liquidate Short
