"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TITAN","EQ","15-May-2017","        495.00","        489.65","        490.00","        472.40","        486.00","        483.65","        479.93","    3897357","          1870464545.25","      52478","    1722661","         44.20"
"TITAN","EQ","16-May-2017","        483.65","        486.00","        491.00","        480.80","        490.00","        488.30","        487.32","    1308863","           637831624.70","      33942","     563667","         43.07"
"TITAN","EQ","17-May-2017","        488.30","        490.00","        490.10","        477.30","        481.00","        481.75","        482.25","     859054","           414281441.95","      26686","     448314","         52.19"
"TITAN","EQ","18-May-2017","        481.75","        479.00","        482.60","        470.05","        470.85","        471.65","        474.78","     811219","           385152612.25","      24621","     438716","         54.08"
"TITAN","EQ","19-May-2017","        471.65","        475.00","        479.50","        460.35","        469.65","        471.15","        469.05","    1022479","           479589060.05","      27225","     263561","         25.78"
"TITAN","EQ","22-May-2017","        471.15","        474.00","        483.75","        472.20","        481.90","        481.40","        478.30","    1725108","           825127681.65","      25751","     777453","         45.07"
"TITAN","EQ","23-May-2017","        481.40","        478.65","        485.60","        472.95","        475.85","        478.35","        479.94","    1651642","           792690042.50","      38743","     766712","         46.42"
"TITAN","EQ","24-May-2017","        478.35","        474.25","        478.95","        460.10","        470.45","        469.20","        469.91","    1477366","           694229941.00","      35081","     959757","         64.96"
"TITAN","EQ","25-May-2017","        469.20","        471.10","        471.85","        461.00","        464.00","        463.90","        466.31","     974154","           454254480.25","      24584","     557552","         57.23"
"TITAN","EQ","26-May-2017","        463.90","        464.80","        477.95","        462.90","        471.00","        473.45","        469.18","    1594613","           748163103.90","      44946","     695755","         43.63"
"TITAN","EQ","29-May-2017","        473.45","        471.80","        494.15","        469.00","        470.10","        470.65","        480.91","    2314193","          1112912577.10","      41024","     562642","         24.31"
"TITAN","EQ","30-May-2017","        470.65","        470.00","        471.00","        462.45","        470.10","        469.80","        467.57","    1496350","           699648238.95","      17891","    1082365","         72.33"
"TITAN","EQ","31-May-2017","        469.80","        469.40","        480.00","        467.55","        474.90","        474.90","        473.05","    1366115","           646237924.15","      52831","     671044","         49.12"
"TITAN","EQ","01-Jun-2017","        474.90","        475.95","        476.45","        465.30","        468.60","        470.70","        469.95","     715073","           336049705.25","      34175","     330045","         46.16"
"TITAN","EQ","02-Jun-2017","        470.70","        472.70","        474.60","        467.00","        469.90","        471.75","        471.04","     596655","           281050764.00","      13922","     292897","         49.09"
"TITAN","EQ","05-Jun-2017","        471.75","        511.00","        569.20","        505.00","        551.50","        551.85","        543.12","   27100101","         14718607571.35","     321166","    4407918","         16.27"
"TITAN","EQ","06-Jun-2017","        551.85","        547.00","        547.10","        521.40","        528.75","        527.15","        531.44","    9844354","          5231674371.65","     149354","    2501129","         25.41"
"TITAN","EQ","07-Jun-2017","        527.15","        528.00","        547.00","        528.00","        536.00","        536.20","        538.09","    4874204","          2622770856.20","      72214","    1048839","         21.52"
