"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJELEC","EQ","15-May-2017","        350.75","        351.20","        352.30","        339.10","        342.00","        341.15","        344.83","     150265","            51815366.05","       2733","      91705","         61.03"
"BAJAJELEC","EQ","16-May-2017","        341.15","        342.90","        350.50","        341.65","        346.60","        347.00","        346.14","     118849","            41138046.60","       2671","      53340","         44.88"
"BAJAJELEC","EQ","17-May-2017","        347.00","        347.10","        352.00","        345.85","        349.50","        349.85","        349.90","     108592","            37996454.75","       2259","      46366","         42.70"
"BAJAJELEC","EQ","18-May-2017","        349.85","        346.95","        346.95","        331.50","        336.00","        334.10","        339.31","     158652","            53831647.20","       3454","      91087","         57.41"
"BAJAJELEC","EQ","19-May-2017","        334.10","        339.05","        344.00","        332.00","        335.50","        336.20","        338.64","     129244","            43767310.50","       3097","      47468","         36.73"
"BAJAJELEC","EQ","22-May-2017","        336.20","        338.00","        339.95","        297.40","        313.20","        313.25","        315.99","     436640","           137973274.35","       9573","     128883","         29.52"
"BAJAJELEC","EQ","23-May-2017","        313.25","        314.00","        318.50","        299.30","        316.50","        315.55","        309.44","     174457","            53983977.45","       4615","      59422","         34.06"
"BAJAJELEC","EQ","24-May-2017","        315.55","        316.00","        344.00","        316.00","        330.00","        327.95","        333.41","     713070","           237741133.50","      11873","     139627","         19.58"
"BAJAJELEC","EQ","25-May-2017","        327.95","        329.95","        348.50","        327.05","        347.00","        346.20","        343.29","     527663","           181142947.45","       9390","     169067","         32.04"
"BAJAJELEC","EQ","26-May-2017","        346.20","        342.20","        361.40","        340.00","        361.40","        359.45","        354.09","     498356","           176462146.85","      13974","     249504","         50.07"
"BAJAJELEC","EQ","29-May-2017","        359.45","        361.65","        363.70","        342.10","        350.05","        348.70","        353.31","    1121276","           396159339.40","      22652","     452341","         40.34"
"BAJAJELEC","EQ","30-May-2017","        348.70","        347.05","        348.70","        339.75","        343.15","        342.85","        343.25","      82976","            28481334.90","       1904","      32621","         39.31"
"BAJAJELEC","EQ","31-May-2017","        342.85","        342.85","        359.90","        338.45","        342.00","        342.05","        350.14","     211629","            74100129.55","       4857","      83582","         39.49"
