"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CENTURYPLY","EQ","15-May-2017","        255.65","        256.75","        267.90","        254.05","        267.50","        266.65","        263.57","     206437","            54410401.30","       4110","     116668","         56.52"
"CENTURYPLY","EQ","16-May-2017","        266.65","        270.00","        271.00","        263.20","        265.40","        266.10","        266.37","     221371","            58966972.40","       7157","     136850","         61.82"
"CENTURYPLY","EQ","17-May-2017","        266.10","        267.95","        267.95","        262.00","        264.00","        264.85","        264.49","     429282","           113540198.60","       2234","     377919","         88.04"
"CENTURYPLY","EQ","18-May-2017","        264.85","        264.00","        264.00","        253.60","        261.00","        260.35","        259.43","      73215","            18993938.55","       1794","      24816","         33.89"
"CENTURYPLY","EQ","19-May-2017","        260.35","        261.35","        265.00","        252.50","        254.60","        254.05","        256.99","     105993","            27239163.50","       2206","      50131","         47.30"
"CENTURYPLY","EQ","22-May-2017","        254.05","        251.10","        258.85","        250.50","        256.00","        255.50","        253.36","      74288","            18821410.50","       1261","      31392","         42.26"
"CENTURYPLY","EQ","23-May-2017","        255.50","        257.45","        259.85","        245.10","        246.85","        247.95","        247.35","     677476","           167573573.75","       6409","     461830","         68.17"
"CENTURYPLY","EQ","24-May-2017","        247.95","        249.80","        252.95","        240.00","        240.50","        241.05","        244.63","     189657","            46396521.35","       5541","     134353","         70.84"
"CENTURYPLY","EQ","25-May-2017","        241.05","        242.70","        253.50","        242.00","        253.50","        252.65","        249.25","     238187","            59369274.60","       5150","     160745","         67.49"
"CENTURYPLY","EQ","26-May-2017","        252.65","        254.85","        260.80","        253.05","        259.95","        259.65","        258.16","     158287","            40862666.00","       4469","     105512","         66.66"
"CENTURYPLY","EQ","29-May-2017","        259.65","        261.45","        261.90","        253.50","        260.00","        259.45","        257.99","      98371","            25378657.45","       1538","      65089","         66.17"
"CENTURYPLY","EQ","30-May-2017","        259.45","        254.95","        262.10","        254.05","        254.50","        258.00","        259.48","     111289","            28877500.35","       4779","      47682","         42.85"
"CENTURYPLY","EQ","31-May-2017","        258.00","        257.10","        267.80","        255.15","        264.00","        264.40","        262.06","     355145","            93070173.85","       6838","     110799","         31.20"
"CENTURYPLY","EQ","01-Jun-2017","        264.40","        267.90","        282.00","        262.85","        273.00","        273.40","        273.92","     621533","           170252334.70","       9562","     267050","         42.97"
"CENTURYPLY","EQ","02-Jun-2017","        273.40","        275.70","        278.40","        269.45","        275.00","        274.15","        275.57","     351995","            96999152.45","       6327","     198423","         56.37"
"CENTURYPLY","EQ","05-Jun-2017","        274.15","        275.65","        283.65","        275.60","        281.50","        281.50","        280.63","     316887","            88929513.55","       6048","     139599","         44.05"
"CENTURYPLY","EQ","06-Jun-2017","        281.50","        282.00","        287.35","        277.25","        281.80","        282.10","        282.35","     346635","            97871772.10","       7622","     198141","         57.16"
"CENTURYPLY","EQ","07-Jun-2017","        282.10","        284.80","        296.90","        282.00","        290.25","        290.95","        290.25","     492289","           142885518.95","      10345","     201431","         40.92"
"CENTURYPLY","EQ","08-Jun-2017","        290.95","        292.00","        294.95","        286.65","        291.50","        290.60","        291.76","     274571","            80109568.75","       5589","     123099","         44.83"
"CENTURYPLY","EQ","09-Jun-2017","        290.60","        293.10","        301.00","        289.65","        300.00","        299.60","        296.41","     601320","           178238863.05","       6125","     350796","         58.34"
"CENTURYPLY","EQ","12-Jun-2017","        299.60","        304.00","        310.60","        299.65","        304.00","        306.05","        306.69","    1270518","           389659522.00","      16772","     910353","         71.65"
"CENTURYPLY","EQ","13-Jun-2017","        306.05","        308.80","        309.25","        298.05","        299.60","        299.40","        301.16","     332917","           100259710.05","       7789","     161324","         48.46"
"CENTURYPLY","EQ","14-Jun-2017","        299.40","        301.85","        309.80","        298.05","        307.10","        308.35","        304.47","     239102","            72800554.85","      11031","     137698","         57.59"
"CENTURYPLY","EQ","15-Jun-2017","        308.35","        309.90","        311.20","        299.05","        303.35","        303.20","        305.61","     208466","            63709342.45","       5195","      97628","         46.83"
"CENTURYPLY","EQ","16-Jun-2017","        303.20","        306.90","        314.00","        304.10","        308.40","        307.10","        308.41","     329977","           101767781.35","       5769","     114992","         34.85"
"CENTURYPLY","EQ","19-Jun-2017","        307.10","        309.85","        310.60","        298.30","        301.35","        302.90","        302.58","     226149","            68428270.95","       3094","     127876","         56.55"
"CENTURYPLY","EQ","20-Jun-2017","        302.90","        302.90","        303.00","        290.85","        293.85","        292.65","        295.24","     110497","            32623501.10","       2031","      59233","         53.61"
"CENTURYPLY","EQ","21-Jun-2017","        292.65","        292.50","        299.95","        291.85","        299.00","        298.90","        296.38","     117425","            34802354.60","       2893","      54389","         46.32"
"CENTURYPLY","EQ","22-Jun-2017","        298.90","        298.90","        307.40","        298.25","        302.00","        301.10","        303.74","     231039","            70175491.20","       5992","     104202","         45.10"
"CENTURYPLY","EQ","23-Jun-2017","        301.10","        299.10","        307.75","        291.00","        303.00","        301.05","        300.77","     466379","           140274623.40","       5826","     310326","         66.54"
"CENTURYPLY","EQ","27-Jun-2017","        301.05","        303.00","        304.35","        284.60","        289.50","        290.90","        293.52","     164256","            48211656.70","       6394","      82965","         50.51"
"CENTURYPLY","EQ","28-Jun-2017","        290.90","        289.50","        302.50","        289.50","        301.00","        300.85","        297.51","     150634","            44815559.30","       3029","      72390","         48.06"
"CENTURYPLY","EQ","29-Jun-2017","        300.85","        301.00","        307.45","        300.00","        302.75","        302.05","        303.98","     274211","            83353662.25","       4199","     159748","         58.26"
"CENTURYPLY","EQ","30-Jun-2017","        302.05","        301.00","        302.95","        291.50","        293.70","        294.25","        294.89","     203759","            60086820.15","       5041","     110203","         54.08"
"CENTURYPLY","EQ","03-Jul-2017","        294.25","        298.90","        306.00","        291.70","        292.60","        292.90","        297.93","     297470","            88623961.95","      11387","     157227","         52.85"
"CENTURYPLY","EQ","04-Jul-2017","        292.90","        294.85","        300.50","        290.10","        292.90","        291.50","        295.61","     327619","            96848955.50","       8131","     170983","         52.19"
"CENTURYPLY","EQ","05-Jul-2017","        291.50","        294.30","        294.30","        284.60","        287.00","        286.70","        289.39","     331413","            95907092.75","      15255","     194802","         58.78"
"CENTURYPLY","EQ","06-Jul-2017","        286.70","        287.95","        291.30","        287.15","        289.30","        289.90","        289.82","     199465","            57808823.55","       5892","     129504","         64.93"
"CENTURYPLY","EQ","07-Jul-2017","        289.90","        289.95","        291.00","        285.00","        287.60","        288.80","        287.64","     167390","            48148261.95","       6585","     117030","         69.91"
"CENTURYPLY","EQ","10-Jul-2017","        288.80","        274.40","        290.50","        274.40","        287.40","        289.50","        289.40","      28793","             8332662.50","        687","      23661","         82.18"
"CENTURYPLY","EQ","11-Jul-2017","        289.50","        290.90","        291.55","        280.00","        280.20","        281.00","        284.40","     151218","            43005785.60","       6317","      99399","         65.73"
"CENTURYPLY","EQ","12-Jul-2017","        281.00","        281.85","        284.40","        278.10","        283.00","        281.40","        280.86","     214154","            60146544.85","       7602","     148214","         69.21"
"CENTURYPLY","EQ","13-Jul-2017","        281.40","        283.80","        285.35","        282.00","        283.50","        284.00","        283.71","     419548","           119031212.85","       8359","     349609","         83.33"
"CENTURYPLY","EQ","14-Jul-2017","        284.00","        284.05","        284.95","        281.05","        283.00","        283.15","        282.57","     226859","            64104458.10","       6288","     175988","         77.58"
"CENTURYPLY","EQ","17-Jul-2017","        283.15","        284.25","        294.80","        281.75","        293.60","        293.50","        290.56","     297275","            86377439.30","      10639","     150475","         50.62"
"CENTURYPLY","EQ","18-Jul-2017","        293.50","        293.95","        294.00","        287.15","        292.80","        292.15","        290.46","     196129","            56968344.55","       4384","     149843","         76.40"
"CENTURYPLY","EQ","19-Jul-2017","        292.15","        292.15","        294.60","        284.85","        289.55","        288.60","        288.87","     111744","            32279984.90","       3142","      61776","         55.28"
"CENTURYPLY","EQ","20-Jul-2017","        288.60","        292.00","        292.90","        285.00","        285.00","        286.20","        288.64","      84400","            24361362.90","       3222","      44824","         53.11"
"CENTURYPLY","EQ","21-Jul-2017","        286.20","        286.30","        290.25","        285.00","        286.50","        286.80","        287.61","      81690","            23495248.55","       3887","      51921","         63.56"
"CENTURYPLY","EQ","24-Jul-2017","        286.80","        288.95","        288.95","        283.15","        284.15","        285.25","        285.73","      92306","            26374886.50","       3903","      68147","         73.83"
"CENTURYPLY","EQ","25-Jul-2017","        285.25","        287.95","        290.00","        284.00","        288.00","        286.95","        286.29","     133715","            38280652.95","      11996","      97097","         72.61"
"CENTURYPLY","EQ","26-Jul-2017","        286.95","        288.00","        300.85","        287.10","        298.00","        299.05","        297.77","     429524","           127900784.80","      12855","     236408","         55.04"
"CENTURYPLY","EQ","27-Jul-2017","        299.05","        301.90","        305.90","        294.00","        300.55","        299.10","        301.39","     451429","           136056724.65","      18566","     246893","         54.69"
"CENTURYPLY","EQ","28-Jul-2017","        299.10","        300.50","        302.90","        295.70","        298.90","        299.65","        299.69","     129461","            38798595.00","       4890","      73208","         56.55"
"CENTURYPLY","EQ","31-Jul-2017","        299.65","        302.80","        303.80","        291.00","        295.50","        295.20","        296.32","     237494","            70374244.00","      10694","     148508","         62.53"
"CENTURYPLY","EQ","01-Aug-2017","        295.20","        299.80","        303.00","        279.00","        279.35","        280.45","        286.49","     915377","           262250594.75","      17485","     370490","         40.47"
"CENTURYPLY","EQ","02-Aug-2017","        280.45","        278.05","        285.40","        274.25","        284.00","        283.85","        279.52","     359678","           100536219.75","      12425","     212097","         58.97"
"CENTURYPLY","EQ","03-Aug-2017","        283.85","        284.60","        287.50","        273.60","        275.00","        274.60","        276.67","     258705","            71576598.80","       8762","     137378","         53.10"
"CENTURYPLY","EQ","04-Aug-2017","        274.60","        275.95","        276.95","        260.00","        260.60","        260.75","        267.41","     456201","           121992292.35","       9844","     339470","         74.41"
