"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","15-May-2017","       1551.65","       1550.00","       1557.20","       1542.25","       1553.00","       1553.40","       1550.73","     701195","          1087367599.80","      15104","     309282","         44.11"
"HDFCBANK","IL","15-May-2017","       1567.00","       1583.00","       1583.00","       1583.00","-","       1583.00","       1583.00","     342000","           541386000.00","          6","     342000","        100.00"
"HDFCBANK","EQ","16-May-2017","       1553.40","       1555.00","       1562.00","       1548.25","       1561.85","       1559.65","       1555.11","     897594","          1395856787.25","      21073","     347734","         38.74"
"HDFCBANK","EQ","17-May-2017","       1559.65","       1558.80","       1565.40","       1551.50","       1557.50","       1557.15","       1557.51","     868118","          1352102516.90","      32732","     367931","         42.38"
"HDFCBANK","IL","17-May-2017","       1583.00","       1600.00","       1600.00","       1600.00","-","       1600.00","       1600.00","      50000","            80000000.00","          1","      50000","        100.00"
"HDFCBANK","EQ","18-May-2017","       1557.15","       1549.00","       1561.50","       1548.10","       1557.50","       1557.10","       1556.99","     776820","          1209499656.15","      13648","     518101","         66.70"
"HDFCBANK","IL","18-May-2017","       1600.00","       1596.00","       1597.50","       1596.00","-","       1597.00","       1596.99","     680000","          1085951250.00","         15","     680000","        100.00"
"HDFCBANK","EQ","19-May-2017","       1557.10","       1559.50","       1569.90","       1545.25","       1568.05","       1561.25","       1556.93","     713534","          1110925609.25","      18458","     296680","         41.58"
"HDFCBANK","IL","19-May-2017","       1597.00","       1580.00","       1580.00","       1580.00","-","       1580.00","       1580.00","     865000","          1366700000.00","         18","     865000","        100.00"
"HDFCBANK","EQ","22-May-2017","       1561.25","       1565.10","       1580.00","       1563.10","       1579.00","       1576.00","       1572.46","     715013","          1124331912.15","      24974","     413491","         57.83"
"HDFCBANK","EQ","23-May-2017","       1576.00","       1580.00","       1583.55","       1565.00","       1569.00","       1569.10","       1575.09","     770043","          1212889747.95","      17873","     489628","         63.58"
