"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HEROMOTOCO","EQ","15-May-2017","       3541.50","       3541.00","       3558.00","       3504.60","       3518.00","       3515.45","       3519.65","     215587","           758790616.85","      17129","     110769","         51.38"
"HEROMOTOCO","EQ","16-May-2017","       3515.45","       3529.50","       3631.80","       3491.10","       3623.00","       3619.40","       3561.42","     372398","          1326265605.95","      33654","     147610","         39.64"
"HEROMOTOCO","EQ","17-May-2017","       3619.40","       3615.00","       3683.95","       3595.05","       3634.10","       3645.95","       3651.06","     338342","          1235308259.25","      27003","     160855","         47.54"
"HEROMOTOCO","EQ","18-May-2017","       3645.95","       3600.00","       3639.00","       3577.05","       3586.00","       3592.05","       3602.46","     294013","          1059169584.35","      23822","     143430","         48.78"
"HEROMOTOCO","EQ","19-May-2017","       3592.05","       3597.00","       3656.00","       3533.75","       3565.00","       3571.65","       3593.06","     270446","           971728391.00","      26291","     113208","         41.86"
"HEROMOTOCO","EQ","22-May-2017","       3571.65","       3596.75","       3645.00","       3550.95","       3580.15","       3562.45","       3591.90","     255829","           918911777.80","      22156","     119621","         46.76"
"HEROMOTOCO","EQ","23-May-2017","       3562.45","       3593.90","       3619.00","       3550.00","       3579.00","       3585.00","       3584.05","     199447","           714828089.40","      27413","      78193","         39.20"
"HEROMOTOCO","EQ","24-May-2017","       3585.00","       3585.00","       3612.30","       3527.20","       3560.00","       3567.60","       3570.22","     256025","           914065392.85","      39984","     166139","         64.89"
"HEROMOTOCO","EQ","25-May-2017","       3567.60","       3567.60","       3645.25","       3527.15","       3640.00","       3625.85","       3588.29","     253648","           910162981.05","      31288","     124004","         48.89"
"HEROMOTOCO","EQ","26-May-2017","       3625.85","       3626.10","       3660.10","       3605.60","       3620.00","       3618.40","       3636.04","     193039","           701897907.85","      21195","      85002","         44.03"
"HEROMOTOCO","EQ","29-May-2017","       3618.40","       3621.90","       3678.45","       3590.55","       3675.00","       3665.80","       3641.01","     211133","           768738284.25","      16843","      68418","         32.41"
