"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JETAIRWAYS","EQ","15-May-2017","        519.45","        520.00","        533.40","        517.10","        527.80","        527.50","        526.08","    1837033","           966429811.40","      25433","     430754","         23.45"
"JETAIRWAYS","EQ","16-May-2017","        527.50","        527.00","        536.50","        524.65","        534.00","        534.15","        531.79","    1382182","           735036275.45","      23991","     284837","         20.61"
"JETAIRWAYS","EQ","17-May-2017","        534.15","        532.00","        534.75","        526.20","        530.00","        528.90","        529.75","     690466","           365774206.00","      10219","      53551","          7.76"
"JETAIRWAYS","EQ","18-May-2017","        528.90","        525.15","        538.60","        517.50","        517.70","        522.70","        529.55","    1701102","           900810165.80","      25651","     309608","         18.20"
"JETAIRWAYS","EQ","19-May-2017","        522.70","        525.60","        532.90","        517.45","        521.00","        520.40","        524.69","    1272799","           667824672.75","      20409","     257037","         20.19"
"JETAIRWAYS","EQ","22-May-2017","        520.40","        521.70","        525.15","        469.00","        479.50","        475.65","        491.44","    3217513","          1581202627.25","      46980","     659957","         20.51"
"JETAIRWAYS","EQ","23-May-2017","        475.65","        485.00","        489.00","        465.30","        471.90","        472.85","        477.05","    2924779","          1395251624.60","      38240","     255332","          8.73"
"JETAIRWAYS","EQ","24-May-2017","        472.85","        473.30","        479.90","        458.00","        466.00","        464.80","        468.39","    2343019","          1097440973.45","      37266","     402723","         17.19"
"JETAIRWAYS","EQ","25-May-2017","        464.80","        468.10","        473.30","        459.90","        469.70","        468.95","        467.50","    1917412","           896385540.80","      25019","     435427","         22.71"
"JETAIRWAYS","EQ","26-May-2017","        468.95","        477.70","        491.75","        475.10","        483.75","        483.40","        484.19","    2668448","          1292044525.35","      29370","     350943","         13.15"
"JETAIRWAYS","EQ","29-May-2017","        483.40","        481.70","        485.35","        470.00","        476.30","        474.60","        477.85","     949984","           453951592.60","      12123","     111663","         11.75"
"JETAIRWAYS","EQ","30-May-2017","        474.60","        471.00","        475.05","        454.50","        458.00","        459.65","        463.00","    1804222","           835362146.05","      23946","     259546","         14.39"
"JETAIRWAYS","EQ","31-May-2017","        459.65","        439.00","        482.00","        438.25","        478.65","        477.90","        466.81","    8231445","          3842523967.95","      95239","     490441","          5.96"
"JETAIRWAYS","EQ","01-Jun-2017","        477.90","        481.00","        487.50","        467.55","        485.00","        484.50","        477.04","    2948808","          1406713262.50","      41770","     433395","         14.70"
"JETAIRWAYS","EQ","02-Jun-2017","        484.50","        485.00","        489.75","        478.80","        483.80","        484.85","        484.38","    1484965","           719287679.35","      19135","     127407","          8.58"
"JETAIRWAYS","EQ","05-Jun-2017","        484.85","        482.00","        500.50","        479.00","        499.85","        497.15","        490.69","    2013452","           987985368.70","      25179","     259591","         12.89"
"JETAIRWAYS","EQ","06-Jun-2017","        497.15","        502.50","        508.00","        493.20","        497.70","        497.20","        500.25","    2998048","          1499783791.95","      37769","     239330","          7.98"
"JETAIRWAYS","EQ","07-Jun-2017","        497.20","        500.80","        515.40","        496.00","        514.55","        509.10","        504.11","    1886376","           950943309.55","      24059","     376830","         19.98"
"JETAIRWAYS","EQ","08-Jun-2017","        509.10","        524.00","        527.00","        516.00","        520.00","        519.80","        521.62","    3777232","          1970264565.70","      46564","     326511","          8.64"
"JETAIRWAYS","EQ","09-Jun-2017","        519.80","        520.90","        530.50","        514.55","        528.70","        527.95","        523.30","    2236841","          1170539767.70","      30138","     285844","         12.78"
"JETAIRWAYS","EQ","12-Jun-2017","        527.95","        524.00","        538.60","        524.00","        534.80","        534.80","        533.72","    2316549","          1236378972.35","      38546","     322264","         13.91"
"JETAIRWAYS","EQ","13-Jun-2017","        534.80","        535.10","        539.95","        528.30","        529.10","        530.30","        534.91","    1802366","           964101900.45","      23646","     270187","         14.99"
"JETAIRWAYS","EQ","14-Jun-2017","        530.30","        530.20","        536.70","        525.30","        532.90","        532.85","        530.73","    1522657","           808124152.50","      18512","     299241","         19.65"
"JETAIRWAYS","EQ","15-Jun-2017","        532.85","        536.80","        547.00","        532.95","        533.50","        534.30","        540.32","    2706366","          1462299671.85","      31823","     270436","          9.99"
"JETAIRWAYS","EQ","16-Jun-2017","        534.30","        539.45","        545.40","        536.20","        540.00","        540.65","        541.06","    1770157","           957756585.40","      24938","     216143","         12.21"
"JETAIRWAYS","EQ","19-Jun-2017","        540.65","        542.00","        549.40","        541.00","        545.70","        545.00","        545.97","    1457930","           795983986.30","      19677","     190677","         13.08"
"JETAIRWAYS","EQ","20-Jun-2017","        545.00","        548.20","        555.80","        545.50","        549.00","        549.35","        550.41","    1958913","          1078209278.85","      24094","     239044","         12.20"
"JETAIRWAYS","EQ","21-Jun-2017","        549.35","        556.00","        571.80","        553.15","        567.00","        565.65","        564.95","    4328418","          2445354647.50","      50121","     618828","         14.30"
"JETAIRWAYS","EQ","22-Jun-2017","        565.65","        570.80","        576.00","        565.55","        568.00","        568.45","        572.28","    2207590","          1263366680.35","      35713","     290296","         13.15"
"JETAIRWAYS","EQ","23-Jun-2017","        568.45","        572.00","        572.85","        549.50","        559.95","        558.55","        560.09","    1972589","          1104819779.65","      25870","     212648","         10.78"
"JETAIRWAYS","EQ","27-Jun-2017","        558.55","        560.00","        562.45","        547.65","        553.20","        552.30","        553.03","     970063","           536471328.90","      13910","     138865","         14.32"
"JETAIRWAYS","EQ","28-Jun-2017","        552.30","        549.30","        572.50","        544.40","        571.80","        569.35","        561.02","    2742480","          1538596694.75","      34619","     454812","         16.58"
"JETAIRWAYS","EQ","29-Jun-2017","        569.35","        573.05","        577.85","        566.20","        568.80","        569.40","        571.15","    1981170","          1131536128.00","      25918","     216605","         10.93"
"JETAIRWAYS","EQ","30-Jun-2017","        569.40","        566.40","        567.00","        552.40","        562.05","        564.05","        560.25","    1459570","           817720467.30","      16370","     132403","          9.07"
"JETAIRWAYS","EQ","03-Jul-2017","        564.05","        566.00","        589.20","        553.15","        583.45","        582.90","        571.54","    2780579","          1589224927.90","      31802","     220889","          7.94"
"JETAIRWAYS","EQ","04-Jul-2017","        582.90","        585.05","        588.00","        573.65","        576.50","        577.50","        580.48","    2228908","          1293826859.40","      27053","     165896","          7.44"
"JETAIRWAYS","EQ","05-Jul-2017","        577.50","        578.90","        584.00","        571.10","        582.00","        582.05","        577.53","    1548300","           894189931.55","      18279","     117603","          7.60"
"JETAIRWAYS","EQ","06-Jul-2017","        582.05","        583.00","        596.70","        581.00","        592.45","        591.95","        590.35","    2659254","          1569879031.55","      33873","     307849","         11.58"
"JETAIRWAYS","EQ","07-Jul-2017","        591.95","        594.30","        598.00","        585.35","        588.80","        590.70","        590.87","    1622824","           958878955.85","      20345","     178970","         11.03"
"JETAIRWAYS","EQ","10-Jul-2017","        590.70","        602.00","        607.70","        589.05","        607.00","        605.95","        601.94","     835908","           503170520.60","      10121","     120619","         14.43"
"JETAIRWAYS","EQ","11-Jul-2017","        605.95","        615.45","        624.00","        603.00","        604.60","        605.10","        614.39","    3299965","          2027475871.75","      43606","     294094","          8.91"
"JETAIRWAYS","EQ","12-Jul-2017","        605.10","        605.10","        611.95","        596.20","        608.15","        609.70","        605.46","    1728744","          1046678881.20","      25516","     161963","          9.37"
"JETAIRWAYS","EQ","13-Jul-2017","        609.70","        611.00","        617.75","        606.70","        615.10","        614.75","        611.88","    1540588","           942648842.45","      21265","     262288","         17.03"
"JETAIRWAYS","EQ","14-Jul-2017","        614.75","        617.50","        621.80","        607.10","        616.50","        617.05","        614.74","    1492805","           917688175.00","      20390","     164157","         11.00"
"JETAIRWAYS","EQ","17-Jul-2017","        617.05","        616.50","        621.95","        608.00","        608.95","        611.40","        616.52","    1263636","           779052534.15","      17892","     208934","         16.53"
"JETAIRWAYS","EQ","18-Jul-2017","        611.40","        607.00","        615.90","        603.30","        606.00","        605.35","        609.38","    1164357","           709539353.05","      14460","      96323","          8.27"
"JETAIRWAYS","EQ","19-Jul-2017","        605.35","        609.35","        613.95","        605.10","        609.25","        609.70","        609.24","     816229","           497280600.65","      11584","     102268","         12.53"
"JETAIRWAYS","EQ","20-Jul-2017","        609.70","        608.90","        609.00","        590.30","        590.80","        591.90","        598.27","    1186503","           709843841.80","      17073","     210507","         17.74"
"JETAIRWAYS","EQ","21-Jul-2017","        591.90","        590.00","        601.90","        580.00","        592.80","        597.15","        589.87","    1459221","           860754385.30","      23258","     152708","         10.47"
"JETAIRWAYS","EQ","24-Jul-2017","        597.15","        590.00","        605.80","        590.00","        597.55","        598.55","        599.67","    1177712","           706238996.45","      17612","     114029","          9.68"
"JETAIRWAYS","EQ","25-Jul-2017","        598.55","        599.80","        601.00","        584.00","        586.25","        587.40","        592.64","    1076403","           637915821.40","      16736","     201189","         18.69"
"JETAIRWAYS","EQ","26-Jul-2017","        587.40","        585.00","        593.50","        582.10","        585.30","        584.90","        587.80","     963499","           566342661.60","      15908","      94825","          9.84"
"JETAIRWAYS","EQ","27-Jul-2017","        584.90","        587.60","        587.80","        571.50","        572.70","        573.55","        580.10","    1064637","           617592427.55","      15818","     121045","         11.37"
"JETAIRWAYS","EQ","28-Jul-2017","        573.55","        572.00","        599.75","        568.40","        597.05","        596.25","        588.23","    2347037","          1380597695.45","      29907","     311635","         13.28"
"JETAIRWAYS","EQ","31-Jul-2017","        596.25","        598.75","        603.70","        592.10","        596.00","        596.70","        598.08","    1119540","           669579183.60","      15270","      87555","          7.82"
"JETAIRWAYS","EQ","01-Aug-2017","        596.70","        602.10","        607.00","        592.20","        592.75","        595.50","        599.46","    1257476","           753809769.50","      17555","     123407","          9.81"
"JETAIRWAYS","EQ","02-Aug-2017","        595.50","        597.00","        601.00","        588.45","        590.75","        591.35","        594.91","     907780","           540050345.50","      17318","     105807","         11.66"
"JETAIRWAYS","EQ","03-Aug-2017","        591.35","        592.90","        599.00","        584.05","        584.75","        588.15","        592.05","    1121303","           663871926.65","      16539","     189295","         16.88"
"JETAIRWAYS","EQ","04-Aug-2017","        588.15","        589.00","        614.00","        584.05","        614.00","        609.40","        599.93","    1421406","           852743935.35","      27201","     223860","         15.75"
"JETAIRWAYS","EQ","07-Aug-2017","        609.40","        615.00","        637.35","        610.10","        633.50","        633.90","        624.18","    2693245","          1681063466.70","      37553","     336083","         12.48"
"JETAIRWAYS","EQ","08-Aug-2017","        633.90","        630.15","        646.00","        626.10","        631.25","        630.20","        636.81","    2991187","          1904829240.45","      37052","     197588","          6.61"
"JETAIRWAYS","EQ","09-Aug-2017","        630.20","        628.90","        636.75","        609.10","        612.60","        613.70","        625.47","    1480023","           925712415.40","      23967","     140666","          9.50"
"JETAIRWAYS","EQ","10-Aug-2017","        613.70","        615.00","        615.00","        550.30","        562.00","        560.30","        576.02","    3028441","          1744432917.50","      38516","     440906","         14.56"
"JETAIRWAYS","EQ","11-Aug-2017","        560.30","        546.90","        575.40","        517.00","        555.25","        557.30","        555.38","    2382960","          1323443486.35","      28586","     259213","         10.88"
"JETAIRWAYS","EQ","14-Aug-2017","        557.30","        562.80","        571.50","        558.65","        564.05","        564.70","        565.90","    1381147","           781585885.80","      15682","      96071","          6.96"
"JETAIRWAYS","EQ","16-Aug-2017","        564.70","        568.00","        592.00","        560.80","        585.55","        587.05","        582.56","    2490425","          1450827196.55","      30165","     166857","          6.70"
"JETAIRWAYS","EQ","17-Aug-2017","        587.05","        591.95","        602.95","        586.50","        591.55","        591.20","        595.88","    1407443","           838668437.20","      19258","     118886","          8.45"
"JETAIRWAYS","EQ","18-Aug-2017","        591.20","        588.80","        590.90","        568.95","        579.00","        580.25","        579.81","    1397501","           810291883.90","      19834","      79244","          5.67"
"JETAIRWAYS","EQ","21-Aug-2017","        580.25","        578.25","        578.25","        553.70","        562.40","        559.85","        563.66","    1699952","           958199537.40","      23202","     225822","         13.28"
"JETAIRWAYS","EQ","22-Aug-2017","        559.85","        563.00","        568.60","        546.35","        559.90","        556.75","        558.07","    1571820","           877180895.75","      22572","      95526","          6.08"
"JETAIRWAYS","EQ","23-Aug-2017","        556.75","        560.00","        578.20","        557.20","        572.80","        574.40","        568.80","    1461328","           831210600.30","      22093","     110877","          7.59"
"JETAIRWAYS","EQ","24-Aug-2017","        574.40","        570.25","        576.25","        566.10","        574.10","        574.25","        571.29","    1351241","           771949994.30","      20082","      70107","          5.19"
"JETAIRWAYS","EQ","28-Aug-2017","        574.25","        574.20","        584.90","        570.65","        573.05","        574.60","        578.59","    1095329","           633742599.70","      15134","      90460","          8.26"
"JETAIRWAYS","EQ","29-Aug-2017","        574.60","        569.50","        572.35","        543.80","        545.50","        545.70","        555.86","    2651717","          1473973353.10","      39079","     373668","         14.09"
"JETAIRWAYS","EQ","30-Aug-2017","        545.70","        546.05","        564.65","        546.05","        559.05","        560.50","        556.11","    2409777","          1340089930.35","      33649","     193460","          8.03"
"JETAIRWAYS","EQ","31-Aug-2017","        560.50","        563.35","        582.60","        556.40","        579.00","        578.50","        569.09","    2562094","          1458052095.20","      32049","     301373","         11.76"
"JETAIRWAYS","EQ","01-Sep-2017","        578.50","        579.00","        584.95","        572.00","        577.40","        578.35","        578.88","    1396558","           808442799.95","      16588","     101850","          7.29"
"JETAIRWAYS","EQ","04-Sep-2017","        578.35","        575.60","        576.15","        559.60","        568.60","        569.80","        567.76","    1370547","           778142459.50","      17150","      67818","          4.95"
"JETAIRWAYS","EQ","05-Sep-2017","        569.80","        571.00","        582.80","        569.10","        577.00","        576.65","        577.70","    1183092","           683477664.80","      16380","      91883","          7.77"
"JETAIRWAYS","EQ","06-Sep-2017","        576.65","        576.90","        584.90","        571.00","        581.00","        580.60","        580.63","    1335688","           775541455.15","      16499","      95272","          7.13"
"JETAIRWAYS","EQ","07-Sep-2017","        580.60","        590.00","        597.55","        574.05","        576.00","        578.80","        587.75","    2225924","          1308285319.35","      23876","     483186","         21.71"
"JETAIRWAYS","EQ","08-Sep-2017","        578.80","        580.70","        586.80","        565.30","        567.00","        569.85","        574.90","    1555956","           894516332.80","      21339","     182593","         11.74"
"JETAIRWAYS","EQ","11-Sep-2017","        569.85","        572.95","        582.90","        568.50","        574.00","        572.85","        576.60","    1381124","           796357234.15","      20641","     125806","          9.11"
"JETAIRWAYS","EQ","12-Sep-2017","        572.85","        578.75","        589.00","        574.70","        581.90","        582.00","        581.43","    1719228","           999616598.80","      25138","     151898","          8.84"
"JETAIRWAYS","EQ","13-Sep-2017","        582.00","        583.00","        588.50","        572.70","        577.50","        574.95","        580.91","    2181565","          1267293601.20","      28212","     143381","          6.57"
"JETAIRWAYS","EQ","14-Sep-2017","        574.95","        576.00","        582.60","        574.00","        576.80","        576.80","        578.01","     736555","           425735129.85","      14977","      71206","          9.67"
"JETAIRWAYS","EQ","15-Sep-2017","        576.80","        574.00","        574.00","        561.10","        566.00","        566.00","        566.22","    1420827","           804502436.30","      25807","     259016","         18.23"
"JETAIRWAYS","EQ","18-Sep-2017","        566.00","        567.55","        574.90","        555.50","        559.50","        558.55","        562.58","    1289217","           725289769.45","      16212","     391468","         30.36"
"JETAIRWAYS","EQ","19-Sep-2017","        558.55","        562.00","        565.00","        553.05","        555.40","        555.80","        558.40","    1366823","           763238016.35","      27052","     255791","         18.71"
"JETAIRWAYS","EQ","20-Sep-2017","        555.80","        557.00","        559.45","        546.20","        548.80","        547.95","        552.21","     742118","           409805637.90","      14351","     186964","         25.19"
"JETAIRWAYS","EQ","21-Sep-2017","        547.95","        549.00","        549.00","        534.70","        537.00","        537.95","        540.30","    1293955","           699126288.75","      20782","     344625","         26.63"
"JETAIRWAYS","EQ","22-Sep-2017","        537.95","        533.00","        534.00","        506.80","        507.95","        509.15","        520.36","    1504820","           783045044.50","      23055","     329452","         21.89"
"JETAIRWAYS","EQ","25-Sep-2017","        509.15","        509.35","        510.00","        492.00","        498.00","        497.45","        497.68","    1477952","           735550289.90","      32762","     304752","         20.62"
"JETAIRWAYS","EQ","26-Sep-2017","        497.45","        495.10","        495.10","        476.10","        480.50","        481.55","        482.57","    2366540","          1142024977.25","      43646","     221722","          9.37"
"JETAIRWAYS","EQ","27-Sep-2017","        481.55","        483.00","        491.00","        466.40","        471.10","        469.60","        481.71","    1662165","           800678436.80","      36352","     153315","          9.22"
"JETAIRWAYS","EQ","28-Sep-2017","        469.60","        474.00","        481.60","        466.65","        479.50","        478.80","        475.34","    1669963","           793807328.00","      21948","     137318","          8.22"
"JETAIRWAYS","EQ","29-Sep-2017","        478.80","        472.60","        488.00","        470.50","        481.15","        481.85","        481.34","    1652549","           795444118.30","      27230","     234721","         14.20"
"JETAIRWAYS","EQ","03-Oct-2017","        481.85","        480.40","        486.55","        465.20","        471.20","        469.30","        475.48","    1689145","           803151796.10","      22094","     182986","         10.83"
"JETAIRWAYS","EQ","04-Oct-2017","        469.30","        473.95","        478.80","        470.40","        475.80","        473.90","        474.71","    1116472","           529996740.75","      16627","     108691","          9.74"
"JETAIRWAYS","EQ","05-Oct-2017","        473.90","        478.40","        494.50","        474.40","        488.75","        489.10","        487.75","    2317462","          1130350055.60","      28548","     232274","         10.02"
"JETAIRWAYS","EQ","06-Oct-2017","        489.10","        492.15","        494.00","        484.05","        488.00","        488.95","        489.41","    1475093","           721924524.45","      18294","     123326","          8.36"
"JETAIRWAYS","EQ","09-Oct-2017","        488.95","        494.95","        497.20","        489.00","        493.60","        492.45","        493.44","     923561","           455725345.95","      14211","      94593","         10.24"
"JETAIRWAYS","EQ","10-Oct-2017","        492.45","        493.50","        501.55","        486.70","        494.00","        492.15","        495.23","    1153393","           571199729.25","      16980","     136917","         11.87"
"JETAIRWAYS","EQ","11-Oct-2017","        492.15","        495.70","        502.60","        476.95","        477.75","        480.60","        492.59","    1532883","           755086805.10","      25078","     206744","         13.49"
