"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MINDTREE","EQ","15-May-2017","        510.60","        507.35","        515.00","        505.90","        510.50","        509.45","        510.39","     271952","           138800509.75","       8261","     100362","         36.90"
"MINDTREE","EQ","16-May-2017","        509.45","        507.00","        515.85","        506.00","        511.00","        511.30","        512.69","     207011","           106131728.20","       5550","      82090","         39.65"
"MINDTREE","EQ","17-May-2017","        511.30","        507.05","        519.70","        502.75","        504.00","        506.35","        512.10","     391401","           200437504.60","      13341","     150098","         38.35"
"MINDTREE","EQ","18-May-2017","        506.35","        502.00","        516.75","        486.00","        487.50","        492.90","        505.60","     852336","           430937717.05","      18513","     170919","         20.05"
"MINDTREE","EQ","19-May-2017","        492.90","        491.95","        502.95","        489.50","        495.15","        497.50","        496.43","     352273","           174878151.50","       8326","      57853","         16.42"
"MINDTREE","EQ","22-May-2017","        497.50","        499.95","        511.85","        497.10","        501.55","        502.35","        504.78","     399974","           201899898.35","       9779","     107089","         26.77"
"MINDTREE","EQ","23-May-2017","        502.35","        504.00","        507.45","        491.00","        498.00","        501.15","        498.72","     452893","           225866353.65","       8567","     198703","         43.87"
"MINDTREE","EQ","24-May-2017","        501.15","        502.00","        515.00","        494.05","        511.95","        509.95","        506.72","     823967","           417521056.90","      15083","     351179","         42.62"
"MINDTREE","EQ","25-May-2017","        509.95","        513.70","        549.50","        508.45","        542.50","        543.90","        532.14","    1632427","           868682873.00","      25072","     693340","         42.47"
"MINDTREE","EQ","26-May-2017","        543.90","        540.00","        544.00","        532.00","        533.45","        535.20","        537.15","     461613","           247953805.90","      12606","     113087","         24.50"
"MINDTREE","EQ","29-May-2017","        535.20","        532.50","        552.05","        521.60","        529.15","        530.55","        535.83","     718355","           384914121.10","      19256","     173854","         24.20"
"MINDTREE","EQ","30-May-2017","        530.55","        530.55","        540.00","        524.00","        535.60","        537.40","        535.40","     475566","           254620399.25","      11648","     186388","         39.19"
"MINDTREE","EQ","31-May-2017","        537.40","        540.00","        549.80","        534.50","        546.05","        543.95","        543.99","     617800","           336076783.45","      18504","     234480","         37.95"
"MINDTREE","EQ","01-Jun-2017","        543.95","        545.05","        549.00","        535.00","        538.00","        537.40","        540.08","     504801","           272634250.60","      18409","     182246","         36.10"
"MINDTREE","EQ","02-Jun-2017","        537.40","        537.80","        543.80","        533.10","        539.90","        539.90","        539.28","     312022","           168268100.80","       6951","     139538","         44.72"
"MINDTREE","EQ","05-Jun-2017","        539.90","        540.00","        560.00","        536.30","        555.85","        557.45","        552.59","     960839","           530948103.85","      34305","     367704","         38.27"
"MINDTREE","EQ","06-Jun-2017","        557.45","        560.00","        565.90","        544.40","        546.00","        546.70","        557.59","     931646","           519479225.90","      28291","     241092","         25.88"
"MINDTREE","EQ","07-Jun-2017","        546.70","        549.50","        556.10","        513.55","        534.90","        536.90","        534.96","     957153","           512035924.15","      18469","     250862","         26.21"
"MINDTREE","EQ","08-Jun-2017","        536.90","        538.50","        546.35","        528.00","        542.80","        543.50","        539.33","     459527","           247838052.80","       9138","     138735","         30.19"
"MINDTREE","EQ","09-Jun-2017","        543.50","        542.00","        542.75","        534.15","        537.05","        538.75","        538.62","     229279","           123494625.55","       7087","      87478","         38.15"
"MINDTREE","EQ","12-Jun-2017","        538.75","        536.10","        544.55","        528.05","        539.00","        539.80","        538.19","     379066","           204010845.35","       9623","      98241","         25.92"
"MINDTREE","EQ","13-Jun-2017","        539.80","        540.90","        542.35","        530.20","        532.00","        531.80","        536.98","     320855","           172291144.95","      12246","      97230","         30.30"
"MINDTREE","EQ","14-Jun-2017","        531.80","        531.70","        536.75","        516.45","        523.50","        523.30","        523.37","     671432","           351407049.65","       9066","     317335","         47.26"
"MINDTREE","EQ","15-Jun-2017","        523.30","        521.05","        523.75","        515.05","        515.65","        517.85","        520.28","     210643","           109592788.85","       5216","      66819","         31.72"
"MINDTREE","EQ","16-Jun-2017","        517.85","        518.05","        525.45","        511.15","        514.90","        514.95","        518.36","     385256","           199702494.70","       6706","     116377","         30.21"
"MINDTREE","EQ","19-Jun-2017","        514.95","        518.70","        520.45","        511.60","        515.20","        515.90","        516.15","     188878","            97488450.90","       4159","      31231","         16.54"
"MINDTREE","EQ","20-Jun-2017","        515.90","        516.00","        525.00","        516.00","        519.05","        519.75","        520.97","     442425","           230490111.30","      11450","     226523","         51.20"
"MINDTREE","EQ","21-Jun-2017","        519.75","        517.85","        524.00","        515.05","        519.90","        519.60","        520.65","     414457","           215787296.90","      14034","     188443","         45.47"
"MINDTREE","EQ","22-Jun-2017","        519.60","        520.00","        530.85","        518.25","        521.05","        521.00","        525.40","     403163","           211820055.15","       7914","      95596","         23.71"
"MINDTREE","EQ","23-Jun-2017","        521.00","        531.95","        537.50","        525.00","        532.00","        532.00","        531.87","    1238632","           658793281.85","      22835","     220177","         17.78"
"MINDTREE","EQ","27-Jun-2017","        532.00","        537.00","        540.00","        516.05","        526.05","        526.65","        528.98","     699296","           369910443.50","      15285","     221803","         31.72"
"MINDTREE","EQ","28-Jun-2017","        526.65","        525.00","        534.00","        520.55","        529.95","        531.10","        529.33","     336692","           178221369.50","       7826","      73242","         21.75"
"MINDTREE","EQ","29-Jun-2017","        531.10","        548.70","        548.70","        525.30","        527.00","        528.70","        533.11","    2877419","          1533985313.85","      37587","    1395145","         48.49"
"MINDTREE","EQ","30-Jun-2017","        528.70","        529.10","        532.00","        523.00","        530.90","        529.00","        527.44","     470377","           248097623.90","       7901","     245563","         52.21"
"MINDTREE","EQ","03-Jul-2017","        529.00","        530.90","        534.00","        525.10","        529.00","        529.05","        528.71","     823697","           435494658.55","      17213","     486031","         59.01"
