"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NBCC","EQ","15-May-2017","        194.25","        194.50","        198.65","        194.50","        198.30","        197.60","        196.41","     514453","           101045645.85","       4624","     228886","         44.49"
"NBCC","EQ","16-May-2017","        197.60","        198.00","        199.95","        196.20","        199.00","        198.25","        198.16","     623932","           123640647.80","      10242","     253139","         40.57"
"NBCC","EQ","17-May-2017","        198.25","        198.60","        202.95","        197.00","        200.60","        200.35","        200.41","    1919273","           384642411.75","      23920","     841130","         43.83"
"NBCC","EQ","18-May-2017","        200.35","        197.00","        199.25","        193.50","        193.60","        194.20","        196.20","     786742","           154356715.90","       7908","     398233","         50.62"
"NBCC","EQ","19-May-2017","        194.20","        196.00","        197.75","        192.50","        193.50","        193.55","        194.92","     585718","           114170576.25","       6411","     217995","         37.22"
"NBCC","EQ","22-May-2017","        193.55","        195.20","        196.00","        188.10","        189.00","        189.20","        191.58","     967519","           185355739.45","       9651","     501747","         51.86"
"NBCC","EQ","23-May-2017","        189.20","        187.20","        188.25","        178.20","        181.00","        180.95","        182.94","    1203078","           220090177.85","      12737","     527011","         43.81"
"NBCC","EQ","24-May-2017","        180.95","        181.80","        185.00","        178.70","        181.80","        180.65","        182.17","    1119511","           203940473.15","      11612","     513704","         45.89"
"NBCC","EQ","25-May-2017","        180.65","        182.00","        188.70","        181.75","        186.75","        186.95","        186.08","    1159454","           215747272.60","      11713","     520120","         44.86"
"NBCC","EQ","26-May-2017","        186.95","        189.00","        196.20","        188.45","        196.15","        194.70","        193.72","    1964565","           380573571.25","      14281","     689109","         35.08"
"NBCC","EQ","29-May-2017","        194.70","        198.00","        199.50","        193.50","        194.60","        194.90","        196.26","    2262374","           444009850.25","      16537","     885396","         39.14"
"NBCC","EQ","30-May-2017","        194.90","        193.20","        196.70","        189.65","        196.00","        196.10","        194.21","    1361403","           264403311.50","      12695","     574062","         42.17"
"NBCC","EQ","31-May-2017","        196.10","        195.90","        197.40","        192.70","        195.40","        194.95","        195.26","     467123","            91208681.65","       8774","     188043","         40.26"
"NBCC","EQ","01-Jun-2017","        194.95","        193.00","        194.90","        190.50","        193.35","        193.45","        193.25","     475100","            91811932.70","       4522","     146890","         30.92"
"NBCC","EQ","02-Jun-2017","        193.45","        195.25","        198.50","        194.30","        195.40","        195.65","        196.36","    1119595","           219839439.30","      10661","     316308","         28.25"
"NBCC","EQ","05-Jun-2017","        195.65","        195.00","        203.80","        195.00","        203.50","        201.15","        199.59","    2218936","           442880404.60","      16283","    1156154","         52.10"
"NBCC","EQ","06-Jun-2017","        201.15","        206.50","        208.55","        201.25","        202.20","        202.25","        204.71","    3198706","           654797232.90","      27653","     877174","         27.42"
"NBCC","EQ","07-Jun-2017","        202.25","        202.50","        203.45","        199.85","        201.30","        200.90","        201.23","     717153","           144313347.40","       7457","     258410","         36.03"
"NBCC","EQ","08-Jun-2017","        200.90","        203.00","        203.00","        198.05","        198.40","        198.40","        199.06","     638129","           127029064.95","       6665","     312354","         48.95"
"NBCC","EQ","09-Jun-2017","        198.40","        198.10","        200.80","        196.10","        198.35","        198.55","        198.66","     636230","           126393989.35","       5639","     228767","         35.96"
