"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PVR","EQ","15-May-2017","       1526.20","       1532.35","       1538.15","       1515.45","       1520.00","       1524.95","       1526.51","     103693","           158288331.55","       7359","      54518","         52.58"
"PVR","EQ","16-May-2017","       1524.95","       1526.70","       1545.00","       1526.65","       1533.25","       1539.00","       1538.04","      86547","           133112885.80","       6332","      39020","         45.09"
"PVR","EQ","17-May-2017","       1539.00","       1539.70","       1552.85","       1526.05","       1527.00","       1530.30","       1538.01","      73902","           113662177.50","       4665","      21303","         28.83"
"PVR","EQ","18-May-2017","       1530.30","       1525.00","       1539.35","       1502.20","       1514.90","       1515.05","       1519.68","      82125","           124803466.60","       2903","      38796","         47.24"
"PVR","EQ","19-May-2017","       1515.05","       1515.00","       1534.50","       1502.20","       1517.65","       1513.55","       1513.25","     114890","           173856728.50","       9495","      54764","         47.67"
"PVR","EQ","22-May-2017","       1513.55","       1498.45","       1522.00","       1397.05","       1492.00","       1481.00","       1473.33","     449726","           662596699.10","      29357","     179657","         39.95"
"PVR","EQ","23-May-2017","       1481.00","       1492.00","       1515.00","       1445.50","       1497.00","       1496.45","       1476.70","     318619","           470503326.40","       9260","     179663","         56.39"
"PVR","EQ","24-May-2017","       1496.45","       1490.00","       1530.05","       1444.15","       1452.00","       1450.00","       1484.30","     107642","           159772570.95","       5923","      33688","         31.30"
"PVR","EQ","25-May-2017","       1450.00","       1450.00","       1474.75","       1439.05","       1474.75","       1461.15","       1456.94","     114328","           166568939.30","       3930","      53461","         46.76"
"PVR","EQ","26-May-2017","       1461.15","       1463.10","       1498.00","       1451.00","       1475.00","       1471.50","       1473.70","     129323","           190583763.05","       7326","      37335","         28.87"
"PVR","EQ","29-May-2017","       1471.50","       1460.05","       1485.20","       1460.05","       1470.15","       1472.85","       1470.23","      82565","           121389935.60","       2761","      37285","         45.16"
"PVR","EQ","30-May-2017","       1472.85","       1470.00","       1487.90","       1425.05","       1447.50","       1447.90","       1455.43","     205277","           298765989.55","       9267","      25865","         12.60"
"PVR","EQ","31-May-2017","       1447.90","       1440.10","       1518.00","       1440.10","       1449.05","       1454.95","       1477.74","     225319","           332962606.95","      14074","      77117","         34.23"
"PVR","EQ","01-Jun-2017","       1454.95","       1452.00","       1469.70","       1452.00","       1455.00","       1455.70","       1459.95","      59522","            86899074.30","       3090","      23335","         39.20"
"PVR","EQ","02-Jun-2017","       1455.70","       1457.30","       1466.90","       1452.35","       1460.00","       1457.80","       1462.45","      55880","            81721545.75","       2865","      29238","         52.32"
"PVR","EQ","05-Jun-2017","       1457.80","       1458.90","       1464.65","       1440.00","       1444.00","       1442.25","       1452.10","     102733","           149178094.45","       4617","      51065","         49.71"
"PVR","EQ","06-Jun-2017","       1442.25","       1445.00","       1447.45","       1378.85","       1390.00","       1392.85","       1411.78","     210916","           297766684.65","      16465","      89785","         42.57"
"PVR","EQ","07-Jun-2017","       1392.85","       1391.10","       1409.00","       1387.00","       1400.00","       1400.70","       1400.17","     165824","           232182354.95","       7911","      70517","         42.53"
"PVR","EQ","08-Jun-2017","       1400.70","       1400.70","       1498.50","       1382.30","       1461.00","       1454.00","       1465.71","     596919","           874912535.05","      21846","     142853","         23.93"
"PVR","EQ","09-Jun-2017","       1454.00","       1465.00","       1479.85","       1443.00","       1470.00","       1472.25","       1471.65","     403598","           593954013.45","      18344","     241292","         59.79"
"PVR","EQ","12-Jun-2017","       1472.25","       1477.00","       1507.00","       1470.00","       1495.00","       1488.95","       1492.22","     306349","           457140136.25","      17326","      98821","         32.26"
"PVR","EQ","13-Jun-2017","       1488.95","       1490.55","       1505.00","       1474.00","       1500.00","       1496.30","       1489.41","     195198","           290729706.20","       8620","     101610","         52.05"
"PVR","EQ","14-Jun-2017","       1496.30","       1505.50","       1550.00","       1490.60","       1522.00","       1522.50","       1516.74","     221887","           336544508.35","      10671","      76207","         34.34"
"PVR","EQ","15-Jun-2017","       1522.50","       1525.00","       1537.20","       1515.00","       1522.00","       1523.50","       1524.31","     108982","           166122862.90","       5764","      36017","         33.05"
"PVR","EQ","16-Jun-2017","       1523.50","       1521.25","       1575.00","       1521.25","       1569.25","       1564.15","       1554.11","     253525","           394006172.25","       9899","     122687","         48.39"
"PVR","EQ","19-Jun-2017","       1564.15","       1570.00","       1589.95","       1545.00","       1563.10","       1569.90","       1567.24","     192244","           301291606.95","      11220","      63040","         32.79"
