"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAYMOND","EQ","15-May-2017","        763.45","        765.00","        779.00","        757.05","        773.90","        772.80","        770.09","     292498","           225249137.55","       9033","      55467","         18.96"
"RAYMOND","EQ","16-May-2017","        772.80","        773.45","        801.45","        768.10","        783.50","        785.00","        788.89","     823956","           650006994.60","      18238","     179377","         21.77"
"RAYMOND","EQ","17-May-2017","        785.00","        786.00","        804.95","        778.40","        785.50","        783.65","        792.72","     598094","           474121199.80","      13968","     127637","         21.34"
"RAYMOND","EQ","18-May-2017","        783.65","        779.35","        779.95","        740.20","        744.00","        746.95","        762.57","     319834","           243895555.80","       7713","      92200","         28.83"
"RAYMOND","EQ","19-May-2017","        746.95","        748.00","        767.50","        714.00","        722.00","        723.10","        740.30","     561346","           415561909.40","      13328","     137648","         24.52"
"RAYMOND","EQ","22-May-2017","        723.10","        728.30","        741.30","        705.50","        710.60","        715.95","        724.56","     384821","           278826926.40","      11424","      51189","         13.30"
"RAYMOND","EQ","23-May-2017","        715.95","        713.00","        723.80","        681.25","        698.25","        699.55","        699.33","     501206","           350509713.70","      12935","     126651","         25.27"
"RAYMOND","EQ","24-May-2017","        699.55","        704.90","        705.50","        642.20","        667.00","        662.25","        674.73","     591516","           399116303.75","      16424","     141211","         23.87"
"RAYMOND","EQ","25-May-2017","        662.25","        630.00","        686.25","        598.10","        682.90","        678.30","        651.28","    2850149","          1856244030.60","      54827","     315039","         11.05"
"RAYMOND","EQ","26-May-2017","        678.30","        681.70","        733.90","        679.65","        718.65","        721.15","        710.37","    1455736","          1034107349.70","      32550","     237806","         16.34"
"RAYMOND","EQ","29-May-2017","        721.15","        721.95","        732.00","        690.80","        695.70","        695.50","        709.20","     410356","           291026256.55","      11904","      55650","         13.56"
"RAYMOND","EQ","30-May-2017","        695.50","        692.90","        700.00","        679.10","        694.00","        695.45","        692.08","     328214","           227148924.10","       8238","      54841","         16.71"
"RAYMOND","EQ","31-May-2017","        695.45","        695.00","        720.00","        691.20","        694.90","        694.20","        704.84","     495558","           349288831.55","      12826","     120266","         24.27"
"RAYMOND","EQ","01-Jun-2017","        694.20","        696.00","        708.80","        674.10","        693.50","        693.90","        697.14","     378903","           264146785.75","      10342","      51076","         13.48"
"RAYMOND","EQ","02-Jun-2017","        693.90","        707.80","        714.50","        697.40","        702.10","        702.65","        706.31","     426635","           301334551.60","       9861","      64055","         15.01"
"RAYMOND","EQ","05-Jun-2017","        702.65","        705.10","        757.00","        705.00","        749.45","        751.25","        739.27","    1863074","          1377323053.35","      36896","     201205","         10.80"
"RAYMOND","EQ","06-Jun-2017","        751.25","        756.00","        759.50","        721.30","        729.15","        728.45","        741.59","    1165454","           864293244.40","      25036","     171125","         14.68"
"RAYMOND","EQ","07-Jun-2017","        728.45","        730.00","        741.80","        721.00","        725.00","        729.05","        731.45","     530090","           387736821.50","      11395","     202308","         38.16"
"RAYMOND","EQ","08-Jun-2017","        729.05","        726.40","        737.80","        721.50","        733.00","        733.50","        731.23","     308103","           225293151.90","      10843","      63597","         20.64"
"RAYMOND","EQ","09-Jun-2017","        733.50","        734.50","        736.45","        725.55","        729.00","        732.10","        729.90","     194159","           141717097.70","       5991","      49516","         25.50"
"RAYMOND","EQ","12-Jun-2017","        732.10","        731.55","        741.55","        713.05","        719.75","        717.70","        726.26","     298904","           217082904.20","      10033","      52812","         17.67"
"RAYMOND","EQ","13-Jun-2017","        717.70","        723.00","        747.50","        718.60","        731.40","        730.85","        735.79","     966568","           711188681.60","      25790","     114480","         11.84"
"RAYMOND","EQ","14-Jun-2017","        730.85","        713.55","        730.05","        703.80","        727.00","        721.60","        713.36","     853674","           608979192.90","      19312","      95684","         11.21"
"RAYMOND","EQ","15-Jun-2017","        721.60","        723.00","        738.75","        720.00","        731.60","        729.90","        730.65","     410749","           300114891.95","      11669","      58513","         14.25"
"RAYMOND","EQ","16-Jun-2017","        729.90","        732.00","        749.90","        730.55","        740.00","        739.95","        744.27","     868955","           646737621.60","      19109","     123650","         14.23"
"RAYMOND","EQ","19-Jun-2017","        739.95","        740.10","        749.30","        729.25","        735.00","        731.70","        738.40","     233023","           172065179.15","       7083","      48854","         20.97"
"RAYMOND","EQ","20-Jun-2017","        731.70","        732.90","        746.05","        732.00","        736.00","        735.35","        740.11","     344875","           255245789.05","       8902","      50566","         14.66"
"RAYMOND","EQ","21-Jun-2017","        735.35","        732.10","        752.50","        732.10","        745.90","        743.40","        744.80","     551585","           410820800.45","      13993","      97101","         17.60"
"RAYMOND","EQ","22-Jun-2017","        743.40","        747.00","        752.00","        726.15","        731.00","        731.00","        740.85","     263233","           195014866.70","       8303","      54661","         20.77"
"RAYMOND","EQ","23-Jun-2017","        731.00","        734.00","        738.30","        707.05","        714.00","        712.30","        719.69","     321669","           231503530.85","       9108","      64125","         19.94"
"RAYMOND","EQ","27-Jun-2017","        712.30","        716.00","        722.40","        692.05","        700.00","        699.80","        702.36","     356308","           250254743.00","      10039","      60683","         17.03"
"RAYMOND","EQ","28-Jun-2017","        699.80","        702.00","        721.00","        701.25","        714.00","        714.30","        712.02","     688127","           489962738.15","      19307","     195108","         28.35"
"RAYMOND","EQ","29-Jun-2017","        714.30","        720.00","        730.00","        710.40","        726.00","        721.80","        718.70","     757780","           544613023.25","      13675","     347640","         45.88"
"RAYMOND","EQ","30-Jun-2017","        721.80","        719.00","        734.75","        710.10","        723.00","        724.70","        723.40","     326097","           235898950.30","       9840","      78843","         24.18"
"RAYMOND","EQ","03-Jul-2017","        724.70","        737.05","        770.30","        725.05","        769.90","        768.05","        758.30","    1094256","           829778980.65","      26404","     188533","         17.23"
"RAYMOND","EQ","04-Jul-2017","        768.05","        772.00","        781.95","        761.80","        767.00","        765.25","        771.00","     716903","           552729120.85","      17602","      76838","         10.72"
"RAYMOND","EQ","05-Jul-2017","        765.25","        765.00","        818.90","        756.95","        816.60","        815.65","        799.19","    3132993","          2503858903.30","      62787","     705932","         22.53"
"RAYMOND","EQ","06-Jul-2017","        815.65","        819.40","        839.40","        806.10","        818.00","        819.65","        827.83","    1897756","          1571022157.25","      35534","     336889","         17.75"
"RAYMOND","EQ","07-Jul-2017","        819.65","        815.50","        828.00","        805.10","        810.00","        808.20","        815.57","     756746","           617177883.35","      18903","     166332","         21.98"
"RAYMOND","EQ","10-Jul-2017","        808.20","        813.05","        819.00","        812.30","        819.00","        815.55","        815.88","      75528","            61622085.50","       1921","      26988","         35.73"
"RAYMOND","EQ","11-Jul-2017","        815.55","        817.50","        826.00","        784.60","        787.40","        788.85","        808.06","     659341","           532784670.50","      18983","     196601","         29.82"
"RAYMOND","EQ","12-Jul-2017","        788.85","        795.10","        809.00","        790.70","        807.00","        802.65","        800.48","     741862","           593845543.85","      21626","     230085","         31.01"
"RAYMOND","EQ","13-Jul-2017","        802.65","        807.00","        816.90","        802.30","        805.30","        806.80","        808.18","     397610","           321339430.10","      12581","      82695","         20.80"
"RAYMOND","EQ","14-Jul-2017","        806.80","        807.00","        810.60","        787.80","        793.00","        792.25","        793.52","     411394","           326449781.45","      10254","     151350","         36.79"
"RAYMOND","EQ","17-Jul-2017","        792.25","        792.25","        815.00","        780.40","        799.65","        800.20","        805.25","     741777","           597313850.35","      20070","      95416","         12.86"
"RAYMOND","EQ","18-Jul-2017","        800.20","        804.75","        813.90","        790.55","        797.80","        794.30","        801.54","     431401","           345786106.75","      12042","      62522","         14.49"
"RAYMOND","EQ","19-Jul-2017","        794.30","        797.70","        807.20","        792.00","        798.60","        795.50","        799.97","     375684","           300535891.20","      10878","      89797","         23.90"
"RAYMOND","EQ","20-Jul-2017","        795.50","        797.90","        820.80","        796.05","        809.65","        807.55","        812.03","     986724","           801248444.75","      21286","     168869","         17.11"
"RAYMOND","EQ","21-Jul-2017","        807.55","        812.00","        815.65","        790.50","        801.00","        800.80","        802.62","     418624","           335994656.10","      10072","      63985","         15.28"
"RAYMOND","EQ","24-Jul-2017","        800.80","        800.80","        819.00","        800.00","        809.90","        808.85","        811.60","     570373","           462915819.25","      16607","     116768","         20.47"
"RAYMOND","EQ","25-Jul-2017","        808.85","        814.00","        814.00","        799.20","        804.30","        806.90","        806.40","     362971","           292701549.40","       7916","      75178","         20.71"
"RAYMOND","EQ","26-Jul-2017","        806.90","        800.00","        817.80","        794.00","        802.00","        803.80","        807.65","     576025","           465227473.10","      14263","     147346","         25.58"
"RAYMOND","EQ","27-Jul-2017","        803.80","        807.00","        813.90","        782.50","        792.75","        786.95","        797.52","     900407","           718093811.20","      11095","     382843","         42.52"
"RAYMOND","EQ","28-Jul-2017","        786.95","        793.00","        800.00","        778.70","        785.45","        786.25","        788.66","     325873","           257002830.90","       7398","      85111","         26.12"
"RAYMOND","EQ","31-Jul-2017","        786.25","        787.50","        806.00","        786.40","        790.30","        791.75","        797.07","     533556","           425281920.20","      10715","     119251","         22.35"
"RAYMOND","EQ","01-Aug-2017","        791.75","        800.00","        804.20","        785.30","        789.00","        789.30","        793.77","     268893","           213440115.10","       5719","      82171","         30.56"
"RAYMOND","EQ","02-Aug-2017","        789.30","        794.90","        798.00","        772.25","        775.55","        776.70","        783.95","     302746","           237339230.10","       7643","      81788","         27.02"
