"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","15-May-2017","       1350.45","       1356.40","       1356.40","       1333.50","       1343.60","       1344.10","       1344.22","    1540213","          2070378803.20","      75812","     802733","         52.12"
"RELIANCE","EQ","16-May-2017","       1344.10","       1346.05","       1376.90","       1341.00","       1356.20","       1356.30","       1360.59","    2892947","          3936121463.60","      79767","    1238129","         42.80"
"RELIANCE","EQ","17-May-2017","       1356.30","       1353.00","       1365.95","       1347.75","       1350.00","       1353.10","       1354.16","    2250304","          3047263294.20","      56277","    1225837","         54.47"
"RELIANCE","EQ","18-May-2017","       1353.10","       1340.25","       1350.00","       1324.10","       1327.45","       1327.35","       1336.14","    2237916","          2990177747.20","      84723","    1339478","         59.85"
"RELIANCE","EQ","19-May-2017","       1327.35","       1333.00","       1335.70","       1310.00","       1318.20","       1318.85","       1321.99","    2928883","          3871939701.45","     115988","    1444387","         49.32"
"RELIANCE","EQ","22-May-2017","       1318.85","       1326.50","       1333.60","       1315.20","       1326.00","       1324.15","       1322.82","    2011859","          2661318292.65","      89828","    1123947","         55.87"
"RELIANCE","EQ","23-May-2017","       1324.15","       1325.70","       1329.85","       1302.00","       1304.55","       1305.55","       1313.55","    2108223","          2769246986.80","      81667","    1172410","         55.61"
"RELIANCE","EQ","24-May-2017","       1305.55","       1307.50","       1313.70","       1295.10","       1299.00","       1297.70","       1302.71","    3274804","          4266122161.80","      78535","    1782580","         54.43"
"RELIANCE","EQ","25-May-2017","       1297.70","       1300.00","       1312.40","       1296.45","       1301.50","       1302.45","       1303.19","    5925335","          7721842990.45","     114553","    4678965","         78.97"
"RELIANCE","EQ","26-May-2017","       1302.45","       1303.95","       1344.40","       1300.00","       1339.00","       1337.30","       1320.18","    4898639","          6467102968.55","     111248","    2843822","         58.05"
"RELIANCE","EQ","29-May-2017","       1337.30","       1337.00","       1365.45","       1335.60","       1355.25","       1356.90","       1352.77","    5491170","          7428268296.70","      88604","    2590759","         47.18"
"RELIANCE","EQ","30-May-2017","       1356.90","       1355.90","       1364.70","       1348.50","       1360.00","       1359.35","       1357.25","    2207727","          2996431672.15","      71958","    1133031","         51.32"
"RELIANCE","EQ","31-May-2017","       1359.35","       1367.00","       1367.95","       1335.80","       1340.00","       1340.70","       1346.68","    3754099","          5055552391.80","     153444","    2447584","         65.20"
"RELIANCE","EQ","01-Jun-2017","       1340.70","       1332.70","       1340.00","       1323.00","       1329.85","       1328.25","       1329.31","    2179328","          2896998252.00","      79314","    1229535","         56.42"
"RELIANCE","EQ","02-Jun-2017","       1328.25","       1335.00","       1338.70","       1317.00","       1322.90","       1324.75","       1326.29","    2627565","          3484908657.55","      92530","    1625375","         61.86"
"RELIANCE","EQ","05-Jun-2017","       1324.75","       1326.25","       1341.00","       1315.85","       1330.00","       1329.35","       1328.64","    2476706","          3290662701.45","      77234","    1452622","         58.65"
"RELIANCE","EQ","06-Jun-2017","       1329.35","       1333.95","       1333.95","       1311.00","       1312.50","       1312.80","       1320.16","    2192356","          2894270054.80","      61140","    1301049","         59.34"
"RELIANCE","EQ","07-Jun-2017","       1312.80","       1311.20","       1342.00","       1309.00","       1339.00","       1339.00","       1328.04","    2559954","          3399718610.00","     102403","    1465014","         57.23"
"RELIANCE","EQ","08-Jun-2017","       1339.00","       1340.00","       1344.80","       1328.05","       1333.90","       1331.70","       1332.33","    1806521","          2406881914.95","      61841","    1063436","         58.87"
"RELIANCE","EQ","09-Jun-2017","       1331.70","       1345.10","       1352.95","       1331.00","       1332.95","       1335.70","       1340.93","    3162802","          4241088719.10","      78984","    1333930","         42.18"
"RELIANCE","EQ","12-Jun-2017","       1335.70","       1326.55","       1329.75","       1317.00","       1319.00","       1319.45","       1321.07","    1927513","          2546372486.95","      44210","    1194367","         61.96"
