"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","15-May-2017","       2360.65","       2375.10","       2377.95","       2341.60","       2368.00","       2365.10","       2352.60","     908802","          2138043383.00","      30047","     712450","         78.39"
"TCS","EQ","16-May-2017","       2365.10","       2380.00","       2435.00","       2373.45","       2425.10","       2429.15","       2410.26","    1800513","          4339703206.25","      58476","    1167534","         64.84"
"TCS","EQ","17-May-2017","       2429.15","       2433.50","       2460.75","       2423.00","       2450.00","       2455.35","       2443.31","    1438099","          3513728629.80","      86412","    1031752","         71.74"
"TCS","EQ","18-May-2017","       2455.35","       2450.00","       2572.00","       2442.25","       2525.00","       2536.20","       2525.78","    2569297","          6489478324.85","     111566","    1135613","         44.20"
"TCS","EQ","19-May-2017","       2536.20","       2536.20","       2540.55","       2486.00","       2503.85","       2507.15","       2506.58","     893022","          2238429862.60","      63112","     517461","         57.94"
"TCS","EQ","22-May-2017","       2507.15","       2510.00","       2553.75","       2510.00","       2535.00","       2531.35","       2530.69","     831970","          2105461143.45","      53261","     509741","         61.27"
"TCS","EQ","23-May-2017","       2531.35","       2533.20","       2564.15","       2514.00","       2523.70","       2521.70","       2530.49","    1374298","          3477645339.05","      88749","     995551","         72.44"
"TCS","EQ","24-May-2017","       2521.70","       2534.80","       2570.00","       2529.65","       2567.10","       2559.15","       2545.01","    1267274","          3225227837.35","      58716","     918505","         72.48"
"TCS","EQ","25-May-2017","       2559.15","       2577.00","       2637.55","       2568.00","       2615.05","       2624.60","       2605.40","    2047047","          5333377224.30","      87147","    1180439","         57.67"
"TCS","EQ","26-May-2017","       2624.60","       2625.00","       2626.85","       2564.65","       2570.05","       2578.25","       2593.00","     681275","          1766542910.70","      32170","     390827","         57.37"
"TCS","EQ","29-May-2017","       2578.25","       2579.00","       2596.50","       2564.00","       2572.00","       2572.85","       2577.65","     874645","          2254524743.95","      41767","     635375","         72.64"
"TCS","EQ","30-May-2017","       2572.85","       2560.00","       2575.95","       2525.00","       2548.20","       2551.10","       2554.74","     463817","          1184932112.45","      26766","     246206","         53.08"
"TCS","EQ","31-May-2017","       2551.10","       2533.00","       2572.50","       2528.00","       2539.95","       2546.60","       2549.69","    1251365","          3190589291.10","     103176","     925467","         73.96"
"TCS","EQ","01-Jun-2017","       2546.60","       2530.00","       2564.00","       2530.00","       2553.00","       2553.60","       2552.85","     540032","          1378618493.35","      38315","     370004","         68.52"
"TCS","EQ","02-Jun-2017","       2553.60","       2556.25","       2591.85","       2552.50","       2560.00","       2564.90","       2568.84","     677824","          1741220234.05","      43736","     511928","         75.53"
"TCS","EQ","05-Jun-2017","       2564.90","       2565.00","       2619.90","       2560.15","       2616.00","       2603.95","       2577.20","     750094","          1933140402.50","      39041","     490594","         65.40"
"TCS","EQ","06-Jun-2017","       2603.95","       2631.00","       2708.95","       2630.00","       2705.00","       2696.00","       2693.18","    2973360","          8007780799.00","     132494","    1888281","         63.51"
"TCS","EQ","07-Jun-2017","       2696.00","       2697.00","       2700.00","       2576.55","       2613.95","       2615.25","       2624.95","    2463888","          6467588528.80","     109104","    1265805","         51.37"
"TCS","EQ","08-Jun-2017","       2615.25","       2598.00","       2604.95","       2515.50","       2520.00","       2521.60","       2543.44","    1665357","          4235730503.25","      80468","     678314","         40.73"
"TCS","EQ","09-Jun-2017","       2521.60","       2520.00","       2547.40","       2486.00","       2518.60","       2507.00","       2513.28","    1574017","          3955950265.40","      83931","     599286","         38.07"
"TCS","EQ","12-Jun-2017","       2507.00","       2497.00","       2512.90","       2470.40","       2484.90","       2487.20","       2487.48","     813253","          2022948074.30","      44849","     306655","         37.71"
"TCS","EQ","13-Jun-2017","       2487.20","       2465.00","       2481.10","       2447.00","       2450.00","       2451.55","       2464.89","     587707","          1448635342.35","      52410","     268108","         45.62"
"TCS","EQ","14-Jun-2017","       2451.55","       2455.00","       2476.00","       2455.00","       2465.40","       2470.20","       2469.41","     744571","          1838650964.00","      42987","     456486","         61.31"
"TCS","EQ","15-Jun-2017","       2470.20","       2469.00","       2469.70","       2405.00","       2410.00","       2411.20","       2427.94","    1498599","          3638509043.15","      65157","    1140716","         76.12"
"TCS","EQ","16-Jun-2017","       2411.20","       2414.95","       2435.00","       2386.50","       2395.00","       2399.70","       2402.96","    1225213","          2944142144.40","      72001","     709697","         57.92"
"TCS","EQ","19-Jun-2017","       2399.70","       2416.90","       2446.35","       2405.15","       2432.00","       2431.70","       2430.50","     822371","          1998776222.20","      53034","     493678","         60.03"
"TCS","EQ","20-Jun-2017","       2431.70","       2431.00","       2449.00","       2380.30","       2443.60","       2445.00","       2427.14","     835479","          2027828499.20","      56385","     443227","         53.05"
"TCS","EQ","21-Jun-2017","       2445.00","       2440.00","       2442.15","       2397.20","       2406.75","       2406.30","       2412.24","     828909","          1999530130.00","      60134","     488457","         58.93"
